ID;MotievenVoorInternVerplaatsing;GradatieBelangrijkheid;InternationaleVerplaatsingIn20012006_1;PlannenIntVerplaatsingIn20072009_2;InternationaleVerplaatsingIn20012006_3;PlannenIntVerplaatsingIn20072009_4
0;1;0;628;209;100;100
1;1;1;362;107;58;51
2;1;2;159;67;25;32
3;1;3;47;15;7;7
4;1;4;60;20;10;10
5;2;0;628;209;100;100
6;2;1;139;70;22;33
7;2;2;283;64;45;31
8;2;3;63;40;10;19
9;2;4;143;35;23;17
10;3;0;628;209;100;100
11;3;1;139;65;22;31
12;3;2;112;34;18;16
13;3;3;154;41;25;20
14;3;4;223;69;36;33
15;4;0;628;209;100;100
16;4;1;128;42;20;20
17;4;2;160;65;25;31
18;4;3;146;43;23;21
19;4;4;194;59;31;28
20;5;0;628;209;100;100
21;5;1;71;17;11;8
22;5;2;126;31;20;15
23;5;3;188;69;30;33
24;5;4;243;92;39;44
25;6;0;628;209;100;100
26;6;1;263;54;42;26
27;6;2;158;57;25;27
28;6;3;49;16;8;8
29;6;4;158;82;25;39
30;7;0;628;209;100;100
31;7;1;117;19;19;9
32;7;2;145;33;23;16
33;7;3;119;58;19;28
34;7;4;247;99;39;47
35;8;0;628;209;100;100
36;8;1;89;5;14;2
37;8;2;144;37;23;18
38;8;3;148;74;24;35
39;8;4;247;93;39;44
40;9;0;628;209;100;100
41;9;1;43;15;7;7
42;9;2;132;46;21;22
43;9;3;146;70;23;33
44;9;4;307;78;49;37
45;10;0;628;209;100;100
46;10;1;68;40;11;19
47;10;2;97;43;15;21
48;10;3;174;63;28;30
49;10;4;289;63;46;30
50;11;0;628;209;100;100
51;11;1;315;102;50;49
52;11;2;153;63;24;30
53;11;3;39;7;6;3
54;11;4;121;37;19;18
55;12;0;628;209;100;100
56;12;1;125;31;20;15
57;12;2;96;47;15;22
58;12;3;161;41;26;19
59;12;4;247;91;39;43
60;13;0;628;209;100;100
61;13;1;36;24;6;11
62;13;2;71;32;11;15
63;13;3;205;61;33;29
64;13;4;315;93;50;44
65;19;0;628;209;100;100
66;19;1;9;17;1;8
67;19;2;3;3;0;1
68;19;3;0;0;0;0
69;19;4;616;189;98;90
