ID;SectorBranchSIC2008;Regions;AllPeriods;NaturalGasDelivered_1;ElectricityDelivered_2
0;A-U All economic activities;The Netherlands;2010;38818724.0;76180349.0
1;A-U All economic activities;The Netherlands;2011;34906198.0;77900375.0
2;A-U All economic activities;The Netherlands;2012;32294349.0;73556703.0
3;A-U All economic activities;The Netherlands;2013;32109391.0;76300359.0
4;A-U All economic activities;The Netherlands;2014;29392371.0;74279405.0
5;A-U All economic activities;The Netherlands;2015;20971528.0;74209024.0
6;A-U All economic activities;The Netherlands;2016;20858895.0;76536886.0
7;A-U All economic activities;The Netherlands;2017;31191130.0;77349885.0
8;A-U All economic activities;The Netherlands;2018;30965284.0;79782623.0
9;A-U All economic activities;The Netherlands;2019;31605160.0;79029480.0
10;A-U All economic activities;The Netherlands;2020;32372975.0;76811724.0
11;A-U All economic activities;The Netherlands;2021;29387360.0;76989698.0
12;A-U All economic activities;The Netherlands;2022;23584297.0;74698006.0
13;A-U All economic activities;The Netherlands;2023;23055950.0;71587984.0
14;A-U All economic activities;Noord-Nederland (LD);2010;6502597.0;8688039.0
15;A-U All economic activities;Noord-Nederland (LD);2011;5063478.0;9313335.0
16;A-U All economic activities;Noord-Nederland (LD);2012;3562993.0;8743774.0
17;A-U All economic activities;Noord-Nederland (LD);2013;3935286.0;9883990.0
18;A-U All economic activities;Noord-Nederland (LD);2014;3977290.0;8296899.0
19;A-U All economic activities;Noord-Nederland (LD);2015;1980416.0;8333511.0
20;A-U All economic activities;Noord-Nederland (LD);2016;1963756.0;8699370.0
21;A-U All economic activities;Noord-Nederland (LD);2017;4561594.0;8853882.0
22;A-U All economic activities;Noord-Nederland (LD);2018;4255066.0;9198522.0
23;A-U All economic activities;Noord-Nederland (LD);2019;5079408.0;9662850.0
24;A-U All economic activities;Noord-Nederland (LD);2020;4706510.0;9087253.0
25;A-U All economic activities;Noord-Nederland (LD);2021;3866752.0;8809520.0
26;A-U All economic activities;Noord-Nederland (LD);2022;2958911.0;7987157.0
27;A-U All economic activities;Noord-Nederland (LD);2023;2812539.0;7577824.0
28;A-U All economic activities;Oost-Nederland (LD);2010;4492277.0;12749504.0
29;A-U All economic activities;Oost-Nederland (LD);2011;4212683.0;12665654.0
30;A-U All economic activities;Oost-Nederland (LD);2012;4091377.0;12544636.0
31;A-U All economic activities;Oost-Nederland (LD);2013;3783414.0;13220455.0
32;A-U All economic activities;Oost-Nederland (LD);2014;3231066.0;12939577.0
33;A-U All economic activities;Oost-Nederland (LD);2015;2364606.0;12989125.0
34;A-U All economic activities;Oost-Nederland (LD);2016;2468215.0;13230139.0
35;A-U All economic activities;Oost-Nederland (LD);2017;3264813.0;13402932.0
36;A-U All economic activities;Oost-Nederland (LD);2018;3297011.0;13342141.0
37;A-U All economic activities;Oost-Nederland (LD);2019;3490687.0;13539082.0
38;A-U All economic activities;Oost-Nederland (LD);2020;3276180.0;12967808.0
39;A-U All economic activities;Oost-Nederland (LD);2021;2945683.0;12980742.0
40;A-U All economic activities;Oost-Nederland (LD);2022;2736691.0;12778807.0
41;A-U All economic activities;Oost-Nederland (LD);2023;2524108.0;12442190.0
42;A-U All economic activities;West-Nederland (LD);2010;20467863.0;37264347.0
43;A-U All economic activities;West-Nederland (LD);2011;18887615.0;37833054.0
44;A-U All economic activities;West-Nederland (LD);2012;17918180.0;34493043.0
45;A-U All economic activities;West-Nederland (LD);2013;17521454.0;33718592.0
46;A-U All economic activities;West-Nederland (LD);2014;16407829.0;33975390.0
47;A-U All economic activities;West-Nederland (LD);2015;11972147.0;33707994.0
48;A-U All economic activities;West-Nederland (LD);2016;11783451.0;35039134.0
49;A-U All economic activities;West-Nederland (LD);2017;16585605.0;35339099.0
50;A-U All economic activities;West-Nederland (LD);2018;17074180.0;37043538.0
51;A-U All economic activities;West-Nederland (LD);2019;16518525.0;36027685.0
52;A-U All economic activities;West-Nederland (LD);2020;16725690.0;35812400.0
53;A-U All economic activities;West-Nederland (LD);2021;15680698.0;36217153.0
54;A-U All economic activities;West-Nederland (LD);2022;12386176.0;35461112.0
55;A-U All economic activities;West-Nederland (LD);2023;12547755.0;34666468.0
56;A-U All economic activities;West-Nederland, G4 excluded (LD);2010;;
57;A-U All economic activities;West-Nederland, G4 excluded (LD);2011;;
58;A-U All economic activities;West-Nederland, G4 excluded (LD);2012;;
59;A-U All economic activities;West-Nederland, G4 excluded (LD);2013;;
