ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
0;Lorries and road tractors;Total goods vehicles;2001;6592.1;6014.7;577.5;9869.7;6014.7;3855.1;58913.0;35902.0;23011.0;167530.0
1;Lorries and road tractors;Total goods vehicles;2002;6600.8;5999.6;601.1;9973.7;5999.6;3974.1;59846.0;36000.0;23846.0;166657.0
2;Lorries and road tractors;Total goods vehicles;2003;6610.0;6025.4;584.6;10026.9;6025.4;4001.5;61150.0;36746.0;24403.0;163974.0
3;Lorries and road tractors;Total goods vehicles;2004;6684.5;6060.0;624.5;10070.7;6060.0;4010.7;61637.0;37090.0;24547.0;163387.0
4;Lorries and road tractors;Total goods vehicles;2005;6797.2;6128.7;668.5;10181.2;6128.7;4052.5;62792.0;37798.0;24994.0;162142.0
5;Lorries and road tractors;Total goods vehicles;2006;6946.0;6198.8;747.3;10325.4;6198.8;4126.7;61758.0;37076.0;24682.0;167192.0
6;Lorries and road tractors;Total goods vehicles;2007;7137.9;6319.1;818.9;10544.7;6319.1;4225.7;62303.0;37336.0;24967.0;169249.0
7;Lorries and road tractors;Total goods vehicles;2008;7313.7;6514.7;799.0;10507.1;6514.7;3992.5;60715.0;37644.0;23070.0;173058.0
8;Lorries and road tractors;Total goods vehicles;2009;7227.6;6468.3;759.3;10132.5;6468.3;3664.2;59234.0;37813.0;21421.0;171059.0
9;Lorries and road tractors;Total goods vehicles;2010;7192.9;6483.7;709.2;9801.3;6483.7;3317.7;59093.0;39090.0;20002.0;165864.0
10;Lorries and road tractors;Total goods vehicles;2011;7113.2;6422.6;690.6;9825.5;6422.6;3402.9;59703.0;39026.0;20677.0;164573.0
11;Lorries and road tractors;Total goods vehicles;2012;7007.8;6323.2;684.6;9529.8;6323.2;3206.5;58752.0;38984.0;19769.0;162202.0
