ID;Perioden;TotaalUitkeringenInGeldEnNatura_1;WettSocUitkeringenInGeldEnNatura_2;AlgArbeidsongeschiktheidswetAAW_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WetArbeidEnZorgWAZO_7;WerkloosheidswetWW_8;ZiektewetZWVangnet_9;ZiektewetZW_10;AlgemeneOuderdomswetAOW_11;AlgemeneNabestaandenwetANWAWW_12;ZiekenfondswetVerplichtZFWVp_13;ZorgverzekeringswetZVW_14;AlgemeneWetBijzondereZiekteknAWBZ_15;WetLangdurigeZorgWLZ_16;VoorzieningenInGeldEnNatura_17;UitkeringenOorlogsslachtoffers_18;WetArbeidsongJonggehandicWajong_19;InkomensvoorzOuderenIOAWIOAZ_20;AlgemeneKinderbijslagwetAKW_21;Studiebeurzen_22;PremiesKoopwoningen_23;WetWerkEnBijstandWWBABW_24;AanvInkomensvoorzieningOuderenAIO_25;WetInvesterenInJongerenWIJ_26;ToeslagenwetTW_27;Zorgtoeslag_28;MKOBTegemoetkomingAOW_29;KindgebondenBudget_30;WetVoorzieningenGehandicaptenWVG_31;WetMaatschOndersteuningWMO_32;Huurtoeslag_33;OVJaarkaartStuderenden_34;Rechtsbijstand_35;BijdrageOnderwijsInAcZiekenhuizen_36;Kinderopvang_37;Leerlingenvervoer_38;Bejaardenoorden_39;ReintegratiefondsREA_40;BijdragenAsielzoekersEnMinderheden_41;ReIntegratie_42;Overig_43;TotaalSocialeUitkeringenInGeld_44;TotaalWettelijkeSocialeUitkInGeld_45;AlgArbeidsongeschiktheidswetAAW_46;TotaalArbeidsongeschiktheidsfonds_47;WetOpDeArbeidsongeschiktheidWAO_48;WerkEnInkomenArbeidsvermogenWIA_49;WetArbeidsongeschiktheidZelfstWAZ_50;ZiektewetZWVangnet_51;WetArbeidEnZorgWAZO_52;TotaalWerkhervattingskas_53;WerkEnInkomenArbeidsvermogenWIA_54;ZiektewetZWVangnet_55;WetOpDeArbeidsongeschiktheidWAO_56;WetArbeidsongeschiktheidZelfstWAZ_57;TotaalAlgemeenWerkloosheidsfonds_58;WerkloosheidswetWW_59;ZiektewetZWVangnet_60;WetArbeidEnZorgWAZO_61;TotaalSectorfondsen_62;WerkloosheidswetWW_63;WerkEnInkomenArbeidsvermogenWIA_64;ZiektewetZWVangnet_65;TotaalUitvoeringsfondsVoorDeOverheid_66;WerkloosheidswetWW_67;WerkEnInkomenArbeidsvermogenWIA_68;ZiektewetZWVangnet_69;WetArbeidEnZorgWAZO_70;ZiektewetZW_71;AlgemeneOuderdomswetAOW_72;AlgemeneNabestaandenwetANWAWW_73;ZiekenfondswetVerplichtZFWVp_74;ZorgverzekeringswetZVW_75;AlgemeneWetBijzondereZiekteknAWBZ_76;WetLangdurigeZorgWLZ_77;TotaalSocialeVoorzieningenInGeld_78;UitkeringenOorlogsslachtoffers_79;WetArbeidsongJonggehandicWajong_80;InkomensvoorzOuderenIOAWIOAZ_81;AlgemeneKinderbijslagwetAKW_82;Studiebeurzen_83;PremiesKoopwoningen_84;WetWerkEnBijstandWWBABW_85;AanvInkomensvoorzieningOuderenAIO_86;WetInvesterenInJongerenWIJ_87;ToeslagenwetTW_88;Zorgtoeslag_89;MKOBTegemoetkomingAOW_90;KindgebondenBudget_91;Overig_92;TotaalSocialeUitkeringenInNatura_93;TotaalWettelijkSocialeUitkInNatura_94;AlgArbeidsongeschiktheidswetAAW_95;ZiekenfondswetVerplichtZFWVp_96;ZorgverzekeringswetZVW_97;AlgemeneWetBijzondereZiekteknAWBZ_98;WetLangdurigeZorgWLZ_99;TotaalSocialeVoorzieningenInNatura_100;WetWerkEnBijstandWWBABW_101;WetVoorzieningenGehandicaptenWVG_102;WetMaatschOndersteuningWMO_103;Huurtoeslag_104;OVJaarkaartStuderenden_105;Rechtsbijstand_106;BijdrageOnderwijsInAcZiekenhuizen_107;Kinderopvang_108;Leerlingenvervoer_109;Bejaardenoorden_110;ReintegratiefondsREA_111;BijdragenAsielzoekersEnMinderheden_112;ReIntegratie_113;Overig_114
0;1995;65543;50732;5735.0;3290.0;;0.0;;4240.0;;1874.0;15180.0;2090.0;7071.0;;11252.0;;14811;349.0;0.0;232.0;2955.0;1338.0;264.0;4713.0;;;300.0;;;;454.0;;924.0;353.0;163.0;282.0;;91.0;1524.0;0.0;216.0;39.0;614.0;43005;32414;5655.0;3290;3290.0;;;;;;;;;;3705;3705.0;;;535;535.0;;;;;;;;1874.0;15180;2090;78.0;;7.0;;10591;349.0;;232.0;2955.0;1338.0;264.0;4622.0;;;300.0;;;;531.0;22538;18318;80.0;6993.0;;11245.0;;4220;91.0;454.0;;924.0;353.0;163.0;282.0;;91.0;1524.0;0.0;216.0;39.0;83.0
1;1996;65238;50570;5672.0;3288.0;;0.0;;5444.0;;324.0;15853.0;2109.0;9540.0;;8340.0;;14668;348.0;0.0;236.0;2898.0;1161.0;223.0;4879.0;;;292.0;;;;499.0;;1021.0;377.0;152.0;211.0;;91.0;1500.0;0.0;120.0;88.0;572.0;43120;32694;5598.0;3288;3288.0;;;;;;;;;;4134;4134.0;;;1310;1310.0;;;;;;;;324.0;15853;2109;76.0;;2.0;;10426;348.0;;236.0;2898.0;1161.0;223.0;4753.0;;;292.0;;;;515.0;22118;17876;74.0;9464.0;;8338.0;;4242;126.0;499.0;;1021.0;377.0;152.0;211.0;;91.0;1500.0;0.0;120.0;88.0;57.0
2;1997;66711;53495;6151.0;3147.0;;0.0;;4813.0;;;16609.0;2005.0;10322.0;;10448.0;;13216;340.0;0.0;247.0;2832.0;1055.0;181.0;4718.0;;;284.0;;;;598.0;;1185.0;404.0;162.0;223.0;;91.0;;0.0;147.0;156.0;593.0;42726;32749;6076.0;3147;3147.0;;;;;;;;;;3851;3851.0;;;962;962.0;;;;;;;;;16609;2005;98.0;;1.0;;9977;340.0;;247.0;2832.0;1055.0;181.0;4550.0;;;284.0;;;;488.0;23985;20746;75.0;10224.0;;10447.0;;3239;168.0;598.0;;1185.0;404.0;162.0;223.0;;91.0;;0.0;147.0;156.0;105.0
3;1998;67895;53628;47.0;8119.0;;436.0;;3992.0;;;17578.0;1552.0;10758.0;;11146.0;;14267;346.0;1007.0;244.0;2868.0;873.0;143.0;4546.0;;;282.0;;;;606.0;;1364.0;378.0;167.0;241.0;;93.0;;54.0;126.0;234.0;695.0;42427;31787;8.0;7802;7802.0;;;;;;;;317.0;436.0;3037;3037.0;;;955;955.0;;;;;;;;;17578;1552;101.0;;1.0;;10640;346.0;1007.0;244.0;2868.0;873.0;143.0;4376.0;;;282.0;;;;501.0;25468;21841;39.0;10657.0;;11145.0;;3627;170.0;606.0;;1364.0;378.0;167.0;241.0;;93.0;;54.0;126.0;234.0;194.0
4;1999 1e kwartaal;16999;13692;;;;;;;;;;;;;;;3307;;;;;;;;;;;;;;;;;;;;;;;;;;;9970;7673;;1660;;;;;;;;;181.0;105.0;623;;;;299;;;;;;;;;;4404;375;25.0;;1.0;;2297;;;;;;;;;;;;;;;7029;6019;3.0;2699.0;;3317.0;;1010;;;;;;;;;;;;;;
5;1999 2e kwartaal;18747;14994;;;;;;;;;;;;;;;3753;;;;;;;;;;;;;;;;;;;;;;;;;;;12224;9436;;2439;;;;;;;;;297.0;149.0;809;;;;263;;;;;;;;;;5026;422;30.0;;1.0;;2788;;;;;;;;;;;;;;;6523;5558;4.0;2868.0;;2686.0;;965;;;;;;;;;;;;;;
6;1999 3e kwartaal;16514;13201;;;;;;;;;;;;;;;3313;;;;;;;;;;;;;;;;;;;;;;;;;;;10053;7665;;1630;;;;;;;;;256.0;108.0;598;;;;174;;;;;;;;;;4498;377;24.0;;0.0;;2388;;;;;;;;;;;;;;;6461;5536;4.0;2822.0;;2710.0;;925;;;;;;;;;;;;;;
7;1999 4e kwartaal;17246;13595;;;;;;;;;;;;;;;3651;;;;;;;;;;;;;;;;;;;;;;;;;;;10389;7696;;1617;;;;;;;;;303.0;124.0;607;;;;184;;;;;;;;;;4472;365;24.0;;0.0;;2693;;;;;;;;;;;;;;;6857;5899;4.0;2854.0;;3041.0;;958;;;;;;;;;;;;;;
8;1999;69506;55482;15.0;8383.0;;486.0;;3557.0;;;18400.0;1539.0;11346.0;;11756.0;;14024;358.0;982.0;263.0;2828.0;815.0;110.0;4202.0;;;302.0;;;;628.0;;1459.0;352.0;173.0;257.0;;95.0;;85.0;152.0;244.0;719.0;42636;32470;;7346;7346.0;;;;;;;;1037.0;486.0;2637;2637.0;;;920;920.0;;;;;;;;;18400;1539;103.0;;2.0;;10166;358.0;982.0;263.0;2828.0;815.0;110.0;4009.0;;;302.0;;;;499.0;26870;23012;15.0;11243.0;;11754.0;;3858;193.0;628.0;;1459.0;352.0;173.0;257.0;;95.0;;85.0;152.0;244.0;220.0
9;2000 1e kwartaal;17796;14381;;;;;;;;;;;;;;;3415;;;;;;;;;;;;;;;;;;;;;;;;;;;10133;7831;;1612;;;;;;;;;321.0;108.0;546;;;;268;;;;;;;;;;4582;366;27.0;;1.0;;2302;;;;;;;;;;;;;;;7663;6550;;3098.0;;3452.0;;1113;;;;;;;;;;;;;;
10;2000 2e kwartaal;19682;15742;;;;;;;;;;;;;;;3940;;;;;;;;;;;;;;;;;;;;;;;;;;;12442;9630;;2324;;;;;;;;;492.0;150.0;691;;;;253;;;;;;;;;;5268;415;35.0;;2.0;;2812;;;;;;;;;;;;;;;7240;6112;;2991.0;;3121.0;;1128;;;;;;;;;;;;;;
11;2000 3e kwartaal;17349;13944;;;;;;;;;;;;;;;3405;;;;;;;;;;;;;;;;;;;;;;;;;;;10210;7822;;1572;;;;;;;;;384.0;107.0;540;;;;191;;;;;;;;;;4638;362;27.0;;1.0;;2388;;;;;;;;;;;;;;;7139;6122;;3036.0;;3086.0;;1017;;;;;;;;;;;;;;
12;2000 4e kwartaal;17962;14232;;;;;;;;;;;;;;;3730;;;;;;;;;;;;;;;;;;;;;;;;;;;10524;7855;;1531;;;;;;;;;448.0;104.0;562;;;;217;;;;;;;;;;4610;355;27.0;;1.0;;2669;;;;;;;;;;;;;;;7438;6377;;3077.0;;3300.0;;1061;;;;;;;;;;;;;;
