ID;Kenmerken;Perioden;GemiddeldAantalDagtochten_1;TotaalZonnenZwemmenEnDergelijke_2;OpStrandBijDeZee_3;InOpenluchtzwembad_4;OpStrandBijMeerPlas_5;NietAanHetWater_6;InBinnenbadOfZwemparadijs_7;TotaalSportEnSportieveRecreatie_8;Wandelen_9;Fietsen_10;Golfen_11;Watersport_12;Vissen_13;PaardrijdenManegeEnBuitenritten_14;BinnenOfBuitenTrimmenFitness_15;SchaatsenOpKunstijsbaanEnNatuurijs_16;OverigeBinnensport_17;OverigeBuitensport_18;ToeschouwerBegeleiderBijSport_19;Toeren_20;TotaalBezoekAttractiepuntED_21;TotaalBezoekAttractiepunt_22;BezoekSpeeltuinUitspanning_23;BezoekPretparkED_24;BezoekAanDierentuinVogelparkED_25;BezoekKinderboerderijHeemtuinED_26;TotaalBezoekBezienswaardigheid_27;BezoekOudeStadDorp_28;BezoekMuseum_29;BezoekMonumentenEnBezienswaardigheden_30;TotaalBezoekEvenement_31;BezoekJaarmarktBraderieCorsoED_32;BezoekBeursTentoonstellingShow_33;BezoekOverigeEvenementen_34;RecreatiefWinkelen_35;TotaalUitgaan_36;TotaalFilmToneelConcertBallet_37;NaarDeFilm_38;NaarToneelConcertBallet_39;TotaalOverigeUitgaan_40;TerrasjeZittenKoffieDrinkenED_41;UitEtenGaan_42;BarCafebezoek_43;KermisCircus_44;DiscoBowling_45;OverigUitgaan_46;TotaalOverigeDagtochten_47;BezoekDenksportActiviteit_48;VerenigingsactiviteitenHobbyclubs_49;BezoekKinderactiviteiten_50;BezoekVolkstuin_51;BezoekNatuurEnOverigeActiviteiten_52
0;1;1995 september - 1996 augustus;60.0;3.0;1.0;0.0;0.0;0.0;2.0;19.0;4.0;3.0;0.0;0.0;0.0;1.0;2.0;1.0;4.0;4.0;2.0;1.0;6.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;8.0;12.0;3.0;1.0;2.0;9.0;0.0;3.0;3.0;1.0;1.0;1.0;8.0;1.0;6.0;1.0;0.0;1.0
1;1;2001 december - 2002 november;62.0;4.0;1.0;0.0;0.0;0.0;2.0;19.0;4.0;3.0;0.0;0.0;0.0;1.0;2.0;0.0;4.0;4.0;2.0;1.0;7.0;3.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;7.0;14.0;4.0;2.0;2.0;10.0;1.0;3.0;3.0;1.0;1.0;1.0;7.0;1.0;5.0;0.0;0.0;1.0
2;1;2006 oktober - 2007 september;56.0;3.0;0.0;0.0;0.0;0.0;1.0;16.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;4.0;2.0;1.0;7.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;8.0;13.0;4.0;2.0;2.0;10.0;1.0;4.0;3.0;0.0;1.0;1.0;6.0;1.0;4.0;1.0;0.0;1.0
3;Mannen;1995 september - 1996 augustus;61.0;3.0;1.0;0.0;0.0;0.0;2.0;23.0;4.0;3.0;0.0;0.0;1.0;0.0;2.0;1.0;5.0;6.0;3.0;1.0;5.0;2.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;6.0;12.0;3.0;1.0;1.0;10.0;0.0;2.0;4.0;1.0;2.0;1.0;8.0;1.0;5.0;0.0;0.0;1.0
4;Mannen;2001 december - 2002 november;61.0;3.0;1.0;0.0;0.0;0.0;1.0;21.0;4.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;4.0;6.0;3.0;1.0;6.0;3.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;5.0;14.0;3.0;2.0;2.0;11.0;0.0;3.0;5.0;1.0;1.0;1.0;6.0;0.0;5.0;0.0;0.0;1.0
5;Mannen;2006 oktober - 2007 september;55.0;2.0;0.0;0.0;0.0;0.0;1.0;18.0;3.0;2.0;1.0;1.0;0.0;0.0;2.0;0.0;3.0;5.0;3.0;1.0;7.0;3.0;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;5.0;13.0;3.0;1.0;2.0;10.0;0.0;3.0;3.0;1.0;1.0;1.0;6.0;1.0;3.0;1.0;0.0;1.0
6;Vrouwen;1995 september - 1996 augustus;60.0;4.0;1.0;0.0;0.0;0.0;2.0;16.0;4.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0;3.0;2.0;1.0;1.0;6.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;11.0;12.0;3.0;1.0;2.0;9.0;0.0;3.0;2.0;1.0;1.0;1.0;9.0;1.0;7.0;1.0;0.0;1.0
7;Vrouwen;2001 december - 2002 november;63.0;4.0;1.0;0.0;0.0;0.0;2.0;17.0;4.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;2.0;2.0;1.0;7.0;3.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;9.0;14.0;4.0;2.0;2.0;10.0;1.0;4.0;2.0;1.0;1.0;1.0;8.0;1.0;6.0;1.0;0.0;1.0
8;Vrouwen;2006 oktober - 2007 september;57.0;3.0;0.0;0.0;0.0;0.0;2.0;14.0;3.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;2.0;2.0;1.0;7.0;3.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;11.0;14.0;4.0;2.0;2.0;10.0;1.0;4.0;2.0;0.0;1.0;1.0;6.0;1.0;4.0;1.0;0.0;1.0
9;Leeftijd dagrecreant 0 tot 15 jaar;1995 september - 1996 augustus;55.0;8.0;1.0;1.0;1.0;0.0;5.0;20.0;3.0;2.0;0.0;0.0;0.0;2.0;0.0;3.0;4.0;6.0;2.0;1.0;8.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;6.0;5.0;2.0;1.0;1.0;4.0;0.0;1.0;0.0;1.0;1.0;1.0;5.0;0.0;2.0;2.0;0.0;0.0
10;Leeftijd dagrecreant 0 tot 15 jaar;2001 december - 2002 november;60.0;8.0;1.0;1.0;2.0;1.0;4.0;20.0;4.0;2.0;;1.0;0.0;2.0;0.0;1.0;4.0;7.0;2.0;1.0;11.0;8.0;3.0;2.0;2.0;2.0;2.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;6.0;7.0;3.0;2.0;1.0;5.0;0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0;3.0;2.0;0.0;0.0
11;Leeftijd dagrecreant 0 tot 15 jaar;2006 oktober - 2007 september;60.0;7.0;1.0;1.0;1.0;1.0;4.0;18.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;8.0;2.0;0.0;13.0;9.0;4.0;2.0;2.0;2.0;2.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;6.0;8.0;3.0;2.0;1.0;5.0;0.0;2.0;0.0;1.0;1.0;1.0;6.0;0.0;2.0;2.0;0.0;1.0
12;Leeftijd dagrecreant 15 tot 25 jaar;1995 september - 1996 augustus;80.0;3.0;1.0;1.0;0.0;0.0;1.0;22.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;1.0;6.0;7.0;2.0;1.0;5.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;10.0;30.0;4.0;3.0;1.0;26.0;1.0;3.0;12.0;1.0;8.0;2.0;8.0;0.0;8.0;0.0;;0.0
13;Leeftijd dagrecreant 15 tot 25 jaar;2001 december - 2002 november;84.0;3.0;1.0;1.0;0.0;0.0;1.0;23.0;2.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;6.0;8.0;2.0;1.0;5.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;8.0;35.0;6.0;4.0;2.0;29.0;2.0;4.0;15.0;1.0;7.0;1.0;7.0;0.0;6.0;0.0;;0.0
14;Leeftijd dagrecreant 15 tot 25 jaar;2006 oktober - 2007 september;74.0;2.0;0.0;0.0;0.0;0.0;1.0;19.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;5.0;8.0;3.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;10.0;29.0;6.0;4.0;2.0;23.0;1.0;4.0;11.0;0.0;5.0;2.0;6.0;0.0;5.0;0.0;0.0;1.0
15;Leeftijd dagrecreant 25 tot 45 jaar;1995 september - 1996 augustus;59.0;3.0;1.0;0.0;0.0;0.0;1.0;19.0;4.0;2.0;0.0;0.0;0.0;1.0;3.0;1.0;5.0;3.0;3.0;1.0;5.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;9.0;13.0;3.0;1.0;2.0;10.0;0.0;4.0;4.0;0.0;1.0;1.0;7.0;0.0;6.0;0.0;0.0;1.0
16;Leeftijd dagrecreant 25 tot 45 jaar;2001 december - 2002 november;63.0;3.0;1.0;0.0;0.0;0.0;1.0;19.0;4.0;2.0;0.0;1.0;0.0;1.0;3.0;0.0;4.0;3.0;3.0;1.0;6.0;3.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;8.0;17.0;4.0;2.0;2.0;13.0;1.0;5.0;4.0;0.0;1.0;1.0;5.0;0.0;4.0;0.0;0.0;1.0
17;Leeftijd dagrecreant 25 tot 45 jaar;2006 oktober - 2007 september;51.0;2.0;1.0;0.0;0.0;0.0;1.0;12.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;2.0;3.0;1.0;6.0;3.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;9.0;15.0;4.0;1.0;2.0;11.0;1.0;5.0;3.0;0.0;1.0;1.0;4.0;0.0;2.0;0.0;0.0;1.0
