ID;Perioden;BrutoBinnenlandsProductBbp_1;ExploitatieoverschotNetto_2;NationaalInkomenNetto_3;BeschikbaarNationaalInkomenNetto_4;NationaleBesparingenNetto_5;NationaalVorderingensaldo_6;BelastingEnPremieontvangstenBbp_7;EMUSaldoBbp_8;EMUSchuldBbp_9;TotaalInkomstenBbp_10;TotaalUitgavenBbp_11;BeschikbaarInkomenNettoReeleMut_12;ConsumptieveBestedingenBruto_13;VrijeIndividueleBesparingen_14;WoninghypothekenEindbalans_15;WoninghypothekenFinancieleTransactie_16;Productiewaarde_17;ExploitatieoverschotNetto_18;NettowinstVoorBelasting_19;BrutoToegevoegdeWaarde_20;BrutoToegevoegdeWaarde_21;NettowinstVoorBelasting_22;OmvangFinancieleActivaFinancieleInst_23;KredietverleningAanPrivateSector_24;UitvoeroverschotBbp_25;Uitvoersaldo_26;SaldoPrimaireInkomensBuitenland_27;SaldoInkomensoverdrachtenBuitenland_28
0;2001 1e kwartaal;0;0;0;0;0;0;36.1;-1.2;53.1;42.7;43.9;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
1;2001 2e kwartaal;0;0;0;0;0;0;38.3;1.4;53.7;46.8;45.4;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
2;2001 3e kwartaal;0;0;0;0;0;0;36.9;-0.4;52.4;44.5;44.9;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
3;2001 4e kwartaal;0;0;0;0;0;0;39.1;-0.8;50.7;46.2;47.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
4;2001;0;0;0;0;0;0;37.6;-0.2;50.7;45.1;45.4;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
5;2002 1e kwartaal;0;0;0;0;0;0;36.4;-2.2;51.5;42.9;45.1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
6;2002 2e kwartaal;0;0;0;0;0;0;38.0;-1.3;51.7;45.5;46.8;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
7;2002 3e kwartaal;0;0;0;0;0;0;35.8;-3.5;51.0;42.5;46.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
8;2002 4e kwartaal;0;0;0;0;0;0;38.6;-1.5;50.5;45.4;46.9;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
9;2002;0;0;0;0;0;0;37.2;-2.1;50.5;44.1;46.2;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
10;2003 1e kwartaal;0;0;0;0;0;0;35.8;-3.1;51.8;42.0;45.1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
11;2003 2e kwartaal;0;0;0;0;0;0;37.5;-3.6;51.1;45.0;48.6;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
12;2003 3e kwartaal;0;0;0;0;0;0;34.9;-5.1;52.4;41.8;46.9;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
13;2003 4e kwartaal;0;0;0;0;0;0;39.3;-0.9;52.0;46.7;47.6;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
14;2003;0;0;0;0;0;0;36.9;-3.1;52.0;43.9;47.1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0
