ID;KenmerkenVanHuishoudens;EenEnTweeverdieners;Perioden;AantalHuishoudens_1;PercentageVanCategorie_2;PercentageVanEenEnTweeverdieners_3;PercentageVanTotaal_4;InkomenMeestverdienendePartner_5;InkomenMinstverdienendePartner_6;InkomenEchtPaar_7;InkomenHuishouden_8;GestandaardiseerdInkomen_9
0;0;Totaal huishoudens;1990;4868.0;100.0;;100.0;15.0;;;19.0;13.0
1;0;Totaal huishoudens;1991;4941.0;100.0;;100.0;16.0;;;20.0;13.0
2;0;Totaal huishoudens;1992;5003.0;100.0;;100.0;16.0;;;20.0;14.0
3;0;Totaal huishoudens;1993;5072.0;100.0;;100.0;16.0;;;21.0;14.0
4;0;Totaal huishoudens;1994;5109.0;100.0;;100.0;16.0;;;21.0;14.0
5;0;Totaal huishoudens;1995;5175.0;100.0;;100.0;17.0;;;22.0;15.0
6;0;Totaal huishoudens;1996;5222.0;100.0;;100.0;17.0;;;23.0;15.0
7;0;Totaal huishoudens;1997;5287.0;100.0;;100.0;18.0;;;23.0;16.0
8;0;Totaal huishoudens;1998;5346.0;100.0;;100.0;18.0;;;24.0;16.0
9;0;Totaal huishoudens;1999;5399.0;100.0;;100.0;19.0;;;25.0;17.0
10;0;Totaal huishoudens;2000;5464.0;100.0;;100.0;20.0;;;26.0;18.0
11;0;Eenverdiener;1990;1371.0;28.0;44.0;28.0;19.0;;19.0;22.0;12.0
12;0;Eenverdiener;1991;1289.0;26.0;40.0;26.0;19.0;;19.0;22.0;13.0
13;0;Eenverdiener;1992;1229.0;25.0;38.0;25.0;20.0;;20.0;22.0;13.0
14;0;Eenverdiener;1993;1185.0;23.0;37.0;23.0;20.0;;20.0;23.0;13.0
15;0;Eenverdiener;1994;1130.0;22.0;35.0;22.0;21.0;;21.0;23.0;13.0
16;0;Eenverdiener;1995;1097.0;21.0;33.0;21.0;21.0;;21.0;24.0;14.0
17;0;Eenverdiener;1996;1033.0;20.0;31.0;20.0;22.0;;22.0;24.0;14.0
18;0;Eenverdiener;1997;980.0;19.0;29.0;19.0;22.0;;22.0;25.0;15.0
19;0;Eenverdiener;1998;943.0;18.0;28.0;18.0;23.0;;23.0;26.0;15.0
20;0;Eenverdiener;1999;891.0;16.0;27.0;16.0;23.0;;24.0;26.0;16.0
21;0;Eenverdiener;2000;820.0;15.0;24.0;15.0;24.0;;25.0;28.0;16.0
22;0;Tweeverdiener;1990;1771.0;36.0;56.0;36.0;17.0;7.0;24.0;25.0;15.0
23;0;Tweeverdiener;1991;1924.0;39.0;60.0;39.0;17.0;7.0;24.0;26.0;16.0
24;0;Tweeverdiener;1992;1994.0;40.0;62.0;40.0;17.0;7.0;25.0;27.0;16.0
25;0;Tweeverdiener;1993;2050.0;40.0;63.0;40.0;18.0;8.0;25.0;27.0;17.0
26;0;Tweeverdiener;1994;2139.0;42.0;65.0;42.0;18.0;8.0;26.0;28.0;17.0
27;0;Tweeverdiener;1995;2179.0;42.0;67.0;42.0;19.0;8.0;27.0;29.0;18.0
28;0;Tweeverdiener;1996;2287.0;44.0;69.0;44.0;20.0;8.0;28.0;29.0;18.0
29;0;Tweeverdiener;1997;2356.0;45.0;71.0;45.0;20.0;9.0;29.0;30.0;19.0
30;0;Tweeverdiener;1998;2402.0;45.0;72.0;45.0;21.0;9.0;30.0;31.0;19.0
31;0;Tweeverdiener;1999;2453.0;45.0;73.0;45.0;21.0;9.0;31.0;32.0;20.0
32;0;Tweeverdiener;2000;2561.0;47.0;76.0;47.0;22.0;10.0;32.0;34.0;21.0
33;0;Overig huishouden;1990;1726.0;35.0;;35.0;11.0;;;12.0;10.0
34;0;Overig huishouden;1991;1728.0;35.0;;35.0;11.0;;;12.0;11.0
35;0;Overig huishouden;1992;1779.0;36.0;;36.0;11.0;;;12.0;11.0
36;0;Overig huishouden;1993;1837.0;36.0;;36.0;11.0;;;12.0;11.0
37;0;Overig huishouden;1994;1840.0;36.0;;36.0;12.0;;;13.0;11.0
38;0;Overig huishouden;1995;1900.0;37.0;;37.0;12.0;;;13.0;12.0
39;0;Overig huishouden;1996;1902.0;36.0;;36.0;12.0;;;13.0;12.0
40;0;Overig huishouden;1997;1951.0;37.0;;37.0;13.0;;;14.0;12.0
41;0;Overig huishouden;1998;2001.0;37.0;;37.0;13.0;;;14.0;13.0
42;0;Overig huishouden;1999;2056.0;38.0;;38.0;14.0;;;15.0;14.0
43;0;Overig huishouden;2000;2082.0;38.0;;38.0;15.0;;;16.0;14.0
44;101;Totaal huishoudens;1990;418.0;100.0;;9.0;7.0;;;8.0;7.0
45;101;Totaal huishoudens;1991;424.0;100.0;;9.0;7.0;;;8.0;7.0
46;101;Totaal huishoudens;1992;417.0;100.0;;8.0;7.0;;;8.0;7.0
47;101;Totaal huishoudens;1993;411.0;100.0;;8.0;7.0;;;8.0;7.0
