ID;LeeftijdReferentiepersoon;Perioden;TotaalHuishoudensMetKinderen_1;HuishoudensJongsteKind0Tot3Jaar_2;HuishoudensJongsteKind3Tot6Jaar_3;HuishoudensJongsteKind6Tot12Jaar_4;HuishoudensJongsteKind12Tot18Jaar_5;HuishoudensJongsteKind18Jaar_6
0;Totaal leeftijden (15 jaar of ouder);2011;2540232;486372;321807;582891;537339;611823
1;Totaal leeftijden (15 jaar of ouder);2012;2542294;482037;322834;572654;544933;619836
2;Totaal leeftijden (15 jaar of ouder);2013;2545055;480599;324910;560471;553946;625129
3;Totaal leeftijden (15 jaar of ouder);2014;2545662;480688;321548;550980;565006;627440
4;Totaal leeftijden (15 jaar of ouder);2015;2545161;481819;316991;542589;573465;630297
5;Totaal leeftijden (15 jaar of ouder);2016;2544225;483471;314933;535616;575179;635026
6;Totaal leeftijden (15 jaar of ouder);2017;2542725;485553;314410;530641;572455;639666
7;Totaal leeftijden (15 jaar of ouder);2018;2541054;488268;314786;527500;562172;648328
8;Totaal leeftijden (15 jaar of ouder);2019;2539569;491417;315427;527622;549614;655489
9;Totaal leeftijden (15 jaar of ouder);2020;2540288;495148;316679;524345;540729;663387
10;Totaal leeftijden (15 jaar of ouder);2021;2540610;498563;318389;520312;533266;670080
11;Totaal leeftijden (15 jaar of ouder);2022;2539688;501547;320425;518784;526690;672242
12;Totaal leeftijden (15 jaar of ouder);2023;2537997;504079;322642;518949;521949;670378
13;Totaal leeftijden (15 jaar of ouder);2024;2535891;506164;324744;520247;518884;665852
14;Totaal leeftijden (15 jaar of ouder);2025;2533564;507746;326711;522029;518881;658197
15;Totaal leeftijden (15 jaar of ouder);2026;2531274;508993;328580;524464;514665;654572
16;Totaal leeftijden (15 jaar of ouder);2027;2529543;510078;330370;527566;509622;651907
17;Totaal leeftijden (15 jaar of ouder);2028;2528333;510849;331831;531031;507490;647132
18;Totaal leeftijden (15 jaar of ouder);2029;2527826;511363;332925;534677;507291;641570
19;Totaal leeftijden (15 jaar of ouder);2030;2527917;511547;333682;538137;508353;636198
20;Totaal leeftijden (15 jaar of ouder);2031;2528846;511397;334217;541341;510043;631848
21;Totaal leeftijden (15 jaar of ouder);2032;2529554;510666;334501;543987;512201;628199
22;Totaal leeftijden (15 jaar of ouder);2033;2530604;509489;334652;546242;514905;625316
23;Totaal leeftijden (15 jaar of ouder);2034;2531798;507871;334645;548028;518070;623184
24;Totaal leeftijden (15 jaar of ouder);2035;2533099;505898;334441;549385;521499;621876
25;Totaal leeftijden (15 jaar of ouder);2036;2535303;503861;334110;550563;525013;621756
26;Totaal leeftijden (15 jaar of ouder);2037;2537012;501643;333442;551314;528183;622430
27;Totaal leeftijden (15 jaar of ouder);2038;2538810;499512;332530;551815;531016;623937
28;Totaal leeftijden (15 jaar of ouder);2039;2540603;497591;331402;552036;533507;626067
29;Totaal leeftijden (15 jaar of ouder);2040;2542296;495967;330124;551917;535563;628725
30;Totaal leeftijden (15 jaar of ouder);2041;2543641;494680;328752;551353;537161;631695
31;Totaal leeftijden (15 jaar of ouder);2042;2544665;493792;327369;550331;538375;634798
32;Totaal leeftijden (15 jaar of ouder);2043;2545294;493329;326056;548826;539235;637848
33;Totaal leeftijden (15 jaar of ouder);2044;2545590;493314;324900;546903;539779;640694
34;Totaal leeftijden (15 jaar of ouder);2045;2545480;493709;323945;544627;539948;643251
35;Totaal leeftijden (15 jaar of ouder);2046;2544909;494466;323232;542113;539665;645433
36;Totaal leeftijden (15 jaar of ouder);2047;2544068;495562;322796;539530;538893;647287
37;Totaal leeftijden (15 jaar of ouder);2048;2543022;496934;322648;537034;537607;648799
38;Totaal leeftijden (15 jaar of ouder);2049;2541893;498516;322789;534769;535825;649994
39;Totaal leeftijden (15 jaar of ouder);2050;2540746;500237;323200;532864;533612;650833
40;Totaal leeftijden (15 jaar of ouder);2051;2539581;502019;323841;531388;531054;651279
41;Totaal leeftijden (15 jaar of ouder);2052;2538453;503798;324664;530400;528296;651295
42;Totaal leeftijden (15 jaar of ouder);2053;2537363;505515;325623;529913;525479;650833
43;Totaal leeftijden (15 jaar of ouder);2054;2536331;507108;326666;529908;522752;649897
44;Totaal leeftijden (15 jaar of ouder);2055;2535457;508554;327767;530368;520261;648507
45;Totaal leeftijden (15 jaar of ouder);2056;2534623;509784;328864;531208;518106;646661
46;Totaal leeftijden (15 jaar of ouder);2057;2533921;510782;329925;532374;516384;644456
47;Totaal leeftijden (15 jaar of ouder);2058;2533350;511518;330911;533790;515148;641983
48;Totaal leeftijden (15 jaar of ouder);2059;2532945;511993;331796;535384;514425;639347
