ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;FormeelOnverzekerdenOpPeildatum_1;NogOnverzekerd6MaandenNaPeildatum_2;FormeelOnverzekerdOpPeildatum_3;NogOnverzekerd6MaandenNaPeildatum_4
0;3;9;9;1 mei 2006;231160;172800;1.4;1.1
1;3;9;9;1 mei 2007;201580;150710;1.2;0.9
2;3;9;9;1 mei 2008;195860;152810;1.2;0.9
3;3;9;9;1 mei 2009;193700;152240;1.2;0.9
4;3;9;9;1 mei 2010;174610;136450;1.1;0.8
5;3;9;0;1 mei 2006;72820;55630;0.6;0.4
6;3;9;0;1 mei 2007;56710;44820;0.4;0.3
7;3;9;0;1 mei 2008;52540;43100;0.4;0.3
8;3;9;0;1 mei 2009;45350;37280;0.3;0.3
9;3;9;0;1 mei 2010;35900;29130;0.3;0.2
10;3;9;8;1 mei 2006;158340;117170;5.0;3.7
11;3;9;8;1 mei 2007;144870;105890;4.5;3.3
12;3;9;8;1 mei 2008;143320;109700;4.4;3.4
13;3;9;8;1 mei 2009;148350;114960;4.5;3.5
14;3;9;8;1 mei 2010;138710;107310;4.1;3.2
15;3;9;1;1 mei 2006;7320;5080;2.2;1.6
16;3;9;1;1 mei 2007;5640;4000;1.7;1.2
17;3;9;1;1 mei 2008;5280;3970;1.6;1.2
18;3;9;1;1 mei 2009;4400;3280;1.3;1.0
19;3;9;1;1 mei 2010;3770;2800;1.1;0.8
20;3;9;2;1 mei 2006;8840;6200;2.4;1.7
21;3;9;2;1 mei 2007;6900;4900;1.9;1.3
22;3;9;2;1 mei 2008;6470;4840;1.7;1.3
23;3;9;2;1 mei 2009;6120;4590;1.6;1.2
24;3;9;2;1 mei 2010;5580;4370;1.4;1.1
25;3;9;3;1 mei 2006;8350;5940;2.5;1.8
26;3;9;3;1 mei 2007;6370;4670;1.9;1.4
27;3;9;3;1 mei 2008;5710;4310;1.7;1.3
28;3;9;3;1 mei 2009;5110;3880;1.5;1.1
29;3;9;3;1 mei 2010;4240;3280;1.2;1.0
30;3;9;4;1 mei 2006;6920;5110;5.3;3.9
31;3;9;4;1 mei 2007;6190;4850;4.7;3.7
32;3;9;4;1 mei 2008;6500;5340;4.9;4.0
33;3;9;4;1 mei 2009;7240;6070;5.3;4.4
34;3;9;4;1 mei 2010;6080;4920;4.4;3.5
35;3;9;5;1 mei 2006;50280;37090;8.8;6.5
36;3;9;5;1 mei 2007;46310;33220;8.0;5.7
37;3;9;5;1 mei 2008;42220;31530;7.0;5.3
38;3;9;5;1 mei 2009;41460;32300;6.6;5.2
39;3;9;5;1 mei 2010;39030;30230;6.0;4.6
40;3;9;6;1 mei 2006;76640;57760;5.4;4.0
41;3;9;6;1 mei 2007;73470;54260;5.1;3.8
