ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal over alle leeftijden;2007;4133835;2066259;743984;930003;393589;461104;272832;141208;47064
1;Totaal over alle leeftijden;2008;4130971;2067848;739479;934136;389508;468369;277255;143392;47722
2;Totaal over alle leeftijden;2009;4130167;2069739;737615;937811;385002;474466;281199;145088;48179
3;Totaal over alle leeftijden;2010;4131404;2073446;737772;940447;379739;479476;284680;146342;48454
4;Totaal over alle leeftijden;2011;4134129;2078969;738933;941921;374306;483743;287895;147262;48586
5;Totaal over alle leeftijden;2012;4137950;2086234;740527;942541;368648;487280;290802;147871;48607
6;Totaal over alle leeftijden;2013;4142565;2095032;742169;942282;363082;490092;293390;148191;48511
7;Totaal over alle leeftijden;2014;4147642;2105458;743553;941405;357226;492114;295586;148210;48318
8;Totaal over alle leeftijden;2015;4152810;2116328;744764;940240;351478;493417;297412;147960;48045
9;Totaal over alle leeftijden;2016;4157883;2126739;746140;939081;345923;494055;298870;147489;47696
10;Totaal over alle leeftijden;2017;4162588;2135567;747736;938533;340752;494096;299966;146819;47311
11;Totaal over alle leeftijden;2018;4166865;2143612;749316;938073;335864;493574;300680;145998;46896
12;Totaal over alle leeftijden;2019;4170610;2150072;751116;937836;331586;492668;301113;145084;46471
13;Totaal over alle leeftijden;2020;4173701;2156802;752571;936713;327615;491421;301246;144110;46065
14;Totaal over alle leeftijden;2021;4176187;2163255;753435;935263;324234;489928;301098;143139;45691
15;Totaal over alle leeftijden;2022;4178168;2169996;753224;933427;321521;488351;300736;142236;45379
16;Totaal over alle leeftijden;2023;4179543;2177936;751365;930908;319334;486718;300188;141403;45127
17;Totaal over alle leeftijden;2024;4180182;2186326;747788;928320;317748;485139;299511;140683;44945
18;Totaal over alle leeftijden;2025;4179943;2194300;742885;926073;316685;483679;298718;140133;44828
19;Totaal over alle leeftijden;2026;4178611;2201079;737083;924315;316134;482373;297872;139725;44776
20;Totaal over alle leeftijden;2027;4176023;2205963;730816;923202;316042;481319;297042;139489;44788
21;Totaal over alle leeftijden;2028;4172078;2208577;724389;922818;316294;480474;296228;139389;44857
22;Totaal over alle leeftijden;2029;4166721;2208753;718047;923129;316792;479869;295457;139441;44971
23;Totaal over alle leeftijden;2030;4159987;2206589;711924;924043;317431;479510;294771;139613;45126
24;Totaal over alle leeftijden;2031;4152020;2202327;706087;925478;318128;479407;294212;139885;45310
25;Totaal over alle leeftijden;2032;4142882;2196122;700595;927320;318845;479525;293761;140246;45518
26;Totaal over alle leeftijden;2033;4132899;2188480;695474;929410;319535;479850;293456;140661;45733
27;Totaal over alle leeftijden;2034;4122180;2179658;690821;931541;320160;480344;293273;141125;45946
28;Totaal over alle leeftijden;2035;4110923;2169943;686761;933539;320680;480922;293177;141595;46150
29;Totaal over alle leeftijden;2036;4099269;2159634;683357;935219;321059;481614;293193;142072;46349
30;Totaal over alle leeftijden;2037;4087415;2148998;680697;936452;321268;482349;293269;142550;46530
31;Totaal over alle leeftijden;2038;4075545;2138292;678799;937154;321300;483086;293387;143012;46687
32;Totaal over alle leeftijden;2039;4063873;2127783;677648;937312;321130;483765;293506;143437;46822
33;Totaal over alle leeftijden;2040;4052522;2117714;677127;936932;320749;484401;293647;143816;46938
34;Totaal over alle leeftijden;2041;4041673;2108301;677108;936084;320180;484971;293808;144137;47026
35;Totaal over alle leeftijden;2042;4031390;2099662;677481;934826;319421;485485;293974;144416;47095
36;Totaal over alle leeftijden;2043;4021795;2091940;678107;933245;318503;485928;294161;144628;47139
37;Totaal over alle leeftijden;2044;4012944;2085167;678928;931391;317458;486296;294330;144797;47169
38;Totaal over alle leeftijden;2045;4004875;2079376;679839;929333;316327;486583;294479;144925;47179
39;Totaal over alle leeftijden;2046;3997622;2074506;680804;927167;315145;486756;294577;145004;47175
40;Totaal over alle leeftijden;2047;3991236;2070551;681789;924943;313953;486833;294629;145053;47151
41;Totaal over alle leeftijden;2048;3985704;2067500;682701;922727;312776;486836;294650;145067;47119
42;Totaal over alle leeftijden;2049;3981045;2065327;683492;920581;311645;486756;294633;145043;47080
43;Totaal over alle leeftijden;2050;3977273;2063962;684196;918524;310591;486578;294549;144992;47037
44;100;2007;153077;118869;25403;7245;1560;13820;11089;2373;358
45;100;2008;153056;119364;25143;7003;1546;14090;11320;2408;362
46;100;2009;154299;120954;24910;6864;1571;14448;11618;2460;370
47;100;2010;155516;122509;24675;6753;1579;14812;11924;2510;378
48;100;2011;156910;124325;24343;6646;1596;15175;12231;2560;384
49;100;2012;157906;125830;23923;6553;1600;15503;12509;2605;389
50;100;2013;159408;127641;23673;6484;1610;15883;12822;2663;398
51;100;2014;160997;129451;23446;6459;1641;16285;13144;2732;409
52;100;2015;161982;130723;23139;6454;1666;16627;13417;2791;419
53;100;2016;161227;130639;22546;6371;1671;16831;13592;2817;422
54;100;2017;160109;130210;21958;6274;1667;17010;13756;2831;423
55;100;2018;159496;130111;21509;6211;1665;17249;13967;2855;427
56;100;2019;159197;130223;21157;6150;1667;17516;14203;2884;429
57;100;2020;158939;130389;20821;6067;1662;17782;14438;2913;431
58;100;2021;160110;131591;20788;6058;1673;18143;14734;2970;439
59;100;2022;161974;133247;20932;6102;1693;18531;15039;3042;450
60;100;2023;163287;134402;21024;6144;1717;18829;15266;3103;460
61;100;2024;163218;134445;20905;6138;1730;18973;15371;3135;467
62;100;2025;162537;133944;20730;6125;1738;19034;15408;3155;471
63;100;2026;159984;132022;20214;6023;1725;18913;15314;3131;468
64;100;2027;157508;130148;19713;5928;1719;18803;15230;3108;465
65;100;2028;154844;128127;19181;5831;1705;18670;15132;3078;460
66;100;2029;151868;125924;18559;5704;1681;18509;15018;3039;452
67;100;2030;149749;124407;18072;5606;1664;18432;14969;3015;448
68;100;2031;148680;123703;17772;5549;1656;18452;14992;3013;447
69;100;2032;147754;123103;17503;5498;1650;18479;15022;3011;446
70;100;2033;147108;122728;17279;5459;1642;18537;15075;3015;447
71;100;2034;146663;122499;17098;5427;1639;18611;15142;3022;447
72;100;2035;146385;122399;16947;5402;1637;18696;15217;3031;448
73;100;2036;146297;122439;16834;5386;1638;18801;15308;3043;450
74;100;2037;146433;122639;16774;5379;1641;18924;15414;3058;452
75;100;2038;146775;122998;16751;5380;1646;19069;15536;3078;455
76;100;2039;147289;123484;16766;5389;1650;19222;15663;3101;458
77;100;2040;147925;124064;16802;5402;1657;19383;15797;3125;461
78;100;2041;148641;124708;16846;5419;1668;19547;15932;3150;465
79;100;2042;149401;125396;16897;5433;1675;19703;16059;3175;469
80;100;2043;150181;126114;16940;5444;1683;19855;16183;3200;472
81;100;2044;150913;126816;16961;5449;1687;19990;16291;3223;476
82;100;2045;151576;127503;16942;5443;1688;20112;16389;3244;479
83;100;2046;152155;128170;16875;5425;1685;20214;16470;3262;482
84;100;2047;152643;128728;16822;5410;1683;20298;16537;3277;484
85;100;2048;153042;129183;16780;5398;1681;20365;16590;3289;486
86;100;2049;153348;129536;16745;5388;1679;20422;16634;3300;488
87;100;2050;153558;129772;16727;5381;1678;20454;16658;3307;489
88;101;2007;706789;283118;180105;180370;63196;62072;34287;20644;7141
89;101;2008;685397;278136;171394;175410;60457;60972;33775;20225;6972
90;101;2009;671860;274279;166140;172529;58912;60430;33511;20028;6891
91;101;2010;663532;272017;162628;171390;57497;60121;33369;19909;6843
92;101;2011;660264;270517;161502;171230;57015;60190;33423;19919;6848
93;101;2012;660083;269797;161879;171324;57083;60405;33556;19982;6867
94;101;2013;661064;269968;162318;171393;57385;60654;33707;20058;6889
95;101;2014;662129;270454;162874;171177;57624;60812;33817;20098;6897
96;101;2015;664698;271615;163712;171368;58003;61107;34004;20185;6918
97;101;2016;667674;274537;164244;170737;58156;61379;34221;20238;6920
98;101;2017;671949;277516;165238;170758;58437;61830;34531;20353;6946
99;101;2018;678226;280340;166543;172218;59125;62568;34951;20593;7024
100;101;2019;684884;282764;167749;174363;60008;63446;35426;20894;7126
101;101;2020;690430;284776;168690;176197;60767;64272;35878;21171;7223
102;101;2021;693793;285645;169111;177666;61371;64945;36227;21406;7312
103;101;2022;695112;286021;169007;178388;61696;65460;36486;21593;7381
104;101;2023;697185;286868;168961;179287;62069;66074;36809;21805;7460
105;101;2024;700395;288616;168967;180315;62497;66819;37225;22046;7548
106;101;2025;702995;290536;168751;180918;62790;67495;37604;22266;7625
107;101;2026;704675;293161;168427;180381;62706;67993;37922;22410;7661
108;101;2027;705444;295079;168150;179659;62556;68399;38183;22525;7691
109;101;2028;706631;296534;168148;179382;62567;68843;38444;22664;7735
110;101;2029;707731;297526;168258;179314;62633;69289;38690;22815;7784
111;101;2030;707131;297266;168039;179166;62660;69572;38831;22917;7824
112;101;2031;706490;295958;167716;179870;62946;69918;38966;23061;7891
113;101;2032;705682;294328;167153;180867;63334;70260;39086;23213;7961
114;101;2033;703026;292317;165951;181238;63520;70416;39120;23291;8005
115;101;2034;697944;290043;164107;180463;63331;70277;39014;23258;8005
116;101;2035;692078;287861;162050;179186;62981;70021;38854;23182;7985
117;101;2036;684027;285721;159559;176552;62195;69463;38566;22984;7913
118;101;2037;676851;283949;157348;174081;61473;68974;38318;22808;7848
119;101;2038;670254;282535;155386;171590;60743;68505;38088;22635;7782
120;101;2039;664110;281462;153651;169012;59985;68042;37872;22459;7711
121;101;2040;660056;280910;152476;167212;59458;67801;37772;22359;7670
122;101;2041;658167;280836;151851;166283;59197;67797;37791;22344;7662
123;101;2042;657009;280997;151465;165545;59002;67852;37845;22347;7660
124;101;2043;656755;281446;151314;165098;58897;67994;37946;22379;7669
125;101;2044;657268;282137;151395;164863;58873;68210;38088;22436;7686
126;101;2045;658407;283006;151670;164818;58913;68475;38256;22509;7710
127;101;2046;660132;284032;152119;164967;59014;68795;38453;22602;7740
128;101;2047;662398;285268;152647;165309;59174;69168;38676;22715;7777
129;101;2048;665060;286675;153195;165819;59371;69572;38912;22840;7820
130;101;2049;667975;288237;153707;166437;59594;70003;39159;22977;7867
131;101;2050;671000;289893;154176;167103;59828;70435;39402;23117;7916
132;102;2007;1006974;133726;180601;463074;229573;151914;66407;61386;24121
133;102;2008;990242;126220;179695;459312;225015;153922;67302;62190;24430
134;102;2009;966638;118321;176142;452964;219211;154023;67350;62235;24438
135;102;2010;939436;110601;171309;444577;212949;152821;66808;61768;24245
136;102;2011;911631;104397;164957;435960;206317;151176;66102;61115;23959
137;102;2012;884960;100026;157750;427719;199465;149402;65361;60389;23652
138;102;2013;859471;96190;151028;419713;192540;147089;64402;59441;23246
139;102;2014;834628;93604;143504;412032;185488;144316;63246;58297;22773
140;102;2015;806750;91341;134860;402657;177892;140140;61433;56595;22112
141;102;2016;783646;88658;127977;395633;171378;136282;59748;55024;21510
142;102;2017;764861;86630;121917;390226;166088;132789;58204;53608;20977
143;102;2018;748191;85291;116353;385119;161428;129605;56758;52340;20507
144;102;2019;738037;84286;112755;382475;158521;127643;55859;51567;20217
145;102;2020;732595;84084;110126;381779;156606;126421;55298;51089;20034
146;102;2021;731733;83985;109027;382760;155961;126012;55111;50930;19971
147;102;2022;733809;83766;108891;384939;156213;126055;55127;50948;19980
148;102;2023;736491;84111;108471;387212;156697;126281;55229;51031;20021
149;102;2024;738893;84403;108098;389277;157115;126495;55311;51118;20066
150;102;2025;742683;84742;108066;392045;157830;127019;55531;51336;20152
151;102;2026;747367;85796;107803;395141;158627;127608;55772;51579;20257
152;102;2027;753103;86662;107937;398813;159691;128514;56145;51954;20415
153;102;2028;760191;87718;108213;403189;161071;129899;56737;52521;20641
154;102;2029;767419;88801;108535;407608;162475;131463;57413;53159;20891
155;102;2030;773607;89909;108787;411305;163606;132893;58035;53742;21116
156;102;2031;777150;91084;108543;413384;164139;133981;58511;54185;21285
157;102;2032;778600;92376;107958;414125;164141;134749;58843;54499;21407
158;102;2033;781115;93735;107708;415381;164291;135642;59245;54853;21544
159;102;2034;785231;95182;107860;417470;164719;136784;59769;55301;21714
160;102;2035;788717;96554;107946;419200;165017;137797;60239;55691;21867
161;102;2036;791763;97871;108051;420640;165201;138549;60584;55976;21989
162;102;2037;793323;98909;107860;421361;165193;139101;60827;56190;22084
163;102;2038;794882;99802;107648;422139;165293;139744;61105;56445;22194
164;102;2039;796118;100574;107396;422768;165380;140392;61388;56704;22300
165;102;2040;795084;101090;106709;422195;165090;140730;61531;56840;22359
166;102;2041;793478;101459;105924;421365;164730;141108;61707;56986;22415
167;102;2042;791777;101884;105193;420423;164277;141471;61894;57119;22458
168;102;2043;788397;102288;104233;418483;163393;141501;61952;57105;22444
169;102;2044;782874;102537;103017;415326;161994;140992;61771;56872;22349
170;102;2045;776795;102766;101767;411827;160435;140284;61508;56553;22223
171;102;2046;768838;102855;100245;407268;158470;139087;61013;56042;22032
172;102;2047;761865;102921;98930;403276;156738;138024;60574;55590;21860
173;102;2048;755578;102984;97745;399663;155186;137038;60164;55171;21703
174;102;2049;749878;103024;96650;396413;153791;136099;59765;54774;21560
175;102;2050;746285;103163;95905;394358;152859;135574;59546;54548;21480
176;103;2007;907814;284245;262909;263494;97166;141357;80399;47244;13714
177;103;2008;911984;272079;265066;274759;100080;146044;83023;48831;14190
178;103;2009;917634;261258;268239;285590;102547;150971;85824;50471;14676
