ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Producentenvertrouwen_1;VerwachteBedrijvigheid_2;OordeelOrderpositie_3;OordeelVoorraden_4
0;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 januari;-2.8;4.4;-8.7;-4.0
1;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 februari;2.1;9.8;-2.4;-1.0
2;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 maart;2.4;10.2;-1.0;-2.0
3;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 april;-1.8;0.9;-3.4;-3.0
4;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 mei;-1.4;2.8;-4.1;-3.0
5;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 juni;-0.5;2.7;-3.1;-1.0
6;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 juli;-1.7;3.5;-5.6;-3.0
7;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 augustus;-1.6;2.1;-3.8;-3.0
8;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 september;-2.4;3.0;-7.1;-3.0
9;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 oktober;-2.9;0.9;-7.7;-2.0
10;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 november;-2.4;3.9;-7.0;-4.0
11;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1985 december;-4.2;0.6;-6.3;-7.0
12;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 januari;-0.4;8.7;-6.8;-3.0
13;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 februari;-2.9;3.7;-6.3;-6.0
14;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 maart;-4.0;7.1;-13.0;-6.0
15;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 april;-5.4;1.1;-11.3;-6.0
16;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 mei;-4.1;3.7;-10.1;-6.0
17;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 juni;-4.2;4.5;-10.1;-7.0
18;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 juli;-3.0;9.6;-11.7;-7.0
19;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 augustus;-4.4;5.0;-12.1;-6.0
20;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 september;-5.8;2.1;-13.4;-6.0
21;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 oktober;-5.0;2.9;-12.8;-5.0
22;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 november;-4.5;3.8;-12.3;-5.0
23;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1986 december;-4.6;3.6;-12.4;-5.0
24;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 januari;-5.7;3.0;-15.0;-5.0
25;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 februari;-4.5;4.7;-13.2;-5.0
26;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 maart;-5.3;3.0;-13.9;-5.0
27;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 april;-6.5;1.4;-16.0;-5.0
28;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 mei;-6.4;1.7;-17.0;-4.0
29;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 juni;-6.3;1.2;-16.0;-4.0
30;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 juli;-4.6;1.7;-12.6;-3.0
31;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 augustus;-5.2;0.8;-14.3;-2.0
32;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 september;-3.8;5.2;-13.5;-3.0
33;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 oktober;-3.0;4.9;-12.9;-1.0
34;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 november;-2.9;3.7;-10.4;-2.0
35;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1987 december;-4.3;2.6;-12.5;-3.0
36;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 januari;-4.6;1.2;-11.1;-4.0
37;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 februari;-4.5;2.6;-11.1;-5.0
38;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 maart;-4.3;1.8;-10.8;-4.0
39;C Industrie;Waarde;Seizoengecorrigeerde cijfers;1988 april;-3.0;2.7;-8.6;-3.0
