ID;KenmerkenHuishoudens;AantalKinderen;Perioden;Paren_1;BeidePartnersWerkzaam_2;BeidePartnersVoltijd_3;EenPartnerVoltijdEenDeeltijd_4;ManVoltijdPartnerDeeltijd_5;VrouwVoltijdPartnerDeeltijd_6;VoltijdPartner20Tot35Uur_7;ManVoltijdPartner20Tot35Uur_8;VrouwVoltijdPartner20Tot35Uur_9;VoltijdPartner12Tot20Uur_10;ManVoltijdPartner12Tot20Uur_11;VrouwVoltijdPartner12Tot20Uur_12;VoltijdPartner12Uur_13;ManVoltijdPartner12Uur_14;VrouwVoltijdPartner12Uur_15;BeidePartnersDeeltijd_16;BeidePartners20Tot35Uur_17;k_20Tot35UurPartner12Tot20Uur_18;Man20Tot35UurPartner12Tot20_19;Vrouw20Tot35UurPartner12Tot20_20;k_20Tot35UurPartner12Uur_21;Man20Tot35UurPartner12Uur_22;Vrouw20Tot35UurPartner12Uur_23;BeidePartners12Tot20Uur_24;k_12Tot20UurPartner12Uur_25;Man12Tot20UurPartner12Uur_26;Vrouw12Tot20UurPartner12Uur_27;BeidePartners12Uur_28;EenVanDePartnersWerkzaam_29;ManWerkzaamPartnerNiet_30;VrouwWerkzaamPartnerNiet_31;VoltijdWerkzaamPartnerNiet_32;ManVoltijdWerkzaamPartnerNiet_33;VrouwVoltijdWerkzaamPartnerNiet_34;DeeltijdWerkzaamPartnerNiet_35;ManDeeltijdWerkzaamPartnerNiet_36;VrouwDeeltijdWerkzaamPartnerNiet_37;k_20Tot35UurWerkzaamPartnerNiet_38;Man20Tot35UurPartnerNiet_39;Vrouw20Tot35UurPartnerNiet_40;k_12Tot20UurWerkzaamPartnerNiet_41;Man12Tot20UurPartnerNiet_42;Vrouw12Tot20UurPartnerNiet_43;k_12UurWerkzaamPartnerNiet_44;Man12UurWerkzaamPartnerNiet_45;Vrouw12UurWerkzaamPartnerNiet_46;BeidePartnersNietWerkzaam_47
0;Totaal ;Totaal ;2013;3915.0;2231.0;485.0;1513.0;1427.0;87.0;1061.0;995.0;66.0;259.0;251.0;8.0;193.0;180.0;13.0;233.0;136.0;34.0;23.0;11.0;37.0;20.0;17.0;4.0;11.0;6.0;5.0;10.0;992.0;703.0;289.0;642.0;563.0;79.0;349.0;140.0;209.0;206.0;75.0;132.0;55.0;20.0;34.0;89.0;45.0;43.0;692.0
1;Totaal ;Totaal ;2014;3891.0;2194.0;485.0;1480.0;1398.0;82.0;1048.0;984.0;63.0;245.0;236.0;8.0;188.0;177.0;11.0;229.0;138.0;35.0;23.0;11.0;38.0;21.0;18.0;4.0;7.0;3.0;4.0;7.0;1020.0;734.0;286.0;662.0;582.0;80.0;358.0;152.0;206.0;216.0;84.0;131.0;55.0;21.0;34.0;87.0;46.0;41.0;677.0
2;Totaal ;Totaal ;2015;3897.0;2233.0;486.0;1503.0;1421.0;82.0;1072.0;1007.0;65.0;246.0;240.0;6.0;185.0;174.0;11.0;243.0;147.0;37.0;26.0;11.0;40.0;20.0;20.0;3.0;10.0;5.0;5.0;7.0;993.0;707.0;286.0;647.0;569.0;79.0;345.0;138.0;207.0;210.0;77.0;133.0;49.0;16.0;33.0;86.0;45.0;41.0;672.0
3;Totaal ;Totaal ;2016;3874.0;2260.0;507.0;1515.0;1427.0;88.0;1096.0;1026.0;70.0;241.0;235.0;6.0;177.0;166.0;12.0;238.0;146.0;36.0;23.0;12.0;36.0;18.0;18.0;3.0;9.0;3.0;6.0;8.0;941.0;673.0;267.0;619.0;543.0;77.0;321.0;131.0;190.0;194.0;72.0;122.0;47.0;16.0;31.0;81.0;43.0;38.0;674.0
4;Totaal ;Totaal ;2017;3873.0;2296.0;533.0;1522.0;1424.0;97.0;1133.0;1055.0;79.0;221.0;214.0;8.0;167.0;156.0;11.0;242.0;154.0;36.0;24.0;12.0;35.0;17.0;17.0;4.0;8.0;4.0;4.0;6.0;920.0;661.0;259.0;608.0;525.0;83.0;312.0;136.0;176.0;193.0;80.0;113.0;47.0;17.0;30.0;72.0;39.0;33.0;656.0
5;Totaal ;Totaal ;2018;3866.0;2343.0;544.0;1536.0;1440.0;96.0;1166.0;1088.0;78.0;220.0;212.0;8.0;150.0;139.0;11.0;263.0;172.0;40.0;26.0;15.0;34.0;18.0;16.0;2.0;6.0;3.0;3.0;7.0;888.0;635.0;252.0;584.0;507.0;78.0;303.0;128.0;175.0;193.0;79.0;114.0;44.0;17.0;27.0;67.0;33.0;34.0;635.0
6;Totaal ;Totaal ;2019;3852.0;2387.0;559.0;1560.0;1456.0;104.0;1200.0;1117.0;83.0;217.0;207.0;10.0;143.0;131.0;11.0;267.0;182.0;36.0;24.0;12.0;33.0;17.0;16.0;3.0;6.0;3.0;3.0;8.0;866.0;613.0;253.0;548.0;476.0;72.0;318.0;136.0;181.0;197.0;79.0;118.0;45.0;19.0;25.0;76.0;38.0;38.0;600.0
7;Totaal ;Totaal ;2020;3875.0;2396.0;571.0;1533.0;1425.0;108.0;1201.0;1111.0;90.0;202.0;193.0;8.0;130.0;120.0;10.0;292.0;200.0;36.0;24.0;12.0;36.0;19.0;17.0;4.0;7.0;4.0;3.0;8.0;858.0;596.0;261.0;541.0;466.0;75.0;316.0;130.0;186.0;203.0;78.0;125.0;40.0;15.0;25.0;73.0;37.0;36.0;621.0
8;Totaal ;Totaal ;2021;3851.0;2441.0;554.0;1525.0;1418.0;107.0;1194.0;1107.0;87.0;231.0;223.0;9.0;100.0;89.0;11.0;362.0;246.0;61.0;44.0;17.0;30.0;15.0;14.0;8.0;10.0;5.0;4.0;7.0;802.0;558.0;244.0;462.0;403.0;60.0;340.0;156.0;184.0;213.0;92.0;121.0;55.0;22.0;33.0;73.0;42.0;31.0;608.0
9;Totaal ;Totaal ;2022;3814.0;2487.0;573.0;1522.0;1403.0;119.0;1205.0;1106.0;99.0;220.0;210.0;10.0;97.0;87.0;10.0;392.0;274.0;62.0;42.0;20.0;32.0;18.0;15.0;5.0;10.0;4.0;7.0;7.0;777.0;528.0;249.0;448.0;383.0;65.0;329.0;145.0;184.0;198.0;81.0;117.0;58.0;23.0;35.0;73.0;41.0;32.0;551.0
10;Totaal ;Totaal ;2023;3816.0;2526.0;587.0;1534.0;1421.0;113.0;1221.0;1127.0;94.0;215.0;205.0;10.0;97.0;89.0;8.0;406.0;281.0;63.0;45.0;18.0;38.0;22.0;15.0;8.0;9.0;4.0;5.0;7.0;771.0;530.0;240.0;438.0;377.0;60.0;333.0;153.0;180.0;210.0;91.0;119.0;56.0;22.0;34.0;67.0;41.0;26.0;520.0
11;Totaal ;Totaal ;2024;3815.0;2542.0;603.0;1520.0;1400.0;120.0;1216.0;1116.0;100.0;207.0;196.0;11.0;97.0;87.0;9.0;419.0;292.0;66.0;44.0;22.0;36.0;18.0;18.0;7.0;9.0;4.0;5.0;10.0;778.0;526.0;252.0;435.0;369.0;66.0;343.0;156.0;186.0;212.0;92.0;120.0;59.0;25.0;34.0;72.0;40.0;32.0;495.0
12;Totaal ;Paar: met kind(eren);2013;2015.0;1412.0;191.0;1089.0;1051.0;38.0;757.0;726.0;31.0;202.0;199.0;3.0;129.0;126.0;4.0;132.0;89.0;18.0;13.0;5.0;17.0;10.0;7.0;2.0;4.0;1.0;2.0;2.0;506.0;392.0;114.0;383.0;353.0;30.0;123.0;39.0;85.0;86.0;29.0;57.0;20.0;4.0;16.0;17.0;6.0;11.0;96.0
13;Totaal ;Paar: met kind(eren);2014;2017.0;1408.0;207.0;1068.0;1029.0;39.0;747.0;715.0;32.0;193.0;190.0;3.0;128.0;124.0;4.0;133.0;90.0;20.0;14.0;6.0;17.0;11.0;7.0;2.0;3.0;1.0;2.0;1.0;517.0;409.0;107.0;394.0;364.0;29.0;123.0;45.0;78.0;87.0;32.0;54.0;16.0;4.0;12.0;20.0;8.0;12.0;92.0
14;Totaal ;Paar: met kind(eren);2015;2021.0;1429.0;211.0;1076.0;1037.0;39.0;761.0;729.0;32.0;192.0;189.0;3.0;123.0;119.0;4.0;141.0;97.0;22.0;17.0;5.0;18.0;10.0;7.0;1.0;2.0;1.0;2.0;1.0;502.0;399.0;103.0;384.0;356.0;29.0;117.0;43.0;75.0;81.0;30.0;51.0;18.0;5.0;13.0;18.0;8.0;10.0;91.0
15;Totaal ;Paar: met kind(eren);2016;2008.0;1445.0;215.0;1093.0;1054.0;39.0;785.0;752.0;32.0;187.0;185.0;3.0;121.0;117.0;4.0;137.0;96.0;20.0;14.0;6.0;15.0;8.0;7.0;1.0;3.0;1.0;2.0;1.0;478.0;376.0;102.0;365.0;334.0;31.0;113.0;42.0;71.0;81.0;31.0;50.0;16.0;4.0;13.0;16.0;8.0;8.0;85.0
16;Totaal ;Paar: met kind(eren);2017;2014.0;1473.0;239.0;1089.0;1038.0;51.0;812.0;769.0;43.0;168.0;165.0;3.0;110.0;105.0;5.0;145.0;104.0;19.0;14.0;5.0;16.0;8.0;8.0;1.0;4.0;1.0;2.0;1.0;460.0;362.0;98.0;356.0;321.0;35.0;104.0;41.0;63.0;74.0;32.0;43.0;14.0;4.0;10.0;16.0;6.0;10.0;82.0
