ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
0;J Information and communication;2005 1st quarter;82.8;;;
1;J Information and communication;2005 2nd quarter;84.4;;;
2;J Information and communication;2005 3rd quarter;82.5;;;
3;J Information and communication;2005 4th quarter;96.4;;;
4;J Information and communication;2005;86.5;;;
5;J Information and communication;2006 1st quarter;88.5;6.8;;
6;J Information and communication;2006 2nd quarter;88.5;4.8;;
7;J Information and communication;2006 3rd quarter;87.6;6.1;;
8;J Information and communication;2006 4th quarter;104.9;8.8;;
9;J Information and communication;2006;92.3;6.7;;
10;J Information and communication;2007 1st quarter;95.3;7.7;;
11;J Information and communication;2007 2nd quarter;96.1;8.6;;
12;J Information and communication;2007 3rd quarter;93.4;6.7;;
13;J Information and communication;2007 4th quarter;108.7;3.7;;
14;J Information and communication;2007;98.4;6.5;;
15;J Information and communication;2008 1st quarter;96.6;1.3;;
16;J Information and communication;2008 2nd quarter;98.5;2.5;;
17;J Information and communication;2008 3rd quarter;95.5;2.2;;
18;J Information and communication;2008 4th quarter;111.5;2.5;;
19;J Information and communication;2008;100.5;2.2;;
20;J Information and communication;2009 1st quarter;98.2;1.7;;
21;J Information and communication;2009 2nd quarter;96.4;-2.2;;
22;J Information and communication;2009 3rd quarter;90.3;-5.4;;
23;J Information and communication;2009 4th quarter;105.6;-5.3;;
24;J Information and communication;2009;97.6;-2.9;;
25;J Information and communication;2010 1st quarter;95.7;-2.6;;
26;J Information and communication;2010 2nd quarter;93.7;-2.8;;
27;J Information and communication;2010 3rd quarter;92.2;2.1;;
28;J Information and communication;2010 4th quarter;107.2;1.6;;
29;J Information and communication;2010;97.2;-0.4;;
30;J Information and communication;2011 1st quarter;95.3;-0.4;;
31;J Information and communication;2011 2nd quarter;95.6;2.1;;
32;J Information and communication;2011 3rd quarter;93.5;1.5;;
33;J Information and communication;2011 4th quarter;107.7;0.4;;
34;J Information and communication;2011;98.0;0.9;;
35;J Information and communication;2012 1st quarter;94.9;-0.4;;
36;J Information and communication;2012 2nd quarter;93.3;-2.5;;
37;J Information and communication;2012 3rd quarter;90.7;-3.0;;
38;J Information and communication;2012 4th quarter;101.4;-5.8;;
39;J Information and communication;2012;95.1;-3.0;;
40;J Information and communication;2013 1st quarter;90.8;-4.4;92.7;
41;J Information and communication;2013 2nd quarter;90.7;-2.8;93.2;0.5
42;J Information and communication;2013 3rd quarter;88.5;-2.5;93.2;0.0
43;J Information and communication;2013 4th quarter;101.3;-0.1;92.1;-1.2
