ID;BedrijfstakkenSBI2008EnSectoren;TypeKapitaalgoed;Perioden;KapitaalgoederenvoorraadEindbalans_1;VolumeIndexcijfers2005100_2;KapitaalgoederenvoorraadBeginbalans_3;Herwaardering_4;InvestInVasteActivaProdEnInvoer_5;Afschrijvingen_6;HandelEnOverigeMutaties_7;StatistischVerschil_8;KapitaalgoederenvoorraadEindbalans_9
0;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1988;744280;70.8;711666;13726.0;51491.0;32355.0;-915.0;668.0;744280
1;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1989;780841;72.6;744280;16949.0;53761.0;34382.0;-666.0;899.0;780841
2;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1990;820619;74.4;780841;20704.0;56198.0;36596.0;-1444.0;917.0;820619
3;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1991;861462;76.0;820619;22442.0;57627.0;38773.0;-1322.0;869.0;861462
4;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1992;904694;77.6;861462;24744.0;59623.0;40900.0;-1134.0;899.0;904694
5;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1993;937932;79.0;904694;16676.0;59171.0;42437.0;-1155.0;983.0;937932
6;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1994;967756;80.4;937932;12871.0;60600.0;43636.0;-1023.0;1012.0;967756
7;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1995;1006282;82.0;967756;19871.0;64210.0;45226.0;-1449.0;1121.0;1006282
8;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1996;1052282;83.8;1006282;23857.0;69948.0;47150.0;-1702.0;1046.0;1052282
9;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1997;1097342;85.9;1052282;18956.0;75888.0;49309.0;-1462.0;987.0;1097342
10;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1998;1151527;88.1;1097342;25749.0;81292.0;52383.0;-1208.0;735.0;1151527
11;A-U Alle economische activiteiten;Totaal kapitaalgoederen;1999;1218028;90.6;1151527;33963.0;89418.0;56326.0;-1523.0;968.0;1218028
12;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2000;1302493;92.7;1218028;53931.0;92742.0;61308.0;-1518.0;619.0;1302493
13;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2001;1400124;94.7;1302493;69038.0;96197.0;65865.0;-1760.0;21.0;1400124
14;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2002;1485560;96.2;1400124;62299.0;94507.0;69427.0;-1943.0;0.0;1485560
15;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2003;1552950;97.6;1485560;46126.0;94759.0;71461.0;-2034.0;0.0;1552950
16;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2004;1599876;98.7;1552950;28171.0;94336.0;73498.0;-2083.0;0.0;1599876
17;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2005;1651478;100.0;1599876;30469.0;99170.0;75709.0;-2328.0;0.0;1651478
18;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2006;1728575;101.6;1651478;49471.0;108568.0;78594.0;-2348.0;0.0;1728575
19;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2007;1798658;103.5;1728575;37996.0;116712.0;82072.0;-2554.0;0.0;1798658
20;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2008;1888254;105.5;1798658;53315.0;124190.0;85412.0;-2497.0;0.0;1888254
21;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2009;1949521;106.6;1888254;40700.0;111123.0;87974.0;-2581.0;0.0;1949521
22;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2010;1990114;107.3;1949521;28626.0;104492.0;89725.0;-2801.0;0.0;1990114
23;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2011;1977411;108.3;1990114;-30345.0;109531.0;88944.0;-2945.0;0.0;1977411
24;A-U Alle economische activiteiten;Totaal kapitaalgoederen;2012;1966883;109.0;1977411;-23333.0;104493.0;89044.0;-2645.0;0.0;1966883
25;A-U Alle economische activiteiten;Woningen;1988;297956;65.8;282296;7016.0;13163.0;5100.0;39.0;542.0;297956
26;A-U Alle economische activiteiten;Woningen;1989;312058;67.7;297956;5330.0;13391.0;5358.0;60.0;679.0;312058
27;A-U Alle economische activiteiten;Woningen;1990;328834;69.5;312058;8332.0;13410.0;5660.0;40.0;653.0;328834
28;A-U Alle economische activiteiten;Woningen;1991;345647;71.1;328834;8983.0;13131.0;5983.0;41.0;642.0;345647
29;A-U Alle economische activiteiten;Woningen;1992;366863;72.9;345647;12193.0;14598.0;6359.0;43.0;741.0;366863
30;A-U Alle economische activiteiten;Woningen;1993;383801;74.7;366863;7771.0;15140.0;6674.0;22.0;679.0;383801
31;A-U Alle economische activiteiten;Woningen;1994;401275;76.7;383801;6998.0;16542.0;6980.0;91.0;823.0;401275
32;A-U Alle economische activiteiten;Woningen;1995;421466;78.6;401275;9656.0;16954.0;7352.0;70.0;864.0;421466
33;A-U Alle economische activiteiten;Woningen;1996;447253;80.7;421466;14382.0;18321.0;7817.0;48.0;852.0;447253
34;A-U Alle economische activiteiten;Woningen;1997;470716;82.9;447253;10949.0;19928.0;8239.0;74.0;752.0;470716
35;A-U Alle economische activiteiten;Woningen;1998;497835;85.1;470716;14170.0;21153.0;8728.0;101.0;422.0;497835
36;A-U Alle economische activiteiten;Woningen;1999;533512;87.4;497835;21506.0;22900.0;9348.0;51.0;569.0;533512
37;A-U Alle economische activiteiten;Woningen;2000;578964;89.7;533512;30550.0;24674.0;10160.0;134.0;255.0;578964
38;A-U Alle economische activiteiten;Woningen;2001;633593;92.0;578964;38463.0;27189.0;11138.0;115.0;0.0;633593
39;A-U Alle economische activiteiten;Woningen;2002;686014;94.1;633593;37493.0;26950.0;12111.0;89.0;0.0;686014
40;A-U Alle economische activiteiten;Woningen;2003;729642;95.9;686014;29429.0;27020.0;12944.0;123.0;0.0;729642
41;A-U Alle economische activiteiten;Woningen;2004;765060;97.9;729642;20101.0;28886.0;13619.0;50.0;0.0;765060
42;A-U Alle economische activiteiten;Woningen;2005;800898;100.0;765060;18916.0;31145.0;14288.0;65.0;0.0;800898
43;A-U Alle economische activiteiten;Woningen;2006;849177;102.3;800898;29144.0;34233.0;15176.0;78.0;0.0;849177
44;A-U Alle economische activiteiten;Woningen;2007;886682;104.8;849177;16644.0;36637.0;15867.0;90.0;0.0;886682
45;A-U Alle economische activiteiten;Woningen;2008;931418;107.2;886682;23853.0;37539.0;16712.0;55.0;0.0;931418
46;A-U Alle economische activiteiten;Woningen;2009;972116;108.9;931418;25348.0;32851.0;17578.0;77.0;0.0;972116
47;A-U Alle economische activiteiten;Woningen;2010;992268;110.0;972116;9714.0;28506.0;18093.0;25.0;0.0;992268
48;A-U Alle economische activiteiten;Woningen;2011;963976;111.3;992268;-39006.0;28371.0;17728.0;71.0;0.0;963976
49;A-U Alle economische activiteiten;Woningen;2012;936837;112.2;963976;-34757.0;24984.0;17424.0;58.0;0.0;936837
50;A-U Alle economische activiteiten;Bedrijfsgebouwen;1988;157333;79.8;150641;4062.0;8736.0;6161.0;-39.0;94.0;157333
51;A-U Alle economische activiteiten;Bedrijfsgebouwen;1989;163589;81.4;157333;3045.0;9535.0;6414.0;-60.0;150.0;163589
52;A-U Alle economische activiteiten;Bedrijfsgebouwen;1990;171662;83.1;163589;4503.0;10177.0;6739.0;-40.0;172.0;171662
53;A-U Alle economische activiteiten;Bedrijfsgebouwen;1991;180337;85.0;171662;4595.0;10865.0;7083.0;-41.0;339.0;180337
54;A-U Alle economische activiteiten;Bedrijfsgebouwen;1992;189966;86.6;180337;6239.0;10578.0;7490.0;-43.0;345.0;189966
55;A-U Alle economische activiteiten;Bedrijfsgebouwen;1993;196179;87.6;189966;3907.0;9817.0;7783.0;-22.0;293.0;196179
56;A-U Alle economische activiteiten;Bedrijfsgebouwen;1994;201657;88.5;196179;3441.0;9906.0;8037.0;-91.0;260.0;201657
57;A-U Alle economische activiteiten;Bedrijfsgebouwen;1995;209455;89.4;201657;5583.0;10367.0;8376.0;-70.0;294.0;209455
58;A-U Alle economische activiteiten;Bedrijfsgebouwen;1996;218028;90.2;209455;6651.0;10470.0;8762.0;-48.0;263.0;218028
59;A-U Alle economische activiteiten;Bedrijfsgebouwen;1997;224417;91.0;218028;4360.0;10861.0;9060.0;-74.0;302.0;224417
60;A-U Alle economische activiteiten;Bedrijfsgebouwen;1998;233150;92.1;224417;5937.0;11965.0;9433.0;-101.0;365.0;233150
61;A-U Alle economische activiteiten;Bedrijfsgebouwen;1999;243920;93.6;233150;6885.0;13421.0;9874.0;-51.0;389.0;243920
62;A-U Alle economische activiteiten;Bedrijfsgebouwen;2000;260225;95.3;243920;11676.0;14968.0;10546.0;-134.0;341.0;260225
63;A-U Alle economische activiteiten;Bedrijfsgebouwen;2001;280151;96.8;260225;15589.0;15828.0;11376.0;-115.0;0.0;280151
64;A-U Alle economische activiteiten;Bedrijfsgebouwen;2002;296418;98.1;280151;12522.0;15903.0;12069.0;-89.0;0.0;296418
65;A-U Alle economische activiteiten;Bedrijfsgebouwen;2003;306120;99.0;296418;6703.0;15636.0;12514.0;-123.0;0.0;306120
66;A-U Alle economische activiteiten;Bedrijfsgebouwen;2004;312934;99.6;306120;5086.0;14646.0;12868.0;-50.0;0.0;312934
67;A-U Alle economische activiteiten;Bedrijfsgebouwen;2005;321192;100.0;312934;6910.0;14683.0;13270.0;-65.0;0.0;321192
68;A-U Alle economische activiteiten;Bedrijfsgebouwen;2006;333394;100.5;321192;10660.0;15448.0;13828.0;-78.0;0.0;333394
69;A-U Alle economische activiteiten;Bedrijfsgebouwen;2007;344708;101.5;333394;7819.0;17877.0;14293.0;-90.0;0.0;344708
70;A-U Alle economische activiteiten;Bedrijfsgebouwen;2008;361622;102.8;344708;12320.0;19641.0;14992.0;-55.0;0.0;361622
71;A-U Alle economische activiteiten;Bedrijfsgebouwen;2009;378601;103.7;361622;13803.0;19007.0;15754.0;-77.0;0.0;378601
72;A-U Alle economische activiteiten;Bedrijfsgebouwen;2010;385933;103.7;378601;7319.0;16218.0;16180.0;-25.0;0.0;385933
73;A-U Alle economische activiteiten;Bedrijfsgebouwen;2011;384919;103.9;385933;-1836.0;17075.0;16182.0;-71.0;0.0;384919
74;A-U Alle economische activiteiten;Bedrijfsgebouwen;2012;384526;103.8;384919;-79.0;15986.0;16242.0;-58.0;0.0;384526
