ID;Populatie;Persoonskenmerken;RegioS;Perioden;AantalPersonen_1;RelatiefAantalPersonen_2;GemiddeldPersoonlijkInkomen_3;MediaanPersoonlijkInkomen_4
0;502;310;Nederland;2005;11949.0;100.0;24.6;20.1
1;502;310;Nederland;2006;12059.1;100.0;25.7;20.7
2;502;310;Nederland;2007;12224.8;100.0;26.7;21.5
3;502;310;Nederland;2008;12378.8;100.0;27.9;22.5
4;502;310;Nederland;2009 voor methodewijziging;12478.3;100.0;28.3;22.9
5;502;310;Nederland;2009 na methodewijziging;12466.0;100.0;28.3;22.9
6;502;310;Nederland;2010;12589.2;100.0;28.5;23.0
7;502;310;Nederland;2011;12703.1;100.0;28.9;23.3
8;502;310;Nederland;2012;12773.4;100.0;29.1;23.2
9;502;310;Nederland;2013;12802.1;100.0;29.5;23.3
10;502;310;Nederland;2014;12907.4;100.0;30.0;23.4
11;502;310;Noord-Nederland (LD);2005;1244.4;100.0;22.0;18.3
12;502;310;Noord-Nederland (LD);2006;1252.3;100.0;23.0;18.9
13;502;310;Noord-Nederland (LD);2007;1266.2;100.0;23.8;19.6
14;502;310;Noord-Nederland (LD);2008;1279.0;100.0;24.9;20.6
15;502;310;Noord-Nederland (LD);2009 voor methodewijziging;1288.6;100.0;25.4;20.8
16;502;310;Noord-Nederland (LD);2009 na methodewijziging;1285.8;100.0;25.3;20.8
17;502;310;Noord-Nederland (LD);2010;1296.3;100.0;25.4;20.9
18;502;310;Noord-Nederland (LD);2011;1304.4;100.0;25.9;21.2
19;502;310;Noord-Nederland (LD);2012;1308.7;100.0;26.0;21.1
20;502;310;Noord-Nederland (LD);2013;1308.0;100.0;26.3;21.3
21;502;310;Noord-Nederland (LD);2014;1313.7;100.0;26.7;21.4
22;502;310;Oost-Nederland (LD);2005;2494.2;100.0;23.5;19.7
23;502;310;Oost-Nederland (LD);2006;2520.7;100.0;24.5;20.2
24;502;310;Oost-Nederland (LD);2007;2558.4;100.0;25.5;21.0
25;502;310;Oost-Nederland (LD);2008;2592.7;100.0;26.6;22.0
26;502;310;Oost-Nederland (LD);2009 voor methodewijziging;2614.7;100.0;27.1;22.4
27;502;310;Oost-Nederland (LD);2009 na methodewijziging;2611.7;100.0;27.0;22.4
28;502;310;Oost-Nederland (LD);2010;2637.2;100.0;27.3;22.5
29;502;310;Oost-Nederland (LD);2011;2661.8;100.0;27.7;22.8
30;502;310;Oost-Nederland (LD);2012;2678.8;100.0;27.8;22.7
31;502;310;Oost-Nederland (LD);2013;2682.1;100.0;28.1;22.8
32;502;310;Oost-Nederland (LD);2014;2701.3;100.0;28.5;22.9
33;502;310;West-Nederland (LD);2005;5585.6;100.0;25.9;21.0
34;502;310;West-Nederland (LD);2006;5641.4;100.0;27.2;21.6
35;502;310;West-Nederland (LD);2007;5723.9;100.0;28.3;22.5
36;502;310;West-Nederland (LD);2008;5798.4;100.0;29.5;23.5
37;502;310;West-Nederland (LD);2009 voor methodewijziging;5852.5;100.0;30.0;24.0
38;502;310;West-Nederland (LD);2009 na methodewijziging;5848.7;100.0;29.9;24.0
39;502;310;West-Nederland (LD);2010;5910.7;100.0;30.1;24.0
40;502;310;West-Nederland (LD);2011;5969.4;100.0;30.6;24.3
41;502;310;West-Nederland (LD);2012;6004.3;100.0;30.8;24.2
42;502;310;West-Nederland (LD);2013;6025.5;100.0;31.2;24.3
43;502;310;West-Nederland (LD);2014;6088.1;100.0;31.7;24.4
44;502;310;Zuid-Nederland (LD);2005;2624.8;100.0;23.9;19.7
45;502;310;Zuid-Nederland (LD);2006;2644.8;100.0;24.9;20.2
46;502;310;Zuid-Nederland (LD);2007;2676.4;100.0;25.9;21.0
47;502;310;Zuid-Nederland (LD);2008;2708.7;100.0;26.9;22.0
48;502;310;Zuid-Nederland (LD);2009 voor methodewijziging;2722.5;100.0;27.4;22.3
49;502;310;Zuid-Nederland (LD);2009 na methodewijziging;2719.9;100.0;27.4;22.3
