ID;NationaliteitVoertuig;RegioS;Perioden;TotaalGeladenGewicht_1;VervoerdBinnenDezelfdeProvincie_2;VervoerdNaarAndereProvincies_3;VervoerdNaarBuitenland_4;TotaalGelostGewicht_5;AfkomstigUitDezelfdeProvincie_6;AfkomstigUitAndereProvincies_7;AfkomstigUitBuitenland_8
0;Alle voertuigen;Groningen (PV);2005;24932;14506;7542;2884;28795;14506;11947;2343
1;Alle voertuigen;Groningen (PV);2006;23424;13212;6987;3224;30871;13212;14499;3159
2;Alle voertuigen;Groningen (PV);2007;26563;14982;8241;3341;31038;14982;13014;3042
3;Alle voertuigen;Groningen (PV);2008;24649;14105;7463;3081;27891;14105;10659;3127
4;Alle voertuigen;Groningen (PV);2009;29712;19885;7261;2566;37486;19885;15061;2540
5;Alle voertuigen;Groningen (PV);2010;22230;11980;7516;2734;28299;11980;13523;2796
6;Alle voertuigen;Groningen (PV);2011;21743;11914;7178;2651;23280;11914;8479;2887
7;Alle voertuigen;Groningen (PV);2012;20079;11622;6021;2436;24215;11622;10478;2115
8;Alle voertuigen;Groningen (PV);2013;20900;10071;8000;2829;23230;10071;11092;2067
9;Alle voertuigen;Groningen (PV);2014;21995;11775;7483;2737;23788;11775;9643;2370
10;Alle voertuigen;Groningen (PV);2015;23751;13278;7342;3131;25656;13278;10110;2268
11;Alle voertuigen;Groningen (PV);2016;22961;12216;8279;2466;24688;12216;10062;2410
12;Alle voertuigen;Groningen (PV);2017;21544;11603;7115;2826;25478;11603;11265;2610
13;Alle voertuigen;Groningen (PV);2018;27272;14950;9258;3064;30443;14950;12766;2727
14;Alle voertuigen;Groningen (PV);2019;27605;14710;9587;3308;29693;14710;12020;2963
15;Alle voertuigen;Groningen (PV);2020;24114;12531;8868;2715;27777;12531;12435;2811
16;Alle voertuigen;Groningen (PV);2021;23436;11698;9022;2716;25667;11698;11545;2424
17;Alle voertuigen;Groningen (PV);2022;21696;11121;8153;2422;24721;11121;10922;2678
18;Alle voertuigen;Groningen (PV);2023;22987;12199;8597;2191;24603;12199;10246;2158
19;Alle voertuigen;Fryslân (PV);2005;22041;12655;7940;1446;23440;12655;8920;1865
20;Alle voertuigen;Fryslân (PV);2006;24012;14677;7949;1385;26193;14677;9420;2095
21;Alle voertuigen;Fryslân (PV);2007;25175;15029;8616;1531;27459;15029;10363;2068
22;Alle voertuigen;Fryslân (PV);2008;23178;13060;8610;1508;25016;13060;10051;1904
23;Alle voertuigen;Fryslân (PV);2009;22876;13316;8185;1375;24868;13316;9734;1818
24;Alle voertuigen;Fryslân (PV);2010;22389;11873;8984;1532;23864;11873;9908;2083
25;Alle voertuigen;Fryslân (PV);2011;23111;11860;9772;1479;23464;11860;9773;1831
26;Alle voertuigen;Fryslân (PV);2012;21968;13334;7416;1218;23762;13334;8683;1745
27;Alle voertuigen;Fryslân (PV);2013;24273;13604;9152;1517;26639;13604;10819;2216
28;Alle voertuigen;Fryslân (PV);2014;25562;14572;9495;1495;29215;14572;12359;2284
29;Alle voertuigen;Fryslân (PV);2015;25803;14260;10019;1524;26946;14260;10395;2291
30;Alle voertuigen;Fryslân (PV);2016;24679;12267;10521;1891;26637;12267;11955;2415
31;Alle voertuigen;Fryslân (PV);2017;26552;14150;10704;1698;27281;14150;10538;2593
32;Alle voertuigen;Fryslân (PV);2018;26852;14643;10327;1882;29364;14643;12482;2239
33;Alle voertuigen;Fryslân (PV);2019;25882;12011;11945;1926;27944;12011;13497;2436
34;Alle voertuigen;Fryslân (PV);2020;27960;14328;11854;1778;29268;14328;12590;2350
35;Alle voertuigen;Fryslân (PV);2021;25719;12184;11642;1893;27373;12184;12343;2846
36;Alle voertuigen;Fryslân (PV);2022;24338;11908;10774;1656;26641;11908;12515;2218
37;Alle voertuigen;Fryslân (PV);2023;26129;14054;10555;1520;26772;14054;10748;1970
38;Alle voertuigen;Drenthe (PV);2005;18060;6867;9389;1803;20630;6867;11597;2166
39;Alle voertuigen;Drenthe (PV);2006;23304;8076;13370;1858;20656;8076;9600;2980
40;Alle voertuigen;Drenthe (PV);2007;23452;8307;13021;2124;21348;8307;10132;2909
41;Alle voertuigen;Drenthe (PV);2008;19813;6673;11309;1831;19931;6673;10895;2363
42;Alle voertuigen;Drenthe (PV);2009;26360;9084;15195;2082;21910;9084;10429;2398
43;Alle voertuigen;Drenthe (PV);2010;23547;7478;14272;1797;19330;7478;9562;2290
44;Alle voertuigen;Drenthe (PV);2011;17606;7048;8765;1793;19633;7048;10701;1884
45;Alle voertuigen;Drenthe (PV);2012;19263;7122;10403;1738;18151;7122;8933;2096
46;Alle voertuigen;Drenthe (PV);2013;23091;8411;12120;2560;23029;8411;12074;2544
47;Alle voertuigen;Drenthe (PV);2014;20166;6205;11822;2139;19751;6205;11215;2331
48;Alle voertuigen;Drenthe (PV);2015;20188;6871;11294;2023;21162;6871;11869;2422
49;Alle voertuigen;Drenthe (PV);2016;19084;6679;10262;2143;20483;6679;11316;2488
50;Alle voertuigen;Drenthe (PV);2017;23017;8363;12196;2458;21901;8363;10862;2676
51;Alle voertuigen;Drenthe (PV);2018;21775;6456;12796;2523;20327;6456;10982;2889
52;Alle voertuigen;Drenthe (PV);2019;23009;7191;13253;2565;22958;7191;13360;2407
53;Alle voertuigen;Drenthe (PV);2020;25727;9503;13143;3081;25551;9503;12939;3109
54;Alle voertuigen;Drenthe (PV);2021;20896;5797;12609;2490;21955;5797;12988;3170
55;Alle voertuigen;Drenthe (PV);2022;20819;6731;11731;2357;20941;6731;11504;2706
56;Alle voertuigen;Drenthe (PV);2023;19760;6907;10272;2581;22239;6907;12513;2819
57;Alle voertuigen;Overijssel (PV);2005;38100;16669;16671;4760;36454;16669;14306;5478
58;Alle voertuigen;Overijssel (PV);2006;46774;23584;17652;5538;45720;23584;14732;7403
59;Alle voertuigen;Overijssel (PV);2007;44012;19352;18231;6429;41129;19352;14144;7632
60;Alle voertuigen;Overijssel (PV);2008;49115;22069;20816;6231;44055;22069;14669;7318
61;Alle voertuigen;Overijssel (PV);2009;45281;21533;18531;5217;41075;21533;13212;6330
62;Alle voertuigen;Overijssel (PV);2010;43637;19702;18832;5103;40654;19702;14897;6055
63;Alle voertuigen;Overijssel (PV);2011;47212;21454;20245;5513;42537;21454;14466;6617
64;Alle voertuigen;Overijssel (PV);2012;38818;17988;15861;4969;35470;17988;11674;5808
65;Alle voertuigen;Overijssel (PV);2013;41303;16326;19642;5335;37683;16326;15055;6302
66;Alle voertuigen;Overijssel (PV);2014;39901;15252;19121;5528;36597;15252;15126;6219
67;Alle voertuigen;Overijssel (PV);2015;44414;16161;22427;5826;39517;16161;16878;6478
68;Alle voertuigen;Overijssel (PV);2016;40781;12820;21967;5994;35879;12820;16178;6881
69;Alle voertuigen;Overijssel (PV);2017;40060;14993;19977;5090;38703;14993;16619;7091
70;Alle voertuigen;Overijssel (PV);2018;44021;15803;21586;6632;41183;15803;18120;7260
71;Alle voertuigen;Overijssel (PV);2019;47554;18575;22675;6304;43255;18575;18151;6529
72;Alle voertuigen;Overijssel (PV);2020;47323;18075;23889;5359;43695;18075;19164;6456
73;Alle voertuigen;Overijssel (PV);2021;48334;18226;23992;6116;45546;18226;19200;8120
74;Alle voertuigen;Overijssel (PV);2022;49844;19103;24844;5897;45859;19103;20344;6412
75;Alle voertuigen;Overijssel (PV);2023;42791;14994;22437;5360;39416;14994;17769;6653
76;Alle voertuigen;Flevoland (PV);2005;11988;2786;7952;1250;9350;2786;5798;765
77;Alle voertuigen;Flevoland (PV);2006;9968;1836;6886;1245;9147;1836;6279;1032
78;Alle voertuigen;Flevoland (PV);2007;10887;2861;6540;1486;11324;2861;7429;1034
79;Alle voertuigen;Flevoland (PV);2008;12881;4939;6414;1528;13936;4939;7896;1100
80;Alle voertuigen;Flevoland (PV);2009;11743;4537;5640;1566;12430;4537;6915;979
81;Alle voertuigen;Flevoland (PV);2010;12241;5049;5708;1484;13542;5049;7462;1031
82;Alle voertuigen;Flevoland (PV);2011;11509;3370;6445;1694;10754;3370;6133;1251
83;Alle voertuigen;Flevoland (PV);2012;12093;5051;5835;1207;11889;5051;5878;960
84;Alle voertuigen;Flevoland (PV);2013;11885;3655;6828;1402;11153;3655;6683;815
85;Alle voertuigen;Flevoland (PV);2014;12982;4213;7490;1279;14300;4213;8911;1176
86;Alle voertuigen;Flevoland (PV);2015;12259;3431;7590;1238;12722;3431;8124;1167
87;Alle voertuigen;Flevoland (PV);2016;14118;3829;8433;1856;14267;3829;9275;1163
88;Alle voertuigen;Flevoland (PV);2017;16125;5323;9170;1632;16064;5323;9177;1564
89;Alle voertuigen;Flevoland (PV);2018;16816;5666;9565;1585;17081;5666;10081;1334
90;Alle voertuigen;Flevoland (PV);2019;17409;6350;9312;1747;18461;6350;10805;1306
91;Alle voertuigen;Flevoland (PV);2020;14764;4618;8289;1857;17026;4618;10681;1727
92;Alle voertuigen;Flevoland (PV);2021;17359;7128;8545;1686;19103;7128;10330;1645
93;Alle voertuigen;Flevoland (PV);2022;17384;4892;10577;1915;18598;4892;12181;1525
94;Alle voertuigen;Flevoland (PV);2023;14939;3929;9469;1541;17188;3929;11612;1647
95;Alle voertuigen;Gelderland (PV);2005;74222;32649;30293;11280;72384;32649;28168;11567
