ID;BedrijfstakkenSBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;CumulatieveOmzetontwikkeling_3
0;51;2003 1e kwartaal;;;
1;51;2003 2e kwartaal;;;
2;51;2003 3e kwartaal;;;
3;51;2003 4e kwartaal;;;
4;51;2003;89.0;;
5;51;2004 1e kwartaal;;;
6;51;2004 2e kwartaal;;;
7;51;2004 3e kwartaal;;;
8;51;2004 4e kwartaal;;;
9;51;2004;95.0;6.5;6.5
10;51;2005 1e kwartaal;96.0;;
11;51;2005 2e kwartaal;99.0;;
12;51;2005 3e kwartaal;98.0;;
13;51;2005 4e kwartaal;106.0;;
14;51;2005;100.0;5.3;5.3
15;51;2006 1e kwartaal;102.0;6.1;6.1
16;51;2006 2e kwartaal;106.0;6.4;6.2
17;51;2006 3e kwartaal;104.0;5.4;6.0
18;51;2006 4e kwartaal;110.0;4.3;5.5
19;51;2006;106.0;5.5;5.5
20;51;2007 1e kwartaal;111.0;8.5;8.5
21;51;2007 2e kwartaal;116.0;9.5;9.0
22;51;2007 3e kwartaal;114.0;10.1;9.4
23;51;2007 4e kwartaal;124.0;12.7;10.2
24;51;2007;116.0;10.2;10.2
25;51;2008 1e kwartaal;123.0;10.8;10.8
26;51;2008 2e kwartaal;129.0;11.7;11.3
27;51;2008 3e kwartaal;128.0;11.7;11.4
28;51;2008 4e kwartaal;122.0;-1.6;7.9
29;51;2008;126.0;7.9;7.9
30;512 GH landbouwproducten en levende ..;2003 1e kwartaal;;;
31;512 GH landbouwproducten en levende ..;2003 2e kwartaal;;;
32;512 GH landbouwproducten en levende ..;2003 3e kwartaal;;;
33;512 GH landbouwproducten en levende ..;2003 4e kwartaal;;;
34;512 GH landbouwproducten en levende ..;2003;100.0;;
35;512 GH landbouwproducten en levende ..;2004 1e kwartaal;;;
36;512 GH landbouwproducten en levende ..;2004 2e kwartaal;;;
37;512 GH landbouwproducten en levende ..;2004 3e kwartaal;;;
38;512 GH landbouwproducten en levende ..;2004 4e kwartaal;;;
39;512 GH landbouwproducten en levende ..;2004;100.0;-0.2;-0.2
40;512 GH landbouwproducten en levende ..;2005 1e kwartaal;101.0;;
41;512 GH landbouwproducten en levende ..;2005 2e kwartaal;101.0;;
42;512 GH landbouwproducten en levende ..;2005 3e kwartaal;93.0;;
43;512 GH landbouwproducten en levende ..;2005 4e kwartaal;105.0;;
44;512 GH landbouwproducten en levende ..;2005;100.0;0.1;0.1
45;512 GH landbouwproducten en levende ..;2006 1e kwartaal;110.0;9.0;9.0
46;512 GH landbouwproducten en levende ..;2006 2e kwartaal;107.0;5.5;7.3
47;512 GH landbouwproducten en levende ..;2006 3e kwartaal;95.0;2.4;5.7
48;512 GH landbouwproducten en levende ..;2006 4e kwartaal;103.0;-2.0;3.7
49;512 GH landbouwproducten en levende ..;2006;104.0;3.7;3.7
50;512 GH landbouwproducten en levende ..;2007 1e kwartaal;133.0;20.3;20.3
51;512 GH landbouwproducten en levende ..;2007 2e kwartaal;134.0;25.3;22.8
52;512 GH landbouwproducten en levende ..;2007 3e kwartaal;134.0;41.1;28.3
53;512 GH landbouwproducten en levende ..;2007 4e kwartaal;168.0;63.4;37.0
54;512 GH landbouwproducten en levende ..;2007;142.0;37.0;37.0
55;512 GH landbouwproducten en levende ..;2008 1e kwartaal;175.0;31.9;31.9
56;512 GH landbouwproducten en levende ..;2008 2e kwartaal;177.0;32.1;32.0
57;512 GH landbouwproducten en levende ..;2008 3e kwartaal;190.0;41.8;35.3
58;512 GH landbouwproducten en levende ..;2008 4e kwartaal;148.0;-12.0;21.3
59;512 GH landbouwproducten en levende ..;2008;172.0;21.3;21.3
60;513 GH voedings- en genotmiddelen;2003 1e kwartaal;;;
61;513 GH voedings- en genotmiddelen;2003 2e kwartaal;;;
62;513 GH voedings- en genotmiddelen;2003 3e kwartaal;;;
63;513 GH voedings- en genotmiddelen;2003 4e kwartaal;;;
64;513 GH voedings- en genotmiddelen;2003;90.0;;
65;513 GH voedings- en genotmiddelen;2004 1e kwartaal;;;
66;513 GH voedings- en genotmiddelen;2004 2e kwartaal;;;
