ID;Bronnen;Perioden;NMVOS_1;SO2_2;CO_3;NOx_4;NH3_5;PM10_6;PM25_7
0;Totaal Stationaire en mobiele bronnen;1990;509.82;198.1;1188.7;629.0;344.49;80.16;57.12
1;Totaal Stationaire en mobiele bronnen;1995;370.45;137.1;953.0;532.2;218.35;62.39;45.14
2;Totaal Stationaire en mobiele bronnen;2000;267.69;79.0;772.0;454.2;173.43;49.81;34.77
3;Totaal Stationaire en mobiele bronnen;2001;241.86;79.7;773.6;443.3;167.26;48.0;33.43
4;Totaal Stationaire en mobiele bronnen;2002;227.45;72.0;758.3;428.3;159.97;46.58;31.62
5;Totaal Stationaire en mobiele bronnen;2003;213.83;67.3;757.1;424.8;156.91;44.74;31.07
6;Totaal Stationaire en mobiele bronnen;2004;202.26;69.8;763.1;413.5;156.51;43.75;30.05
7;Totaal Stationaire en mobiele bronnen;2005;207.68;68.2;747.3;404.7;154.11;42.55;28.75
8;Totaal Stationaire en mobiele bronnen;2006;202.75;68.5;757.7;397.2;157.09;41.66;28.24
9;Totaal Stationaire en mobiele bronnen;2007;202.63;64.5;744.0;382.6;153.35;40.44;26.49
10;Totaal Stationaire en mobiele bronnen;2008;197.38;53.5;741.6;372.5;140.67;38.95;25.06
11;Totaal Stationaire en mobiele bronnen;2009;187.57;39.8;680.3;334.4;136.53;36.59;23.16
12;Totaal Stationaire en mobiele bronnen;2010;198.03;35.9;709.0;327.4;134.08;36.49;23.02
13;Totaal Stationaire en mobiele bronnen;2011;190.13;34.5;670.3;314.9;132.15;34.71;21.12
14;Totaal Stationaire en mobiele bronnen;2012;181.98;34.6;641.2;295.6;126.37;33.56;19.87
15;Totaal Stationaire en mobiele bronnen;2013;177.47;30.5;611.0;279.1;123.75;33.32;19.63
16;Totaal Stationaire en mobiele bronnen;2014;167.24;30.3;566.8;252.0;127.27;31.86;18.04
17;Totaal Stationaire en mobiele bronnen;2015;163.02;31.0;572.2;248.0;128.74;31.8;18.08
18;Totaal Stationaire en mobiele bronnen;2016;154.23;28.8;555.5;233.1;129.97;31.36;17.61
19;Totaal Stationaire en mobiele bronnen;2017;155.75;27.2;547.9;223.5;132.01;30.87;17.2
