ID;Periods;TheoreticallyAvailableHours_1;TotalNonProductiveHours_2;FrostAndPrecipitationDelays_3;Other_4;ProductiveHours_5
0;1990 1st quarter;520;155;20;135;365
1;1990 2nd quarter;520;130;5;125;390
2;1990 3rd quarter;520;250;10;240;270
3;1990 4th quarter;530;160;15;145;370
4;1990;2090;695;50;645;1390
5;1991 1st quarter;510;220;65;155;290
6;1991 2nd quarter;520;155;15;140;365
7;1991 3rd quarter;530;245;10;235;285
8;1991 4th quarter;530;165;25;140;365
9;1991;2090;780;115;665;1305
10;1992 1st quarter;520;175;40;135;345
11;1992 2nd quarter;520;150;10;140;370
12;1992 3rd quarter;530;250;10;240;280
13;1992 4th quarter;530;170;20;150;355
14;1992;2095;745;80;665;1350
15;1993 1st quarter;510;155;35;120;355
16;1993 2nd quarter;520;160;10;150;360
17;1993 3rd quarter;530;245;20;225;280
18;1993 4th quarter;530;200;65;135;330
19;1993;2090;760;130;630;1325
20;1994 1st quarter;510;180;60;120;330
21;1994 2nd quarter;520;135;10;125;385
22;1994 3rd quarter;530;230;15;215;300
23;1994 4th quarter;520;130;20;110;390
24;1994;2080;675;100;575;1405
25;1995 1st quarter;520;160;20;140;360
26;1995 2nd quarter;520;150;15;135;370
27;1995 3rd quarter;520;220;10;210;300
28;1995 4th quarter;520;140;30;110;380
29;1995;2080;670;75;595;1410
30;1996 1st quarter;520;245;120;125;275
31;1996 2nd quarter;520;120;5;115;400
32;1996 3rd quarter;530;220;5;215;310
33;1996 4th quarter;530;150;25;125;380
34;1996;2095;725;150;575;1365
35;1997 1st quarter;510;180;55;125;335
36;1997 2nd quarter;520;110;10;100;410
37;1997 3rd quarter;530;220;5;215;310
38;1997 4th quarter;530;150;20;130;375
39;1997;2090;660;95;565;1425
40;1998 1st quarter;510;130;35;95;380
41;1998 2nd quarter;520;135;20;115;390
42;1998 3rd quarter;530;225;15;210;300
43;1998 4th quarter;530;165;30;135;365
44;1998;2090;660;100;560;1430
45;1999 1st quarter;510;145;55;90;370
46;1999 2nd quarter;520;130;20;110;390
47;1999 3rd quarter;530;225;10;215;300
48;1999 4th quarter;530;120;20;100;405
