ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2022Totaal_1;WmoClienten2021InstroomWlz2022_2;SamenloopWmoWlz2021Wlz2022_3;WmoClientenGebruikWlz2022Totaal_4;WmoClienten2021InstroomWlzIn2022_5;SamenloopWmoWlz2021WlzIn2022_6;WmoClientenGebruikWlz2022Totaal_7;WmoClienten2021InstroomWlzIn2022_8;SamenloopWmoWlz2021WlzIn2022_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;430.0;95.0;335.0;23.02;5.07;17.95;20.0;4.0;15.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;425.0;90.0;335.0;20.07;4.22;15.84;19.0;4.0;15.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;300.0;95.0;210.0;15.75;4.87;10.88;13.0;4.0;9.0
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;200.0;45.0;155.0;15.34;3.32;12.03;12.0;3.0;10.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;325.0;60.0;260.0;23.87;4.58;19.29;15.0;3.0;12.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;1010.0;295.0;715.0;14.83;4.31;10.52;11.0;3.0;8.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;560.0;230.0;330.0;10.48;4.28;6.2;9.0;4.0;5.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1565.0;355.0;1210.0;14.52;3.29;11.23;9.0;2.0;7.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;715.0;245.0;470.0;16.91;5.78;11.13;8.0;3.0;5.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;90.0;30.0;60.0;16.24;5.17;11.07;10.0;3.0;7.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Altena;625.0;130.0;495.0;19.12;4.01;15.1;14.0;3.0;11.0
