ID;Perioden;Totaal_1;CIndustrie_2;DEEnergievoorzieningEnAfvalbeheer_3;FBouwnijverheid_4;GHandel_5;HVervoerEnOpslag_6;IHoreca_7;JInformatieEnCommunicatie_8;LVerhuurEnHandelVanOnroerendGoed_9;MSpecialistischeZakelijkeDiensten_10;NVerhuurEnOverigeZakelijkeDiensten_11;QGezondheidsEnWelzijnszorg_12;Totaal10EnMeerWerkzamePersonen_13;k_10Tot20WerkzamePersonen_14;k_20Tot50WerkzamePersonen_15;k_50Tot100WerkzamePersonen_16;k_100Tot250WerkzamePersonen_17;k_250Tot500WerkzamePersonen_18;k_500EnMeerWerkzamePersonen_19;Totaal_20;CIndustrie_21;DEEnergievoorzieningEnAfvalbeheer_22;FBouwnijverheid_23;GHandel_24;HVervoerEnOpslag_25;IHoreca_26;JInformatieEnCommunicatie_27;LVerhuurEnHandelVanOnroerendGoed_28;MSpecialistischeZakelijkeDiensten_29;NVerhuurEnOverigeZakelijkeDiensten_30;QGezondheidsEnWelzijnszorg_31;Totaal10EnMeerWerkzamePersonen_32;k_10Tot20WerkzamePersonen_33;k_20Tot50WerkzamePersonen_34;k_50Tot100WerkzamePersonen_35;k_100Tot250WerkzamePersonen_36;k_250Tot500WerkzamePersonen_37;k_500EnMeerWerkzamePersonen_38
0;2008;16.6;9.9;6.3;8.1;24.8;6.3;18.3;12.6;9.7;9.7;5.3;8.6;16.6;12.1;13.8;14.4;12.5;18.4;22.2;12.1;15.0;3.2;2.3;14.4;26;9.7;8.0;5.5;5.5;7.6;4.6;12.1;6.8;8.3;11.6;13.4;13.3;14.7
1;2009;17.0;11.3;7.2;7.6;24.1;12.0;20.1;11.1;8.3;8.3;6.5;8.4;17.0;11.3;11.7;12.9;12.0;17.5;25.6;14.1;17.3;7.8;2.2;17.3;22;14.9;9.6;8.5;8.5;8.7;6.3;14.1;9.9;10.6;12.4;15.7;17.5;15.0
