ID;SBI2008;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3
0;A-U Alle economische activiteiten;1997 1e kwartaal;80.4;138.5;128.5
1;A-U Alle economische activiteiten;1997 2e kwartaal;90.1;174.9;165.2
2;A-U Alle economische activiteiten;1997 3e kwartaal;82.3;165.2;173.0
3;A-U Alle economische activiteiten;1997 4e kwartaal;105.5;176.2;153.0
4;A-U Alle economische activiteiten;1997 jaargem. /jaartotaal;;655.0;620.0
5;A-U Alle economische activiteiten;1998 1e kwartaal;122.2;203.5;186.9
6;A-U Alle economische activiteiten;1998 2e kwartaal;138.9;213.2;196.5
7;A-U Alle economische activiteiten;1998 3e kwartaal;117.3;187.7;209.3
8;A-U Alle economische activiteiten;1998 4e kwartaal;124.0;182.0;175.3
9;A-U Alle economische activiteiten;1998 jaargem. /jaartotaal;123.3;786.0;768.0
10;A-U Alle economische activiteiten;1999 1e kwartaal;145.0;223.4;202.9
11;A-U Alle economische activiteiten;1999 2e kwartaal;180.2;246.6;211.5
12;A-U Alle economische activiteiten;1999 3e kwartaal;156.4;195.7;219.5
13;A-U Alle economische activiteiten;1999 4e kwartaal;167.2;209.8;198.9
14;A-U Alle economische activiteiten;1999 jaargem. /jaartotaal;156.8;875.0;833.0
15;A-U Alle economische activiteiten;2000 1e kwartaal;200.4;266.6;233.4
16;A-U Alle economische activiteiten;2000 2e kwartaal;201.2;231.9;231.1
17;A-U Alle economische activiteiten;2000 3e kwartaal;168.9;206.2;238.5
18;A-U Alle economische activiteiten;2000 4e kwartaal;188.4;235.5;216.0
19;A-U Alle economische activiteiten;2000 jaargem. /jaartotaal;187.1;940.0;919.0
20;A-U Alle economische activiteiten;2001 1e kwartaal;200.4;251.4;239.5
21;A-U Alle economische activiteiten;2001 2e kwartaal;201.5;252.0;250.9
22;A-U Alle economische activiteiten;2001 3e kwartaal;156.1;188.3;233.7
23;A-U Alle economische activiteiten;2001 4e kwartaal;147.7;175.9;184.3
24;A-U Alle economische activiteiten;2001 jaargem. /jaartotaal;181.5;868.0;908.0
25;A-U Alle economische activiteiten;2002 1e kwartaal;162.4;195.4;180.6
26;A-U Alle economische activiteiten;2002 2e kwartaal;145.5;181.6;198.4
27;A-U Alle economische activiteiten;2002 3e kwartaal;103.2;141.0;183.2
28;A-U Alle economische activiteiten;2002 4e kwartaal;107.7;148.7;144.2
29;A-U Alle economische activiteiten;2002 jaargem. /jaartotaal;134.7;667.0;706.0
30;A-U Alle economische activiteiten;2003 1e kwartaal;112.6;164.7;159.8
31;A-U Alle economische activiteiten;2003 2e kwartaal;113.4;161.5;160.6
32;A-U Alle economische activiteiten;2003 3e kwartaal;72.3;127.5;168.5
33;A-U Alle economische activiteiten;2003 4e kwartaal;85.3;141.2;128.2
34;A-U Alle economische activiteiten;2003 jaargem. /jaartotaal;98.7;595.0;617.0
35;A-U Alle economische activiteiten;2004 1e kwartaal;111.4;167.9;141.8
36;A-U Alle economische activiteiten;2004 2e kwartaal;123.1;187.9;176.1
37;A-U Alle economische activiteiten;2004 3e kwartaal;100.3;156.7;179.4
38;A-U Alle economische activiteiten;2004 4e kwartaal;109.7;164.3;154.9
39;A-U Alle economische activiteiten;2004 jaargem. /jaartotaal;108.1;677.0;652.0
40;A-U Alle economische activiteiten;2005 1e kwartaal;144.2;205.7;171.2
41;A-U Alle economische activiteiten;2005 2e kwartaal;140.9;196.2;199.5
42;A-U Alle economische activiteiten;2005 3e kwartaal;142.0;211.9;210.8
43;A-U Alle economische activiteiten;2005 4e kwartaal;144.4;198.0;195.5
44;A-U Alle economische activiteiten;2005 jaargem. /jaartotaal;138.6;811.8;776.9
45;A-U Alle economische activiteiten;2006 1e kwartaal;179.5;237.5;202.5
46;A-U Alle economische activiteiten;2006 2e kwartaal;210.0;266.5;236.0
47;A-U Alle economische activiteiten;2006 3e kwartaal;208.5;247.1;248.7
48;A-U Alle economische activiteiten;2006 4e kwartaal;207.4;240.4;241.4
49;A-U Alle economische activiteiten;2006 jaargem. /jaartotaal;193.5;992.0;929.0
50;A-U Alle economische activiteiten;2007 1e kwartaal;224.0;274.1;257.6
51;A-U Alle economische activiteiten;2007 2e kwartaal;234.3;281.7;271.4
52;A-U Alle economische activiteiten;2007 3e kwartaal;222.9;252.1;263.5
53;A-U Alle economische activiteiten;2007 4e kwartaal;225.4;245.0;242.2
54;A-U Alle economische activiteiten;2007 jaargem. /jaartotaal;224.4;1053.0;1034.7
55;A-U Alle economische activiteiten;2008 1e kwartaal;232.9;256.9;249.3
56;A-U Alle economische activiteiten;2008 2e kwartaal;237.0;266.2;262.1
57;A-U Alle economische activiteiten;2008 3e kwartaal;214.6;242.8;265.2
58;A-U Alle economische activiteiten;2008 4e kwartaal;165.6;189.0;238.0
59;A-U Alle economische activiteiten;2008 jaargem. /jaartotaal;220.0;954.9;1014.7
60;A-U Alle economische activiteiten;2009 1e kwartaal;133.9;172.3;203.9
61;A-U Alle economische activiteiten;2009 2e kwartaal;116.3;166.9;184.5
62;A-U Alle economische activiteiten;2009 3e kwartaal;107.1;167.6;177.6
63;A-U Alle economische activiteiten;2009 4e kwartaal;101.8;158.2;163.4
64;A-U Alle economische activiteiten;2009 jaargem. /jaartotaal;122.7;664.9;729.5
65;A-U Alle economische activiteiten;2010 1e kwartaal;105.7;160.4;157.9
66;A-U Alle economische activiteiten;2010 2e kwartaal;114.6;177.3;168.4
67;A-U Alle economische activiteiten;2010 3e kwartaal;114.8;183.3;183.1
68;A-U Alle economische activiteiten;2010 4e kwartaal;116.3;170.5;169.0
69;A-U Alle economische activiteiten;2010 jaargem. /jaartotaal;111.0;692.0;678.0
70;A-U Alle economische activiteiten;2011 1e kwartaal;127.7;186.0;174.0
71;A-U Alle economische activiteiten;2011 2e kwartaal;135.1;198.0;190.0
72;A-U Alle economische activiteiten;2011 3e kwartaal;123.5;181.0;193.0
73;A-U Alle economische activiteiten;2011 4e kwartaal;109.4;157.0;171.0
74;A-U Alle economische activiteiten;2011 jaargem. /jaartotaal;124.8;721.0;728.0
75;A-U Alle economische activiteiten;2012 1e kwartaal;111.0;160.0;158.0
76;A-U Alle economische activiteiten;2012 2e kwartaal;108.3;166.0;169.0
77;A-U Alle economische activiteiten;2012 3e kwartaal;99.3;154.0;163.0
78;A-U Alle economische activiteiten;2012 4e kwartaal;88.0;136.0;147.0
79;A-U Alle economische activiteiten;2012 jaargem. /jaartotaal;104.3;615.0;636.0
80;A-U Alle economische activiteiten;2013 1e kwartaal;90.0;144.0;141.0
81;A-U Alle economische activiteiten;2013 2e kwartaal;88.4;149.0;150.0
82;A-U Alle economische activiteiten;2013 3e kwartaal;85.8;147.0;150.0
83;A-U Alle economische activiteiten;2013 4e kwartaal;83.1;135.0;138.0
84;A-U Alle economische activiteiten;2013 jaargem. /jaartotaal;87.4;576.0;580.0
85;A-U Alle economische activiteiten;2014 1e kwartaal;97.5;162.0;148.0
86;A-U Alle economische activiteiten;2014 2e kwartaal;103.5;170.0;163.0
87;A-U Alle economische activiteiten;2014 3e kwartaal;103.3;167.0;168.0
88;A-U Alle economische activiteiten;2014 4e kwartaal;104.0;160.0;159.0
89;A-U Alle economische activiteiten;2014 jaargem. /jaartotaal;99.4;659.0;638.0
90;A-U Alle economische activiteiten;2015 1e kwartaal;117.6;185.0;171.0
91;A-U Alle economische activiteiten;2015 2e kwartaal;125.0;200.0;193.0
92;A-U Alle economische activiteiten;2015 3e kwartaal;120.7;189.0;194.0
93;A-U Alle economische activiteiten;2015 4e kwartaal;125.4;191.0;187.0
94;A-U Alle economische activiteiten;2015 jaargem. /jaartotaal;119.5;765.0;744.0
95;A-U Alle economische activiteiten;2016 1e kwartaal;140.8;209.0;194.0
96;A-U Alle economische activiteiten;2016 2e kwartaal;147.3;217.0;211.0
97;A-U Alle economische activiteiten;2016 3e kwartaal;146.4;211.0;212.0
98;A-U Alle economische activiteiten;2016 4e kwartaal;149.2;207.0;204.0
99;A-U Alle economische activiteiten;2016 jaargem. /jaartotaal;142.9;844.0;821.0
100;A-U Alle economische activiteiten;2017 1e kwartaal;173.4;236.0;212.0
101;A-U Alle economische activiteiten;2017 2e kwartaal;194.0;253.0;233.0
102;A-U Alle economische activiteiten;2017 3e kwartaal;193.1;244.0;245.0
103;A-U Alle economische activiteiten;2017 4e kwartaal;201.7;241.0;232.0
104;A-U Alle economische activiteiten;2017 jaargem. /jaartotaal;184.0;974.0;921.0
105;A-U Alle economische activiteiten;2018 1e kwartaal;220.3;266.0;248.0
106;A-U Alle economische activiteiten;2018 2e kwartaal;240.2;285.0;265.0
107;A-U Alle economische activiteiten;2018 3e kwartaal;239.8;279.0;279.0
108;A-U Alle economische activiteiten;2018 4e kwartaal;235.2;259.0;264.0
109;A-U Alle economische activiteiten;2018 jaargem. /jaartotaal;229.7;1089.0;1055.0
110;A-U Alle economische activiteiten;2019 1e kwartaal;258.8;297.0;274.0
111;A-U Alle economische activiteiten;2019 2e kwartaal;269.4;298.0;287.0
112;A-U Alle economische activiteiten;2019 3e kwartaal;263.2;288.0;294.0
113;A-U Alle economische activiteiten;2019 4e kwartaal;256.8;270.0;277.0
114;A-U Alle economische activiteiten;2019 jaargem. /jaartotaal;259.3;1153.0;1132.0
115;A-U Alle economische activiteiten;2020 1e kwartaal;198.9;243.0;300.0
116;A-U Alle economische activiteiten;2020 2e kwartaal;178.4;205.0;225.0
117;A-U Alle economische activiteiten;2020 3e kwartaal;195.4;248.0;231.0
118;A-U Alle economische activiteiten;2020 4e kwartaal;190.9;223.0;227.0
119;A-U Alle economische activiteiten;2020 jaargem. /jaartotaal;199.1;918.0;984.0
120;A-U Alle economische activiteiten;2021 1e kwartaal;225.4;263.0;228.0
121;A-U Alle economische activiteiten;2021 2e kwartaal;306.3;351.0;270.0
122;A-U Alle economische activiteiten;2021 3e kwartaal;349.2;354.0;311.0
123;A-U Alle economische activiteiten;2021 4e kwartaal;347.6;313.0;315.0
124;A-U Alle economische activiteiten;2021 jaargem. /jaartotaal;287.5;1281.0;1124.0
125;A-U Alle economische activiteiten;2022 1e kwartaal;416.6;389.0;319.0
126;A-U Alle economische activiteiten;2022 2e kwartaal;442.6;375.0;349.0
127;A-U Alle economische activiteiten;2022 3e kwartaal;416.6;343.0;369.0
128;A-U Alle economische activiteiten;2022 4e kwaraal;380.7;302.0;338.0
129;A-U Alle economische activiteiten;2022 jaargem. /jaartotaal;410.0;1408.0;1375.0
130;A-U Alle economische activiteiten;2023 1e kwartaal;393.8;344.0;331.0
131;A-U Alle economische activiteiten;2023 2e kwartaal;399.4;338.0;332.0
132;A-U Alle economische activiteiten;2023 3e kwartaal;377.1;316.0;338.0
133;A-U Alle economische activiteiten;2023 4e kwartaal;348.3;292.0;321.0
134;A-U Alle economische activiteiten;2023 jaargem. /jaartotaal;383.7;1289.0;1322.0
135;A-U Alle economische activiteiten;2024 1e kwartaal;368.1;331.0;311.0
136;A-U Alle economische activiteiten;2024 2e kwartaal;373.4;331.0;325.0
137;A-U Alle economische activiteiten;2024 3e kwartaal;356.7;311.0;328.0
138;A-U Alle economische activiteiten;2024 4e kwartaal;345.0;310.0;322.0
139;A-U Alle economische activiteiten;2024 jaargem. /jaartotaal;361.2;1283.0;1286.0
140;A Landbouw, bosbouw en visserij;1997 1e kwartaal;0.6;2.5;2.3
141;A Landbouw, bosbouw en visserij;1997 2e kwartaal;1.5;5.4;4.5
142;A Landbouw, bosbouw en visserij;1997 3e kwartaal;1.3;2.5;2.6
143;A Landbouw, bosbouw en visserij;1997 4e kwartaal;1.1;2.2;2.4
144;A Landbouw, bosbouw en visserij;1997 jaargem. /jaartotaal;;12.0;12.0
145;A Landbouw, bosbouw en visserij;1998 1e kwartaal;1.8;5.7;5.0
146;A Landbouw, bosbouw en visserij;1998 2e kwartaal;1.3;3.5;4.0
147;A Landbouw, bosbouw en visserij;1998 3e kwartaal;1.5;5.1;4.9
148;A Landbouw, bosbouw en visserij;1998 4e kwartaal;1.5;2.9;2.9
149;A Landbouw, bosbouw en visserij;1998 jaargem. /jaartotaal;1.5;17.0;17.0
150;A Landbouw, bosbouw en visserij;1999 1e kwartaal;1.9;4.9;4.5
151;A Landbouw, bosbouw en visserij;1999 2e kwartaal;2.4;5.6;5.1
152;A Landbouw, bosbouw en visserij;1999 3e kwartaal;1.7;3.5;4.2
153;A Landbouw, bosbouw en visserij;1999 4e kwartaal;1.8;2.9;2.8
154;A Landbouw, bosbouw en visserij;1999 jaargem. /jaartotaal;1.9;17.0;17.0
155;A Landbouw, bosbouw en visserij;2000 1e kwartaal;2.5;4.9;4.3
156;A Landbouw, bosbouw en visserij;2000 2e kwartaal;3.0;4.4;3.9
157;A Landbouw, bosbouw en visserij;2000 3e kwartaal;2.1;5.6;6.5
158;A Landbouw, bosbouw en visserij;2000 4e kwartaal;2.8;4.1;3.4
159;A Landbouw, bosbouw en visserij;2000 jaargem. /jaartotaal;2.5;19.0;18.0
160;A Landbouw, bosbouw en visserij;2001 1e kwartaal;3.2;4.6;4.2
161;A Landbouw, bosbouw en visserij;2001 2e kwartaal;2.5;2.7;3.4
162;A Landbouw, bosbouw en visserij;2001 3e kwartaal;2.0;3.2;3.6
163;A Landbouw, bosbouw en visserij;2001 4e kwartaal;1.9;2.4;2.5
164;A Landbouw, bosbouw en visserij;2001 jaargem. /jaartotaal;2.5;13.0;14.0
165;A Landbouw, bosbouw en visserij;2002 1e kwartaal;3.4;4.5;3.1
166;A Landbouw, bosbouw en visserij;2002 2e kwartaal;2.9;3.1;3.6
167;A Landbouw, bosbouw en visserij;2002 3e kwartaal;0.9;1.7;3.7
168;A Landbouw, bosbouw en visserij;2002 4e kwartaal;1.4;2.5;2.0
169;A Landbouw, bosbouw en visserij;2002 jaargem. /jaartotaal;2.2;12.0;12.0
170;A Landbouw, bosbouw en visserij;2003 1e kwartaal;2.1;3.6;2.8
171;A Landbouw, bosbouw en visserij;2003 2e kwartaal;2.1;3.0;3.1
172;A Landbouw, bosbouw en visserij;2003 3e kwartaal;0.8;2.7;3.9
173;A Landbouw, bosbouw en visserij;2003 4e kwartaal;1.0;3.1;2.8
174;A Landbouw, bosbouw en visserij;2003 jaargem. /jaartotaal;1.6;12.0;13.0
175;A Landbouw, bosbouw en visserij;2004 1e kwartaal;2.8;5.4;3.6
176;A Landbouw, bosbouw en visserij;2004 2e kwartaal;3.0;6.3;6.1
177;A Landbouw, bosbouw en visserij;2004 3e kwartaal;1.8;5.6;6.8
178;A Landbouw, bosbouw en visserij;2004 4e kwartaal;1.8;3.8;3.8
179;A Landbouw, bosbouw en visserij;2004 jaargem. /jaartotaal;2.3;21.0;20.0
180;A Landbouw, bosbouw en visserij;2005 1e kwartaal;3.6;6.6;4.8
181;A Landbouw, bosbouw en visserij;2005 2e kwartaal;3.1;5.5;6.0
182;A Landbouw, bosbouw en visserij;2005 3e kwartaal;2.9;8.2;8.5
183;A Landbouw, bosbouw en visserij;2005 4e kwartaal;2.2;4.2;4.9
184;A Landbouw, bosbouw en visserij;2005 jaargem. /jaartotaal;2.9;25.0;24.0
185;A Landbouw, bosbouw en visserij;2006 1e kwartaal;3.4;5.0;3.9
186;A Landbouw, bosbouw en visserij;2006 2e kwartaal;4.8;7.6;6.2
187;A Landbouw, bosbouw en visserij;2006 3e kwartaal;4.2;8.2;8.8
188;A Landbouw, bosbouw en visserij;2006 4e kwartaal;3.3;6.4;7.4
189;A Landbouw, bosbouw en visserij;2006 jaargem. /jaartotaal;3.8;27.0;26.0
190;A Landbouw, bosbouw en visserij;2007 1e kwartaal;3.8;6.6;6.0
191;A Landbouw, bosbouw en visserij;2007 2e kwartaal;4.6;9.2;8.4
192;A Landbouw, bosbouw en visserij;2007 3e kwartaal;3.6;5.9;6.9
193;A Landbouw, bosbouw en visserij;2007 4e kwartaal;2.8;3.4;4.2
194;A Landbouw, bosbouw en visserij;2007 jaargem. /jaartotaal;3.7;25.0;26.0
195;A Landbouw, bosbouw en visserij;2008 1e kwartaal;3.2;4.8;4.3
196;A Landbouw, bosbouw en visserij;2008 2e kwartaal;3.4;6.1;5.9
197;A Landbouw, bosbouw en visserij;2008 3e kwartaal;2.7;4.8;5.5
198;A Landbouw, bosbouw en visserij;2008 4e kwartaal;1.7;3.1;4.1
199;A Landbouw, bosbouw en visserij;2008 jaargem. /jaartotaal;2.9;19.0;20.0
200;A Landbouw, bosbouw en visserij;2009 1e kwartaal;1.6;3.0;3.1
201;A Landbouw, bosbouw en visserij;2009 2e kwartaal;1.7;3.2;3.1
202;A Landbouw, bosbouw en visserij;2009 3e kwartaal;1.8;3.7;3.8
203;A Landbouw, bosbouw en visserij;2009 4e kwartaal;1.2;2.1;2.7
204;A Landbouw, bosbouw en visserij;2009 jaargem. /jaartotaal;1.7;12.0;13.0
205;A Landbouw, bosbouw en visserij;2010 1e kwartaal;1.0;2.4;2.6
206;A Landbouw, bosbouw en visserij;2010 2e kwartaal;1.4;4.6;4.2
207;A Landbouw, bosbouw en visserij;2010 3e kwartaal;1.2;3.5;3.7
208;A Landbouw, bosbouw en visserij;2010 4e kwartaal;1.1;2.9;3.0
209;A Landbouw, bosbouw en visserij;2010 jaargem. /jaartotaal;1.2;13.0;13.0
210;A Landbouw, bosbouw en visserij;2011 1e kwartaal;1.2;3.0;3.0
211;A Landbouw, bosbouw en visserij;2011 2e kwartaal;1.5;4.0;4.0
212;A Landbouw, bosbouw en visserij;2011 3e kwartaal;1.3;4.0;4.0
213;A Landbouw, bosbouw en visserij;2011 4e kwartaal;0.9;2.0;2.0
214;A Landbouw, bosbouw en visserij;2011 jaargem. /jaartotaal;1.3;13.0;13.0
215;A Landbouw, bosbouw en visserij;2012 1e kwartaal;1.3;2.0;2.0
216;A Landbouw, bosbouw en visserij;2012 2e kwartaal;1.5;3.0;3.0
217;A Landbouw, bosbouw en visserij;2012 3e kwartaal;1.2;3.0;3.0
218;A Landbouw, bosbouw en visserij;2012 4e kwartaal;0.5;2.0;2.0
219;A Landbouw, bosbouw en visserij;2012 jaargem. /jaartotaal;1.2;10.0;11.0
220;A Landbouw, bosbouw en visserij;2013 1e kwartaal;1.1;3.0;2.0
221;A Landbouw, bosbouw en visserij;2013 2e kwartaal;1.3;4.0;3.0
222;A Landbouw, bosbouw en visserij;2013 3e kwartaal;0.9;3.0;3.0
223;A Landbouw, bosbouw en visserij;2013 4e kwartaal;0.8;2.0;2.0
224;A Landbouw, bosbouw en visserij;2013 jaargem. /jaartotaal;1.0;12.0;11.0
225;A Landbouw, bosbouw en visserij;2014 1e kwartaal;0.9;3.0;3.0
226;A Landbouw, bosbouw en visserij;2014 2e kwartaal;1.2;4.0;3.0
227;A Landbouw, bosbouw en visserij;2014 3e kwartaal;0.9;4.0;4.0
228;A Landbouw, bosbouw en visserij;2014 4e kwartaal;0.8;2.0;2.0
229;A Landbouw, bosbouw en visserij;2014 jaargem. /jaartotaal;0.9;12.0;12.0
230;A Landbouw, bosbouw en visserij;2015 1e kwartaal;1.0;3.0;3.0
231;A Landbouw, bosbouw en visserij;2015 2e kwartaal;1.3;4.0;4.0
232;A Landbouw, bosbouw en visserij;2015 3e kwartaal;0.9;3.0;3.0
233;A Landbouw, bosbouw en visserij;2015 4e kwartaal;0.9;2.0;2.0
234;A Landbouw, bosbouw en visserij;2015 jaargem. /jaartotaal;1.0;12.0;12.0
235;A Landbouw, bosbouw en visserij;2016 1e kwartaal;1.1;3.0;3.0
236;A Landbouw, bosbouw en visserij;2016 2e kwartaal;1.3;4.0;4.0
237;A Landbouw, bosbouw en visserij;2016 3e kwartaal;1.1;3.0;4.0
238;A Landbouw, bosbouw en visserij;2016 4e kwartaal;0.8;2.0;3.0
239;A Landbouw, bosbouw en visserij;2016 jaargem. /jaartotaal;1.1;13.0;13.0
