ID;BekortingLevensduur;Leeftijd;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
0;Totaal bekorting;Totaal;2001;140377;79354.0;46784.0;32570.0;61024.0;10610.0;25793.0;2055.0;17902.0;4664.0;3444.0;283.0;938.0
1;Totaal bekorting;Totaal;2005;136402;78391.0;45928.0;32463.0;58011.0;11056.0;32229.0;1504.0;10261.0;2960.0;2297.0;113.0;551.0
2;Totaal bekorting;Totaal;2010;136058;57331.0;27234.0;30096.0;78727.0;10713.0;47957.0;1606.0;14092.0;4360.0;3859.0;192.0;310.0
3;Totaal bekorting;Totaal;2015;147134;61607.0;24542.0;37066.0;85527.0;7437.0;50911.0;1712.0;18213.0;7254.0;6672.0;150.0;431.0
4;Totaal bekorting;Totaal;2021;170972;79268.0;22195.0;57073.0;91608.0;9931.0;48580.0;2657.0;20640.0;9799.0;9038.0;245.0;517.0
5;Totaal bekorting;0 jaar;2001;1082;348.0;210.0;138.0;734.0;87.0;78.0;8.0;457.0;104.0;0.0;0.0;104.0
6;Totaal bekorting;0 jaar;2005;927;376.0;169.0;207.0;551.0;144.0;75.0;16.0;237.0;79.0;0.0;0.0;79.0
7;Totaal bekorting;0 jaar;2010;695;259.0;139.0;120.0;436.0;89.0;106.0;3.0;228.0;9.0;0.0;0.0;9.0
8;Totaal bekorting;0 jaar;2015;561;195.0;85.0;111.0;366.0;52.0;96.0;10.0;208.0;0.0;0.0;0.0;0.0
9;Totaal bekorting;0 jaar;2021;595;254.0;111.0;143.0;341.0;80.0;56.0;0.0;200.0;6.0;0.0;0.0;6.0
10;Totaal bekorting;1 tot 17 jaar;2001;602;393.0;255.0;138.0;209.0;17.0;113.0;6.0;55.0;18.0;5.0;0.0;13.0
11;Totaal bekorting;1 tot 17 jaar;2005;506;300.0;234.0;66.0;206.0;32.0;102.0;12.0;47.0;13.0;8.0;0.0;5.0
12;Totaal bekorting;1 tot 17 jaar;2010;363;214.0;155.0;58.0;149.0;24.0;89.0;8.0;29.0;0.0;0.0;0.0;0.0
13;Totaal bekorting;1 tot 17 jaar;2015;296;153.0;110.0;43.0;143.0;10.0;85.0;10.0;38.0;0.0;0.0;0.0;0.0
14;Totaal bekorting;1 tot 17 jaar;2021;278;183.0;130.0;53.0;95.0;4.0;34.0;0.0;57.0;0.0;0.0;0.0;0.0
15;Totaal bekorting;17 tot 65 jaar;2001;25703;15548.0;10527.0;5021.0;10155.0;1110.0;4377.0;461.0;2699.0;1508.0;1261.0;80.0;167.0
16;Totaal bekorting;17 tot 65 jaar;2005;24774;15296.0;10463.0;4833.0;9478.0;1296.0;5047.0;366.0;1680.0;1089.0;875.0;39.0;175.0
17;Totaal bekorting;17 tot 65 jaar;2010;24066;12046.0;7472.0;4573.0;12020.0;1000.0;7061.0;399.0;2092.0;1468.0;1324.0;91.0;52.0
18;Totaal bekorting;17 tot 65 jaar;2015;22166;11378.0;6577.0;4801.0;10788.0;797.0;6515.0;379.0;1459.0;1638.0;1544.0;13.0;81.0
19;Totaal bekorting;17 tot 65 jaar;2021;22721;11191.0;5068.0;6122.0;11530.0;730.0;6153.0;203.0;2635.0;1809.0;1660.0;0.0;148.0
