ID;VehicleCategory;YearOfConstructionOfVehicle;RoadType;CO_1;VOC_2;NOx_3;PM10_4
0;Total;Years of construction 2000 and older;Urban roads;7.77;0.96;1.04;0.079
1;Total;Years of construction 2000 and older;Rural roads;3.69;0.36;0.73;0.046
2;Total;Years of construction 2000 and older;Motorways;3.29;0.23;1.1;0.06
3;Total;2001;Urban roads;2.82;0.51;1.01;0.037
4;Total;2001;Rural roads;2.06;0.16;0.54;0.016
5;Total;2001;Motorways;1.08;0.04;1.04;0.041
6;Total;2002;Urban roads;2.82;0.53;0.99;0.035
7;Total;2002;Rural roads;2.02;0.15;0.53;0.015
8;Total;2002;Motorways;1.05;0.04;1.03;0.039
9;Total;2003;Urban roads;2.56;0.55;0.99;0.037
10;Total;2003;Rural roads;1.79;0.15;0.56;0.016
11;Total;2003;Motorways;0.96;0.04;1.12;0.041
12;Total;2004;Urban roads;2.51;0.63;1.27;0.044
13;Total;2004;Rural roads;1.71;0.15;0.65;0.018
14;Total;2004;Motorways;0.81;0.04;1.13;0.045
15;Total;2005;Urban roads;2.36;0.66;1.14;0.028
16;Total;2005;Rural roads;1.61;0.14;0.58;0.012
17;Total;2005;Motorways;0.77;0.03;1.0;0.03
18;Total;2006;Urban roads;2.38;0.59;1.27;0.025
19;Total;2006;Rural roads;1.61;0.13;0.63;0.011
20;Total;2006;Motorways;0.76;0.02;0.93;0.027
21;Total;2007;Urban roads;2.31;0.58;1.02;0.023
22;Total;2007;Rural roads;1.66;0.14;0.6;0.013
23;Total;2007;Motorways;0.66;0.01;0.56;0.025
24;Total;2008;Urban roads;2.38;0.6;1.08;0.024
25;Total;2008;Rural roads;1.71;0.14;0.63;0.013
26;Total;2008;Motorways;0.7;0.01;0.58;0.025
27;Total;2009;Urban roads;2.54;0.66;0.93;0.021
28;Total;2009;Rural roads;1.87;0.16;0.54;0.011
29;Total;2009;Motorways;0.76;0.01;0.53;0.022
30;Passenger car-petrol;Years of construction 2000 and older;Urban roads;8.51;0.92;0.59;0.014
31;Passenger car-petrol;Years of construction 2000 and older;Rural roads;4.38;0.37;0.43;0.007
32;Passenger car-petrol;Years of construction 2000 and older;Motorways;3.56;0.21;0.69;0.007
33;Passenger car-petrol;2001;Urban roads;3.33;0.43;0.12;0.006
34;Passenger car-petrol;2001;Rural roads;3.17;0.21;0.06;0.002
