ID;DecentraleOverheden;BegrootEMUSaldo2017_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2019_5
0;Totaal decentrale overheden;-5394;-4592;-2293.0;-2299.0;-1847
1;Provincies;-1265;-1251;;;-1004
2;Gemeenten;-3858;-2870;;;-501
3;Gemeenten: minder dan 20 000 inwoners;-235;-186;;;-16
4;Gemeenten: 20 000 tot 50 000 inwoners;-666;-256;;;249
5;Gemeenten: 50 000 tot 100 000 inwoners;-227;-220;;;153
6;Gemeenten: 100 000 tot 150 000 inwoners;-533;-240;;;-6
7;Gemeenten: 150 000 tot 250 000 inwoners;-427;-530;;;-152
8;Gemeenten: 250 000 inwoners of meer;-1769;-1438;;;-728
9;Waterschappen;-183;-381;;;-322
10;Gemeenschappelijke regelingen;-88;-90;;;-20
