ID;Vervoerstromen;Vervoerswijze;Perioden;VervoerdLadinggewicht_1;Vervoersprestatie_2
0;Totaal;Totaal alle vervoerwijzen;2012;702749.0;40693.0
1;Totaal;Totaal alle vervoerwijzen;2013;710208.0;43522.0
2;Totaal;Totaal alle vervoerwijzen;2014;679440.0;41154.0
3;Totaal;Totaal alle vervoerwijzen;2015;690089.0;46296.0
4;Totaal;Totaal alle vervoerwijzen;2016;709296.0;47277.0
5;Totaal;Totaal alle vervoerwijzen;2017;723330.0;46095.0
6;Totaal;Totaal alle vervoerwijzen;2018;705321.0;42955.0
7;Totaal;Totaal alle vervoerwijzen;2019;710773.0;41794.0
8;Totaal;Totaal alle vervoerwijzen;2020;659254.0;36536.0
9;Totaal;Totaal alle vervoerwijzen;2021;680682.0;37103.0
10;Totaal;Totaal alle vervoerwijzen;2022;682123.0;36019.0
11;Totaal;Totaal alle vervoerwijzen;2023;657788.0;33009.0
12;Totaal;Zeevaart;2012;240384.0;
13;Totaal;Zeevaart;2013;221462.0;
14;Totaal;Zeevaart;2014;216082.0;
15;Totaal;Zeevaart;2015;234617.0;
16;Totaal;Zeevaart;2016;243356.0;
17;Totaal;Zeevaart;2017;259226.0;
18;Totaal;Zeevaart;2018;261407.0;
19;Totaal;Zeevaart;2019;264879.0;
20;Totaal;Zeevaart;2020;254487.0;
21;Totaal;Zeevaart;2021;260414.0;
22;Totaal;Zeevaart;2022;273135.0;
23;Totaal;Zeevaart;2023;260847.0;
24;Totaal;Binnenvaart;2012;89005.0;11949.0
25;Totaal;Binnenvaart;2013;91589.0;12266.0
26;Totaal;Binnenvaart;2014;92794.0;12212.0
27;Totaal;Binnenvaart;2015;94752.0;12288.0
28;Totaal;Binnenvaart;2016;98889.0;12754.0
29;Totaal;Binnenvaart;2017;98833.0;12616.0
30;Totaal;Binnenvaart;2018;92897.0;11872.0
31;Totaal;Binnenvaart;2019;98801.0;12476.0
32;Totaal;Binnenvaart;2020;95115.0;11902.0
33;Totaal;Binnenvaart;2021;100776.0;12414.0
34;Totaal;Binnenvaart;2022;95417.0;11535.0
35;Totaal;Binnenvaart;2023;97534.0;11744.0
36;Totaal;Wegvervoer;2012;;
37;Totaal;Wegvervoer;2013;15323.0;1131.0
38;Totaal;Wegvervoer;2014;15099.0;1110.0
39;Totaal;Wegvervoer;2015;14659.0;1108.0
40;Totaal;Wegvervoer;2016;14570.0;1083.0
41;Totaal;Wegvervoer;2017;16254.0;1156.0
42;Totaal;Wegvervoer;2018;15879.0;1178.0
43;Totaal;Wegvervoer;2019;14818.0;1218.0
44;Totaal;Wegvervoer;2020;13971.0;1107.0
45;Totaal;Wegvervoer;2021;14037.0;1021.0
46;Totaal;Wegvervoer;2022;12974.0;934.0
47;Totaal;Wegvervoer;2023;13379.0;999.0
