ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
0;2019;17285178;17045476;4624812;3049831;8535197;580436;255200;239702;7937545;3049817;4887728;4267598;580438;39692;7937545;3049817;4887728;2591786;936750;958030;401162;2.15;2602059;1117504;1078235;406320;2021621;759905;908430;353286;580438;357599;169805;53034;2602060;459966;305318;546713;563744;726319
1;2020;17378054;17142779;4635884;3095246;8571349;586996;253304;235275;8007354;3095241;4912113;4285676;586993;39444;8007354;3095241;4912113;2616238;942112;955317;398447;2.14;2607176;1126175;1076925;404074;2020183;763809;905536;350838;586993;362366;171389;53236;2607177;466577;301610;543216;558228;737546
2;2021;17459237;17226126;4642812;3136043;8602423;592291;252557;233111;8068933;3136035;4932898;4301212;592287;39399;8068933;3136035;4932898;2637434;946398;952873;396193;2.13;2610910;1133286;1075575;402050;2018623;766958;902963;348702;592287;366328;172612;53348;2610911;477394;298949;534169;553092;747307
3;2022;17529810;17297367;4646674;3173309;8628480;596500;252404;232443;8123436;3173298;4950138;4314242;596494;39402;8123436;3173298;4950138;2655074;949914;950740;394409;2.13;2613830;1139241;1074277;400314;2017336;769679;900754;346903;596494;369562;173523;53411;2613832;488266;295469;526669;550715;752713
4;2023;17598325;17365534;4649151;3211058;8652520;599871;252934;232791;8176704;3211057;4965647;4326257;599876;39514;8176704;3211057;4965647;2670304;952468;949420;393454;2.12;2616813;1144041;1073479;399292;2016937;771736;899366;345835;599876;372305;174113;53457;2616810;498980;297474;517532;548202;754622
5;2024;17664742;17430907;4651270;3248218;8674850;602772;253797;233835;8228108;3248218;4979890;4337422;602778;39690;8228108;3248218;4979890;2683451;953965;949019;393455;2.12;2620011;1147183;1073587;399238;2017233;772711;898867;345655;602778;374472;174720;53583;2620007;509281;304119;508395;544324;753888
6;2025;17729071;17493676;4654318;3284693;8694818;604924;254923;235395;8276892;3284691;4992201;4347405;604928;39868;8276892;3284691;4992201;2695183;954355;948934;393729;2.11;2622132;1148941;1073826;399367;2017204;772801;898722;345681;604928;376140;175104;53686;2622135;519164;310962;503766;537912;750331
7;2026;17792987;17555589;4659102;3320915;8712675;606642;256255;237398;8323919;3320898;5003021;4356341;606619;40061;8323919;3320898;5003021;2704537;953815;949951;394718;2.11;2624652;1149322;1075167;400162;2018033;771966;899695;346372;606619;377356;175472;53790;2624651;528084;318257;498102;531877;748331
8;2027;17855589;17615822;4665598;3356505;8728039;608000;257680;239767;8368739;3356504;5012235;4364019;607987;40229;8368739;3356504;5012235;2711834;951960;952126;396316;2.1;2627204;1147900;1077768;401537;2019217;769752;901854;347611;607987;378148;175914;53926;2627206;535079;325968;498867;520620;746672
9;2028;17916148;17673688;4673642;3390931;8740733;609244;259138;242460;8410903;3390928;5019975;4370367;609238;40370;8410903;3390928;5019975;2716644;949550;955295;398485;2.1;2630647;1145850;1081308;403486;2021409;767040;904996;349373;609238;378810;176312;54113;2630645;540384;334272;499763;511455;744771
