ID;Geslacht;Studierichting;Perioden;Gepromoveerden_1
0;Totaal mannen en vrouwen;9;1990/'91;1898
1;Totaal mannen en vrouwen;9;1991/'92;1993
2;Totaal mannen en vrouwen;9;1992/'93;2344
3;Totaal mannen en vrouwen;9;1993/'94;2393
4;Totaal mannen en vrouwen;9;1994/'95;2485
5;Totaal mannen en vrouwen;9;1995/'96;2600
6;Totaal mannen en vrouwen;9;1996/'97;2477
7;Totaal mannen en vrouwen;9;1997/'98;2505
8;Totaal mannen en vrouwen;9;1998/'99;2474
9;Totaal mannen en vrouwen;9;1999/'00;2478
10;Totaal mannen en vrouwen;9;2000/'01;2526
11;Totaal mannen en vrouwen;9;2001/'02;2549
12;Totaal mannen en vrouwen;9;2002/'03;2568
13;Totaal mannen en vrouwen;9;2003/'04;2666
14;Totaal mannen en vrouwen;9;2004/'05;2879
15;Totaal mannen en vrouwen;9;2005/'06;2993
16;Totaal mannen en vrouwen;9;2006/'07;3160
17;Totaal mannen en vrouwen;9;2007/'08;3214
18;Totaal mannen en vrouwen;9;2008/'09;3301
19;Totaal mannen en vrouwen;9;2009/'10;3736
20;Totaal mannen en vrouwen;9;2010/'11;3715
21;Totaal mannen en vrouwen;9;2011/'12;4040
22;Totaal mannen en vrouwen;9;2012/'13;4321
23;Totaal mannen en vrouwen;9;2013/'14;4528
24;Totaal mannen en vrouwen;9;2014/'15;4663
25;Totaal mannen en vrouwen;9;2015/'16;4967
26;Totaal mannen en vrouwen;2;1990/'91;175
27;Totaal mannen en vrouwen;2;1991/'92;205
28;Totaal mannen en vrouwen;2;1992/'93;219
29;Totaal mannen en vrouwen;2;1993/'94;223
30;Totaal mannen en vrouwen;2;1994/'95;240
31;Totaal mannen en vrouwen;2;1995/'96;250
32;Totaal mannen en vrouwen;2;1996/'97;227
33;Totaal mannen en vrouwen;2;1997/'98;254
34;Totaal mannen en vrouwen;2;1998/'99;232
35;Totaal mannen en vrouwen;2;1999/'00;199
36;Totaal mannen en vrouwen;2;2000/'01;215
