ID;EconomicSectorsSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;NetTotalTurnover_6;NetTurnoverFromPrincipalActivity_7;NetTurnoverFromSecondaryActivities_8;OtherBusinessReturns_9;TotalBusinessCosts_10;TotalPurchasingCosts_11;CostsOfRawAndAuxiliaryMaterials_12;CostsOfCommodities_13;TotalPersonnelCosts_14;GrossWagesAndSalaries_15;OtherPersonnelCosts_16;OtherBusinessCostsTotal_17;EnergyCosts_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;ServicesProvidedByThirdParties_24;BusinessCostsNotElsewhereClassified_25;DepreciationFixedAssets_26;ProfitLoss_27;ProfitLossBeforeTax_28
0;50 Sale and repair of motor vehicles;2006;157.1;132.6;129.7;109.6;68229.0;68021.0;67576.0;445.0;208.0;66385.0;54353.0;3866.0;50015.0;4245.0;3257.0;988.0;7227.0;216.0;873.0;130.0;345.0;874.0;133.0;384.0;4271.0;560.0;1844.0;1634.0
1;50 Sale and repair of motor vehicles;2007;163.9;141.3;134.2;114.5;71997.0;71740.0;71322.0;418.0;257.0;69800.0;57339.0;4312.0;52559.0;4500.0;3438.0;1062.0;7428.0;225.0;957.0;136.0;353.0;938.0;141.0;444.0;4234.0;533.0;2197.0;1971.0
2;50 Sale and repair of motor vehicles;2008;165.5;140.7;134.7;113.0;71291.0;71074.0;70623.0;451.0;216.0;69459.0;57077.0;4966.0;51573.0;4615.0;3523.0;1092.0;7226.0;235.0;1011.0;130.0;;917.0;133.0;455.0;3945.0;541.0;1831.0;1564.0
3;501 Sale and repair of motor vehicles;2006;99.0;85.1;81.2;70.5;49382.0;49224.0;48908.0;315.0;158.0;48194.0;38975.0;2867.0;35721.0;2819.0;2166.0;653.0;6038.0;133.0;573.0;86.0;238.0;699.0;91.0;253.0;3966.0;363.0;1188.0;1018.0
4;501 Sale and repair of motor vehicles;2007;104.0;91.8;84.7;74.4;52394.0;52207.0;51896.0;311.0;188.0;50975.0;41509.0;3225.0;37876.0;2978.0;2288.0;690.0;6135.0;138.0;622.0;87.0;249.0;747.0;100.0;291.0;3901.0;354.0;1419.0;1223.0
5;501 Sale and repair of motor vehicles;2008;103.2;89.3;83.4;71.5;50321.0;50173.0;49865.0;308.0;148.0;49225.0;39984.0;3842.0;35711.0;3016.0;2315.0;701.0;5855.0;146.0;631.0;84.0;;734.0;91.0;281.0;3623.0;371.0;1095.0;888.0
6;5010a Sale/repair of commercial vehicles;2006;13.7;12.4;12.6;11.5;4734.0;4708.0;4680.0;29.0;26.0;4531.0;3632.0;487.0;3095.0;529.0;400.0;129.0;312.0;16.0;89.0;12.0;38.0;43.0;13.0;32.0;69.0;58.0;203.0;183.0
7;5010a Sale/repair of commercial vehicles;2007;13.8;12.8;11.9;11.1;5182.0;5152.0;5131.0;20.0;30.0;4911.0;4000.0;507.0;3424.0;530.0;402.0;128.0;329.0;17.0;88.0;16.0;37.0;42.0;13.0;36.0;81.0;53.0;271.0;237.0
8;5010a Sale/repair of commercial vehicles;2008;13.9;12.4;12.3;11.1;5459.0;5418.0;5395.0;24.0;41.0;5291.0;4326.0;519.0;3732.0;551.0;402.0;149.0;355.0;18.0;91.0;11.0;;48.0;13.0;38.0;93.0;60.0;168.0;152.0
9;50102 Import of new passenger cars;2006;3.1;2.8;2.8;2.6;13929.0;13852.0;13817.0;35.0;77.0;13709.0;9526.0;51.0;9435.0;205.0;139.0;66.0;3956.0;4.0;27.0;3.0;25.0;386.0;12.0;49.0;3451.0;22.0;220.0;220.0
10;50102 Import of new passenger cars;2007;3.0;2.8;2.7;2.5;14187.0;14108.0;14099.0;9.0;80.0;13948.0;9874.0;36.0;9816.0;202.0;143.0;59.0;3845.0;4.0;28.0;4.0;25.0;415.0;12.0;57.0;3302.0;26.0;239.0;262.0
11;50102 Import of new passenger cars;2008;3.0;2.8;2.7;2.5;13320.0;13266.0;13256.0;10.0;55.0;13110.0;9368.0;29.0;9324.0;205.0;146.0;59.0;3507.0;4.0;28.0;4.0;;385.0;10.0;44.0;3000.0;30.0;211.0;224.0
12;50104 Sale and repair of passenger cars;2006;82.2;69.9;65.8;56.4;30718.0;30663.0;30412.0;252.0;55.0;29954.0;25817.0;2329.0;23192.0;2084.0;1627.0;457.0;1770.0;113.0;456.0;71.0;174.0;270.0;67.0;172.0;446.0;283.0;765.0;615.0
13;50104 Sale and repair of passenger cars;2007;87.2;76.3;70.1;60.8;33025.0;32948.0;32666.0;281.0;78.0;32116.0;27635.0;2682.0;24636.0;2246.0;1742.0;503.0;1961.0;118.0;505.0;67.0;187.0;291.0;76.0;198.0;518.0;275.0;909.0;724.0
14;50104 Sale and repair of passenger cars;2008;86.3;74.1;68.4;57.8;31542.0;31490.0;31215.0;274.0;52.0;30825.0;26290.0;3294.0;22655.0;2260.0;1767.0;494.0;1993.0;124.0;512.0;69.0;;301.0;68.0;199.0;530.0;281.0;717.0;513.0
15;502 Service and repair of motor vehicles;2006;22.6;20.1;18.3;16.1;2172.0;2159.0;1857.0;;13.0;1966.0;918.0;659.0;;594.0;453.0;141.0;370.0;35.0;116.0;18.0;47.0;30.0;14.0;37.0;72.0;84.0;206.0;190.0
