ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
0;Total dwellings;The Netherlands;2010;1850.0;3300.0;;4.6
1;Total dwellings;The Netherlands;2011;1450.0;3250.0;;4.5
2;Total dwellings;The Netherlands;2012;1500.0;3200.0;;5.1
3;Total dwellings;The Netherlands;2013;1600.0;3150.0;;4.9
4;Total dwellings;The Netherlands;2014;1200.0;3050.0;;4.8
5;Total dwellings;The Netherlands;2015;1250.0;2980.0;;5.5
6;Total dwellings;The Netherlands;2016;1300.0;2910.0;;5.5
7;Total dwellings;The Netherlands;2017;1240.0;2860.0;;5.6
8;Total dwellings;The Netherlands;2018;1270.0;2790.0;;
9;Total dwellings;The Netherlands;2019;1180.0;2730.0;;5.9
10;Total dwellings;The Netherlands;2020;1120.0;2760.0;;6.3
11;Total dwellings;The Netherlands;2021;1250.0;2810.0;2480.0;6.3
12;Total dwellings;The Netherlands;2022;980.0;2640.0;2210.0;6.4
13;Total dwellings;Noord-Nederland (LD);2010;2200.0;3200.0;;
14;Total dwellings;Noord-Nederland (LD);2011;1700.0;3200.0;;
15;Total dwellings;Noord-Nederland (LD);2012;1850.0;3100.0;;0.3
16;Total dwellings;Noord-Nederland (LD);2013;1950.0;3050.0;;0.3
17;Total dwellings;Noord-Nederland (LD);2014;1450.0;2900.0;;0.3
18;Total dwellings;Noord-Nederland (LD);2015;1510.0;2850.0;;0.5
19;Total dwellings;Noord-Nederland (LD);2016;1580.0;2770.0;;0.5
20;Total dwellings;Noord-Nederland (LD);2017;1490.0;2700.0;;0.5
21;Total dwellings;Noord-Nederland (LD);2018;1530.0;2640.0;;
22;Total dwellings;Noord-Nederland (LD);2019;1390.0;2590.0;;0.6
23;Total dwellings;Noord-Nederland (LD);2020;1340.0;2650.0;;
24;Total dwellings;Noord-Nederland (LD);2021;1490.0;2700.0;2250.0;
25;Total dwellings;Noord-Nederland (LD);2022;1160.0;2560.0;1950.0;
26;Total dwellings;Oost-Nederland (LD);2010;1950.0;3500.0;;5.0
27;Total dwellings;Oost-Nederland (LD);2011;1550.0;3450.0;;5.0
28;Total dwellings;Oost-Nederland (LD);2012;1600.0;3400.0;;5.8
29;Total dwellings;Oost-Nederland (LD);2013;1700.0;3350.0;;5.5
30;Total dwellings;Oost-Nederland (LD);2014;1250.0;3200.0;;5.5
31;Total dwellings;Oost-Nederland (LD);2015;1320.0;3140.0;;6.1
32;Total dwellings;Oost-Nederland (LD);2016;1370.0;3050.0;;6.1
33;Total dwellings;Oost-Nederland (LD);2017;1320.0;2980.0;;6.1
34;Total dwellings;Oost-Nederland (LD);2018;1340.0;2890.0;;
35;Total dwellings;Oost-Nederland (LD);2019;1230.0;2860.0;;6.7
36;Total dwellings;Oost-Nederland (LD);2020;1170.0;2910.0;;6.9
37;Total dwellings;Oost-Nederland (LD);2021;1320.0;2950.0;2560.0;6.8
38;Total dwellings;Oost-Nederland (LD);2022;1040.0;2790.0;2250.0;6.9
39;Total dwellings;West-Nederland (LD);2010;1650.0;3100.0;;6.0
40;Total dwellings;West-Nederland (LD);2011;1300.0;3050.0;;6.0
41;Total dwellings;West-Nederland (LD);2012;1350.0;3000.0;;6.5
42;Total dwellings;West-Nederland (LD);2013;1450.0;2950.0;;6.2
43;Total dwellings;West-Nederland (LD);2014;1050.0;2850.0;;6.0
44;Total dwellings;West-Nederland (LD);2015;1130.0;2810.0;;6.9
45;Total dwellings;West-Nederland (LD);2016;1170.0;2760.0;;7.0
46;Total dwellings;West-Nederland (LD);2017;1110.0;2710.0;;7.1
47;Total dwellings;West-Nederland (LD);2018;1140.0;2650.0;;
48;Total dwellings;West-Nederland (LD);2019;1060.0;2580.0;;7.7
49;Total dwellings;West-Nederland (LD);2020;1010.0;2610.0;;8.2
50;Total dwellings;West-Nederland (LD);2021;1140.0;2680.0;2450.0;8.1
51;Total dwellings;West-Nederland (LD);2022;890.0;2510.0;2200.0;8.3
52;Total dwellings;West-Nederland, G4 excluded (LD);2010;;;;
53;Total dwellings;West-Nederland, G4 excluded (LD);2011;;;;
54;Total dwellings;West-Nederland, G4 excluded (LD);2012;;;;
55;Total dwellings;West-Nederland, G4 excluded (LD);2013;;;;
56;Total dwellings;West-Nederland, G4 excluded (LD);2014;;;;
57;Total dwellings;West-Nederland, G4 excluded (LD);2015;;;;
58;Total dwellings;West-Nederland, G4 excluded (LD);2016;;;;
59;Total dwellings;West-Nederland, G4 excluded (LD);2017;;;;
60;Total dwellings;West-Nederland, G4 excluded (LD);2018;;;;
61;Total dwellings;West-Nederland, G4 excluded (LD);2019;;;;
62;Total dwellings;West-Nederland, G4 excluded (LD);2020;;;;
63;Total dwellings;West-Nederland, G4 excluded (LD);2021;;;;
64;Total dwellings;West-Nederland, G4 excluded (LD);2022;;;;
65;Total dwellings;Zuid-Nederland (LD);2010;2000.0;3600.0;;
66;Total dwellings;Zuid-Nederland (LD);2011;1550.0;3550.0;;
67;Total dwellings;Zuid-Nederland (LD);2012;1650.0;3500.0;;3.9
68;Total dwellings;Zuid-Nederland (LD);2013;1750.0;3450.0;;3.7
69;Total dwellings;Zuid-Nederland (LD);2014;1300.0;3300.0;;3.6
70;Total dwellings;Zuid-Nederland (LD);2015;1370.0;3250.0;;4.1
71;Total dwellings;Zuid-Nederland (LD);2016;1420.0;3190.0;;4.1
72;Total dwellings;Zuid-Nederland (LD);2017;1360.0;3150.0;;4.0
73;Total dwellings;Zuid-Nederland (LD);2018;1380.0;3080.0;;
74;Total dwellings;Zuid-Nederland (LD);2019;1280.0;2980.0;;4.2
75;Total dwellings;Zuid-Nederland (LD);2020;1210.0;2980.0;;4.4
76;Total dwellings;Zuid-Nederland (LD);2021;1350.0;3020.0;2600.0;4.3
77;Total dwellings;Zuid-Nederland (LD);2022;1060.0;2850.0;2290.0;4.2
78;Total dwellings;Groningen (PV);2010;2150.0;3100.0;;
79;Total dwellings;Groningen (PV);2011;1700.0;3100.0;;
80;Total dwellings;Groningen (PV);2012;1850.0;3050.0;;0.4
81;Total dwellings;Groningen (PV);2013;1900.0;3000.0;;0.4
82;Total dwellings;Groningen (PV);2014;1400.0;2850.0;;0.4
83;Total dwellings;Groningen (PV);2015;1500.0;2760.0;;0.6
84;Total dwellings;Groningen (PV);2016;1570.0;2690.0;;0.6
85;Total dwellings;Groningen (PV);2017;1480.0;2640.0;;0.6
86;Total dwellings;Groningen (PV);2018;1510.0;2580.0;;
87;Total dwellings;Groningen (PV);2019;1350.0;2450.0;;0.9
88;Total dwellings;Groningen (PV);2020;1320.0;2530.0;;
89;Total dwellings;Groningen (PV);2021;1460.0;2570.0;2170.0;
90;Total dwellings;Groningen (PV);2022;1140.0;2440.0;1910.0;
91;Total dwellings;Fryslân (PV);2010;2150.0;3050.0;;
92;Total dwellings;Fryslân (PV);2011;1650.0;3050.0;;
93;Total dwellings;Fryslân (PV);2012;1750.0;3000.0;;0.5
94;Total dwellings;Fryslân (PV);2013;1850.0;2900.0;;0.5
95;Total dwellings;Fryslân (PV);2014;1350.0;2800.0;;0.5
96;Total dwellings;Fryslân (PV);2015;1450.0;2730.0;;0.7
97;Total dwellings;Fryslân (PV);2016;1520.0;2640.0;;0.7
98;Total dwellings;Fryslân (PV);2017;1430.0;2570.0;;0.7
99;Total dwellings;Fryslân (PV);2018;1470.0;2490.0;;
100;Total dwellings;Fryslân (PV);2019;1350.0;2540.0;;0.7
101;Total dwellings;Fryslân (PV);2020;1310.0;2630.0;;
102;Total dwellings;Fryslân (PV);2021;1460.0;2680.0;2240.0;
103;Total dwellings;Fryslân (PV);2022;1140.0;2520.0;1930.0;
104;Total dwellings;Drenthe (PV);2010;2350.0;3500.0;;
105;Total dwellings;Drenthe (PV);2011;1850.0;3450.0;;
106;Total dwellings;Drenthe (PV);2012;1950.0;3400.0;;
107;Total dwellings;Drenthe (PV);2013;2050.0;3350.0;;
108;Total dwellings;Drenthe (PV);2014;1500.0;3200.0;;
109;Total dwellings;Drenthe (PV);2015;1600.0;3110.0;;0.1
110;Total dwellings;Drenthe (PV);2016;1680.0;3050.0;;0.2
111;Total dwellings;Drenthe (PV);2017;1590.0;2980.0;;0.2
112;Total dwellings;Drenthe (PV);2018;1610.0;2910.0;;
113;Total dwellings;Drenthe (PV);2019;1480.0;2810.0;;0.2
114;Total dwellings;Drenthe (PV);2020;1400.0;2840.0;;
115;Total dwellings;Drenthe (PV);2021;1560.0;2890.0;2360.0;
116;Total dwellings;Drenthe (PV);2022;1230.0;2750.0;2050.0;
117;Total dwellings;Overijssel (PV);2010;2100.0;3450.0;;
118;Total dwellings;Overijssel (PV);2011;1650.0;3450.0;;
119;Total dwellings;Overijssel (PV);2012;1750.0;3400.0;;2.3
120;Total dwellings;Overijssel (PV);2013;1850.0;3350.0;;2.0
