ID;Fruitgewassen;Perioden;Oogst_1;Teeltoppervlakte_2
0;Appelrassen (totaal);1997;420.0;15191.0
1;Appelrassen (totaal);1998;518.0;14682.0
2;Appelrassen (totaal);1999;568.0;14191.0
3;Appelrassen (totaal);2000;461.0;12839.0
4;Appelrassen (totaal);2001;408.0;11718.0
5;Appelrassen (totaal);2002;354.0;11177.0
6;Appelrassen (totaal);2003;359.0;10296.0
7;Appelrassen (totaal);2004;436.0;10217.0
8;Appelrassen (totaal);2005;359.0;9737.0
9;Appelrassen (totaal);2006;365.0;9562.0
10;Appelrassen (totaal);2007;391.0;9380.0
11;Appelrassen (totaal);2008;375.0;9302.0
12;Appelrassen (totaal);2009;407.0;9129.0
13;Appelrassen (totaal);2010;334.0;8681.0
14;Appelrassen (totaal);2011;418.0;8266.0
15;Appelrassen (totaal);2012;282.0;7948.0
16;Appelrassen (totaal);2013;314.0;7906.0
17;Appelrassen (totaal);2014;353.0;7850.0
18;Appelrassen (totaal);2015;336.0;7600.0
19;Appelrassen (totaal);2016;317.0;7335.0
20;Appelrassen (totaal);2017;227.0;6953.0
21;Appelrassen (totaal);2018;269.0;6598.0
22;Appelrassen (totaal);2019;273.0;6421.0
23;Appelrassen (totaal);2020;220.0;6154.0
24;Appelrassen (totaal);2021;245.0;5972.0
25;Appelrassen (totaal);2022;236.0;5909.0
26;Appelrassen (totaal);2023;198.0;5501.0
27;Appelrassen (totaal);2024;194.0;5246.0
28;Elstar;1997;129.0;5126.0
29;Elstar;1998;190.0;5145.0
30;Elstar;1999;193.0;5139.0
31;Elstar;2000;167.0;4773.0
32;Elstar;2001;151.0;4477.0
33;Elstar;2002;130.0;4374.0
34;Elstar;2003;133.0;4284.0
35;Elstar;2004;175.0;4472.0
36;Elstar;2005;142.0;4377.0
37;Elstar;2006;149.0;4321.0
38;Elstar;2007;172.0;4220.0
39;Elstar;2008;160.0;3964.0
40;Elstar;2009;176.0;3960.0
41;Elstar;2010;145.0;3598.0
42;Elstar;2011;172.0;3367.0
43;Elstar;2012;115.0;3289.0
44;Elstar;2013;123.0;3191.0
45;Elstar;2014;140.0;3154.0
46;Elstar;2015;129.0;2954.0
47;Elstar;2016;133.0;3175.0
48;Elstar;2017;95.0;3068.0
49;Elstar;2018;102.0;2892.0
50;Elstar;2019;109.0;2852.0
51;Elstar;2020;83.0;2709.0
52;Elstar;2021;102.0;2595.0
53;Elstar;2022;89.0;2572.0
54;Elstar;2023;75.0;2411.0
55;Elstar;2024;79.0;2300.0
56;Golden Delicious;1997;40.0;1192.0
57;Golden Delicious;1998;37.0;1102.0
58;Golden Delicious;1999;39.0;1010.0
59;Golden Delicious;2000;30.0;914.0
60;Golden Delicious;2001;29.0;800.0
61;Golden Delicious;2002;28.0;763.0
62;Golden Delicious;2003;27.0;665.0
63;Golden Delicious;2004;31.0;661.0
64;Golden Delicious;2005;29.0;646.0
65;Golden Delicious;2006;24.0;574.0
66;Golden Delicious;2007;25.0;536.0
67;Golden Delicious;2008;23.0;502.0
68;Golden Delicious;2009;23.0;500.0
69;Golden Delicious;2010;20.0;469.0
70;Golden Delicious;2011;24.0;473.0
71;Golden Delicious;2012;20.0;450.0
72;Golden Delicious;2013;16.0;430.0
73;Golden Delicious;2014;18.0;385.0
74;Golden Delicious;2015;15.0;350.0
75;Golden Delicious;2016;13.0;304.0
76;Golden Delicious;2017;11.0;280.0
77;Golden Delicious;2018;9.0;213.0
78;Golden Delicious;2019;8.0;204.0
79;Golden Delicious;2020;6.0;175.0
80;Golden Delicious;2021;7.0;163.0
81;Golden Delicious;2022;7.0;153.0
82;Golden Delicious;2023;5.0;129.0
83;Golden Delicious;2024;4.0;114.0
84;Jonagold (incl. Jonagored);1997;138.0;4598.0
85;Jonagold (incl. Jonagored);1998;174.0;4464.0
86;Jonagold (incl. Jonagored);1999;198.0;4334.0
87;Jonagold (incl. Jonagored);2000;162.0;3950.0
88;Jonagold (incl. Jonagored);2001;137.0;3668.0
89;Jonagold (incl. Jonagored);2002;136.0;3545.0
90;Jonagold (incl. Jonagored);2003;133.0;3278.0
91;Jonagold (incl. Jonagored);2004;167.0;3298.0
92;Jonagold (incl. Jonagored);2005;132.0;3009.0
93;Jonagold (incl. Jonagored);2006;129.0;2738.0
94;Jonagold (incl. Jonagored);2007;137.0;2458.0
95;Jonagold (incl. Jonagored);2008;125.0;2375.0
96;Jonagold (incl. Jonagored);2009;135.0;2305.0
97;Jonagold (incl. Jonagored);2010;100.0;2273.0
98;Jonagold (incl. Jonagored);2011;132.0;2083.0
99;Jonagold (incl. Jonagored);2012;74.0;1845.0
100;Jonagold (incl. Jonagored);2013;92.0;1828.0
101;Jonagold (incl. Jonagored);2014;100.0;1828.0
102;Jonagold (incl. Jonagored);2015;98.0;1769.0
103;Jonagold (incl. Jonagored);2016;95.0;1718.0
104;Jonagold (incl. Jonagored);2017;61.0;1502.0
105;Jonagold (incl. Jonagored);2018;75.0;1318.0
106;Jonagold (incl. Jonagored);2019;67.0;1203.0
107;Jonagold (incl. Jonagored);2020;51.0;1140.0
108;Jonagold (incl. Jonagored);2021;51.0;1107.0
109;Jonagold (incl. Jonagored);2022;56.0;1074.0
110;Jonagold (incl. Jonagored);2023;47.0;941.0
111;Jonagold (incl. Jonagored);2024;47.0;895.0
112;Junami;1997;;
113;Junami;1998;;
114;Junami;1999;;
115;Junami;2000;;
116;Junami;2001;;
117;Junami;2002;;
118;Junami;2003;;
119;Junami;2004;;
120;Junami;2005;0.0;26.0
121;Junami;2006;1.0;101.0
122;Junami;2007;2.0;259.0
123;Junami;2008;5.0;345.0
124;Junami;2009;10.0;391.0
125;Junami;2010;10.0;429.0
126;Junami;2011;17.0;442.0
127;Junami;2012;8.0;445.0
128;Junami;2013;12.0;450.0
129;Junami;2014;16.0;456.0
130;Junami;2015;14.0;460.0
131;Junami;2016;15.0;469.0
132;Junami;2017;10.0;415.0
133;Junami;2018;13.0;340.0
134;Junami;2019;14.0;333.0
135;Junami;2020;9.0;283.0
136;Junami;2021;10.0;225.0
137;Junami;2022;8.0;216.0
138;Junami;2023;6.0;166.0
139;Junami;2024;4.0;134.0
140;Kanzi;1997;;
141;Kanzi;1998;;
142;Kanzi;1999;;
143;Kanzi;2000;;
144;Kanzi;2001;;
145;Kanzi;2002;;
146;Kanzi;2003;;
147;Kanzi;2004;0.0;8.0
148;Kanzi;2005;0.0;51.0
149;Kanzi;2006;2.0;192.0
150;Kanzi;2007;5.0;306.0
151;Kanzi;2008;6.0;311.0
152;Kanzi;2009;11.0;350.0
153;Kanzi;2010;15.0;380.0
154;Kanzi;2011;17.0;410.0
155;Kanzi;2012;14.0;408.0
156;Kanzi;2013;17.0;414.0
157;Kanzi;2014;19.0;479.0
158;Kanzi;2015;19.0;495.0
159;Kanzi;2016;18.0;500.0
160;Kanzi;2017;18.0;458.0
161;Kanzi;2018;18.0;435.0
162;Kanzi;2019;18.0;402.0
163;Kanzi;2020;18.0;397.0
164;Kanzi;2021;18.0;407.0
165;Kanzi;2022;18.0;393.0
166;Kanzi;2023;18.0;380.0
167;Kanzi;2024;15.0;334.0
168;Rode Boskoop (Goudreinette);1997;30.0;1281.0
169;Rode Boskoop (Goudreinette);1998;36.0;1238.0
170;Rode Boskoop (Goudreinette);1999;52.0;1183.0
171;Rode Boskoop (Goudreinette);2000;32.0;1028.0
172;Rode Boskoop (Goudreinette);2001;30.0;906.0
173;Rode Boskoop (Goudreinette);2002;20.0;809.0
174;Rode Boskoop (Goudreinette);2003;25.0;680.0
175;Rode Boskoop (Goudreinette);2004;26.0;632.0
176;Rode Boskoop (Goudreinette);2005;19.0;606.0
177;Rode Boskoop (Goudreinette);2006;23.0;572.0
178;Rode Boskoop (Goudreinette);2007;19.0;615.0
179;Rode Boskoop (Goudreinette);2008;23.0;627.0
180;Rode Boskoop (Goudreinette);2009;17.0;574.0
181;Rode Boskoop (Goudreinette);2010;14.0;476.0
182;Rode Boskoop (Goudreinette);2011;19.0;442.0
183;Rode Boskoop (Goudreinette);2012;14.0;453.0
184;Rode Boskoop (Goudreinette);2013;16.0;473.0
185;Rode Boskoop (Goudreinette);2014;19.0;424.0
186;Rode Boskoop (Goudreinette);2015;18.0;423.0
187;Rode Boskoop (Goudreinette);2016;15.0;397.0
188;Rode Boskoop (Goudreinette);2017;11.0;366.0
189;Rode Boskoop (Goudreinette);2018;13.0;333.0
190;Rode Boskoop (Goudreinette);2019;14.0;311.0
191;Rode Boskoop (Goudreinette);2020;11.0;288.0
192;Rode Boskoop (Goudreinette);2021;13.0;274.0
193;Rode Boskoop (Goudreinette);2022;14.0;273.0
194;Rode Boskoop (Goudreinette);2023;10.0;259.0
195;Rode Boskoop (Goudreinette);2024;9.0;238.0
196;Overige appelrassen;1997;83.0;2994.0
197;Overige appelrassen;1998;81.0;2733.0
198;Overige appelrassen;1999;86.0;2525.0
199;Overige appelrassen;2000;70.0;2174.0
200;Overige appelrassen;2001;61.0;1867.0
201;Overige appelrassen;2002;40.0;1686.0
202;Overige appelrassen;2003;41.0;1389.0
203;Overige appelrassen;2004;37.0;1146.0
204;Overige appelrassen;2005;37.0;1022.0
205;Overige appelrassen;2006;37.0;1064.0
206;Overige appelrassen;2007;31.0;986.0
207;Overige appelrassen;2008;33.0;1178.0
208;Overige appelrassen;2009;35.0;1049.0
