ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
0;Total buildings;Orders received by contractors;2015 January;929.0
1;Total buildings;Orders received by contractors;2015 February;1415.0
2;Total buildings;Orders received by contractors;2015 March;1397.0
3;Total buildings;Orders received by contractors;2015 1st quarter;3741.0
4;Total buildings;Orders received by contractors;2015 April;1380.0
5;Total buildings;Orders received by contractors;2015 May;1047.0
6;Total buildings;Orders received by contractors;2015 June;952.0
7;Total buildings;Orders received by contractors;2015 2nd quarter;3380.0
8;Total buildings;Orders received by contractors;2015 July;1055.0
9;Total buildings;Orders received by contractors;2015 August;838.0
10;Total buildings;Orders received by contractors;2015 September;988.0
11;Total buildings;Orders received by contractors;2015 3rd quarter;2881.0
12;Total buildings;Orders received by contractors;2015 October;953.0
13;Total buildings;Orders received by contractors;2015 November;868.0
14;Total buildings;Orders received by contractors;2015 December;1054.0
15;Total buildings;Orders received by contractors;2015 4th quarter;2874.0
16;Total buildings;Orders received by contractors;2015;12877.0
17;Total buildings;Orders received by contractors;2016 January;780.0
18;Total buildings;Orders received by contractors;2016 February;943.0
19;Total buildings;Orders received by contractors;2016 March;1082.0
20;Total buildings;Orders received by contractors;2016 1st quarter;2805.0
21;Total buildings;Orders received by contractors;2016 April;1165.0
22;Total buildings;Orders received by contractors;2016 May;1079.0
23;Total buildings;Orders received by contractors;2016 June;1207.0
24;Total buildings;Orders received by contractors;2016 2nd quarter;3451.0
25;Total buildings;Orders received by contractors;2016 July;1069.0
26;Total buildings;Orders received by contractors;2016 August;1023.0
27;Total buildings;Orders received by contractors;2016 September;1382.0
28;Total buildings;Orders received by contractors;2016 3rd quarter;3475.0
29;Total buildings;Orders received by contractors;2016 October;1121.0
30;Total buildings;Orders received by contractors;2016 November;1256.0
31;Total buildings;Orders received by contractors;2016 December;1367.0
32;Total buildings;Orders received by contractors;2016 4th quarter;3745.0
33;Total buildings;Orders received by contractors;2016;13475.0
34;Total buildings;Orders received by contractors;2017 January;1000.0
35;Total buildings;Orders received by contractors;2017 February;1368.0
36;Total buildings;Orders received by contractors;2017 March;1560.0
37;Total buildings;Orders received by contractors;2017 1st quarter;3928.0
38;Total buildings;Orders received by contractors;2017 April;1348.0
39;Total buildings;Orders received by contractors;2017 May;1434.0
40;Total buildings;Orders received by contractors;2017 June;1205.0
41;Total buildings;Orders received by contractors;2017 2nd quarter;3987.0
