ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
0;Total;"Inbound transport; total";Total;Total all continents;2007;454976;430204;479747;5.0;100;;586619;572373;600865;2.0;100;
1;Total;"Inbound transport; total";Total;Total all continents;2008;512560;481997;543124;6.0;100;5.0;594685;580602;608767;2.0;100;9.0
2;Total;"Inbound transport; total";Total;Total all continents;2009;427225;394128;460323;8.0;100;1.0;524454;511220;537687;3.0;100;1.0
3;Total;"Inbound transport; total";Total;Total all continents;2010;511786;476970;546603;7.0;100;5.0;570522;556516;584529;2.0;100;4.0
4;Total;"Inbound transport; total";Total;Total all continents;2011;527113;500123;554103;5.0;100;9.0;573216;561286;585146;2.0;100;9.0
5;Total;"Inbound transport; total";Total;Total all continents;2012;586128;550416;621841;6.0;100;5.0;567724;555455;579993;2.0;100;9.0
6;Total;"Inbound transport; total";Total;Total all continents;2013;574778;539023;610534;6.0;100;9.0;564886;553113;576659;2.0;100;9.0
7;Total;"Inbound transport; total";Total;Total all continents;2014;567226;532883;601569;6.0;100;9.0;577191;564043;590339;2.0;100;4.0
8;Total;"Inbound transport; total";Total;Total all continents;2015;609925;556843;663007;9.0;100;4.0;591188;577529;604847;2.0;100;4.0
9;Total;"Inbound transport; total";Total;Total all continents;2016;581417;534750;628083;8.0;100;9.0;590101;576691;603512;2.0;100;9.0
10;Total;"Inbound transport; total";Total;Total all continents;2017;650556;599292;701820;8.0;100;5.0;604351;591345;617357;2.0;100;4.0
11;Total;"Inbound transport; total";Total;Africa;2007;18104;12390;23818;32.0;4;;51674;46515;56832;10.0;9;
12;Total;"Inbound transport; total";Total;Africa;2008;21867;15845;27888;28.0;4;9.0;52170;47535;56804;9.0;9;9.0
13;Total;"Inbound transport; total";Total;Africa;2009;14007;10537;17476;25.0;3;1.0;40816;37238;44394;9.0;8;1.0
14;Total;"Inbound transport; total";Total;Africa;2010;18715;14369;23060;23.0;4;5.0;36223;32920;39526;9.0;6;1.0
15;Total;"Inbound transport; total";Total;Africa;2011;21640;16223;27057;25.0;4;9.0;40003;36081;43926;10.0;7;5.0
16;Total;"Inbound transport; total";Total;Africa;2012;26300;19744;32855;25.0;4;9.0;46817;42034;51600;10.0;8;5.0
17;Total;"Inbound transport; total";Total;Africa;2013;22195;17509;26882;21.0;4;9.0;44693;40364;49021;10.0;8;9.0
18;Total;"Inbound transport; total";Total;Africa;2014;24301;17686;30916;27.0;4;9.0;51551;46591;56512;10.0;9;5.0
19;Total;"Inbound transport; total";Total;Africa;2015;20865;15995;25735;23.0;3;9.0;50661;45305;56018;11.0;9;9.0
20;Total;"Inbound transport; total";Total;Africa;2016;14057;10880;17234;23.0;2;1.0;38526;34636;42415;10.0;7;1.0
21;Total;"Inbound transport; total";Total;Africa;2017;16482;12597;20367;24.0;3;9.0;39676;35791;43560;10.0;7;9.0
22;Total;"Inbound transport; total";Total;America;2007;55563;46210;64917;17.0;12;;90335;86499;94171;4.0;15;
23;Total;"Inbound transport; total";Total;America;2008;63340;51686;74994;18.0;12;9.0;103799;99525;108073;4.0;17;5.0
24;Total;"Inbound transport; total";Total;America;2009;47903;34617;61189;28.0;11;1.0;72636;69197;76075;5.0;14;1.0
25;Total;"Inbound transport; total";Total;America;2010;54844;42006;67682;23.0;11;9.0;95303;91415;99190;4.0;17;5.0
26;Total;"Inbound transport; total";Total;America;2011;60062;51087;69037;15.0;11;9.0;104700;100712;108687;4.0;18;4.0
27;Total;"Inbound transport; total";Total;America;2012;64240;53184;75296;17.0;11;9.0;93926;90376;97477;4.0;17;1.0
28;Total;"Inbound transport; total";Total;America;2013;67460;54560;80359;19.0;12;9.0;100522;96398;104647;4.0;18;4.0
29;Total;"Inbound transport; total";Total;America;2014;65800;54314;77287;17.0;12;9.0;96817;92478;101157;4.0;17;9.0
30;Total;"Inbound transport; total";Total;America;2015;68190;54199;82182;21.0;11;9.0;96176;91551;100801;5.0;16;9.0
31;Total;"Inbound transport; total";Total;America;2016;67074;53257;80891;21.0;12;9.0;92512;87999;97025;5.0;16;9.0
32;Total;"Inbound transport; total";Total;America;2017;80185;57042;103328;29.0;12;9.0;83295;79374;87217;5.0;14;2.0
33;Total;"Inbound transport; total";Total;Asia;2007;56902;44633;69172;22.0;13;;38267;34023;42510;11.0;7;
34;Total;"Inbound transport; total";Total;Asia;2008;77000;60301;93700;22.0;15;5.0;44278;40251;48305;9.0;7;5.0
35;Total;"Inbound transport; total";Total;Asia;2009;74955;53611;96300;28.0;18;9.0;44738;40609;48868;9.0;9;9.0
36;Total;"Inbound transport; total";Total;Asia;2010;83293;61756;104830;26.0;16;9.0;42951;38880;47022;9.0;8;9.0
37;Total;"Inbound transport; total";Total;Asia;2011;81013;65980;96046;19.0;15;9.0;47558;44353;50762;7.0;8;5.0
38;Total;"Inbound transport; total";Total;Asia;2012;92916;72014;113818;22.0;16;9.0;44478;41217;47738;7.0;8;2.0
39;Total;"Inbound transport; total";Total;Asia;2013;93674;71266;116082;24.0;16;9.0;41115;37971;44260;8.0;7;2.0
40;Total;"Inbound transport; total";Total;Asia;2014;95338;74790;115885;22.0;17;9.0;42884;39515;46253;8.0;7;9.0
41;Total;"Inbound transport; total";Total;Asia;2015;121371;85162;157580;30.0;20;9.0;45819;42221;49417;8.0;8;9.0
42;Total;"Inbound transport; total";Total;Asia;2016;115571;84028;147114;27.0;20;9.0;49849;45933;53765;8.0;8;4.0
43;Total;"Inbound transport; total";Total;Asia;2017;128520;92823;164217;28.0;20;9.0;53083;48843;57322;8.0;9;9.0
44;Total;"Inbound transport; total";Total;Europe;2007;322549;304040;341058;6.0;71;;393654;381779;405528;3.0;67;
45;Total;"Inbound transport; total";Total;Europe;2008;347826;325865;369788;6.0;68;4.0;383106;371271;394941;3.0;64;9.0
46;Total;"Inbound transport; total";Total;Europe;2009;288785;267548;310022;7.0;68;1.0;358709;347191;370227;3.0;68;2.0
47;Total;"Inbound transport; total";Total;Europe;2010;352298;328555;376041;7.0;69;5.0;388032;375697;400367;3.0;68;4.0
48;Total;"Inbound transport; total";Total;Europe;2011;358371;338703;378040;5.0;68;9.0;368735;358798;378671;3.0;64;2.0
49;Total;"Inbound transport; total";Total;Europe;2012;397564;371727;423401;6.0;68;5.0;368463;358384;378541;3.0;65;9.0
50;Total;"Inbound transport; total";Total;Europe;2013;386793;362637;410950;6.0;67;9.0;364882;355382;374382;3.0;65;9.0
51;Total;"Inbound transport; total";Total;Europe;2014;379207;355103;403311;6.0;67;9.0;375817;365088;386546;3.0;65;4.0
52;Total;"Inbound transport; total";Total;Europe;2015;397332;361461;433203;9.0;65;9.0;389026;378012;400041;3.0;66;4.0
53;Total;"Inbound transport; total";Total;Europe;2016;382687;351359;414015;8.0;66;9.0;398004;386802;409205;3.0;67;9.0
54;Total;"Inbound transport; total";Total;Europe;2017;422809;394481;451136;7.0;65;5.0;419126;408233;430019;3.0;69;4.0
55;Total;"Inbound transport; total";Total;Oceania;2007;1802;1203;2402;33.0;0;;11293;9705;12882;14.0;2;
56;Total;"Inbound transport; total";Total;Oceania;2008;2506;1583;3428;37.0;0;9.0;10788;9282;12294;14.0;2;9.0
57;Total;"Inbound transport; total";Total;Oceania;2009;1544;1009;2079;35.0;0;1.0;6625;5769;7481;13.0;1;1.0
58;Total;"Inbound transport; total";Total;Oceania;2010;2621;1651;3590;37.0;1;5.0;8010;6820;9201;15.0;1;5.0
59;Total;"Inbound transport; total";Total;Oceania;2011;3606;2345;4867;35.0;1;9.0;8173;6968;9378;15.0;1;9.0
60;Total;"Inbound transport; total";Total;Oceania;2012;2446;1657;3236;32.0;0;1.0;8894;7563;10226;15.0;2;9.0
61;Total;"Inbound transport; total";Total;Oceania;2013;1999;1301;2697;35.0;0;9.0;8094;6802;9386;16.0;1;9.0
62;Total;"Inbound transport; total";Total;Oceania;2014;2172;1448;2895;33.0;0;9.0;9509;7788;11231;18.0;2;9.0
63;Total;"Inbound transport; total";Total;Oceania;2015;1822;1213;2430;33.0;0;9.0;8746;7261;10232;17.0;1;9.0
64;Total;"Inbound transport; total";Total;Oceania;2016;1831;1243;2420;32.0;0;9.0;10655;8777;12532;18.0;2;5.0
65;Total;"Inbound transport; total";Total;Oceania;2017;2412;1656;3169;31.0;0;9.0;8831;7401;10262;16.0;1;1.0
66;Total;"Inbound transport; total";Total;Unspecified countries and areas;2007;55;15;95;73.0;0;;1397;1081;1712;23.0;0;
67;Total;"Inbound transport; total";Total;Unspecified countries and areas;2008;21;12;31;45.0;0;1.0;544;429;659;21.0;0;1.0
68;Total;"Inbound transport; total";Total;Unspecified countries and areas;2009;31;8;55;74.0;0;9.0;930;690;1169;26.0;0;5.0
