ID;BeroepsEnEigenVervoer;Vervoerstromen;LandVanLadenLossen;Landen;Perioden;VervoerdGewicht_1
0;Beroeps- en eigen vervoer;3;1;0;1997;65447.0
1;Beroeps- en eigen vervoer;3;1;0;1998;66996.0
2;Beroeps- en eigen vervoer;3;1;0;1999;72690.0
3;Beroeps- en eigen vervoer;3;1;0;2000;67996.0
4;Beroeps- en eigen vervoer;3;1;0;2001;71793.0
5;Beroeps- en eigen vervoer;3;1;0;2002;70341.0
6;Beroeps- en eigen vervoer;3;1;0;2003;75280.0
7;Beroeps- en eigen vervoer;3;1;0;2004;84136.0
8;Beroeps- en eigen vervoer;3;1;0;2005;80628.0
9;Beroeps- en eigen vervoer;3;1;0;2006;78977.0
10;Beroeps- en eigen vervoer;3;1;0;2007;77416.0
11;Beroeps- en eigen vervoer;3;1;0;2008;78991.0
12;Beroeps- en eigen vervoer;3;1;0;2009;69296.0
13;Beroeps- en eigen vervoer;3;1;0;2010;72817.0
14;Beroeps- en eigen vervoer;3;1;0;2011;72399.0
15;Beroeps- en eigen vervoer;3;1;0;2012;68215.0
16;Beroeps- en eigen vervoer;3;1;1;1997;20148.0
17;Beroeps- en eigen vervoer;3;1;1;1998;20810.0
18;Beroeps- en eigen vervoer;3;1;1;1999;22291.0
19;Beroeps- en eigen vervoer;3;1;1;2000;21027.0
20;Beroeps- en eigen vervoer;3;1;1;2001;21749.0
21;Beroeps- en eigen vervoer;3;1;1;2002;20515.0
22;Beroeps- en eigen vervoer;3;1;1;2003;22844.0
23;Beroeps- en eigen vervoer;3;1;1;2004;24254.0
24;Beroeps- en eigen vervoer;3;1;1;2005;23346.0
25;Beroeps- en eigen vervoer;3;1;1;2006;23695.0
26;Beroeps- en eigen vervoer;3;1;1;2007;24644.0
27;Beroeps- en eigen vervoer;3;1;1;2008;24570.0
28;Beroeps- en eigen vervoer;3;1;1;2009;21204.0
29;Beroeps- en eigen vervoer;3;1;1;2010;23691.0
30;Beroeps- en eigen vervoer;3;1;1;2011;22606.0
31;Beroeps- en eigen vervoer;3;1;1;2012;23236.0
32;Beroeps- en eigen vervoer;3;1;2;1997;5195.0
33;Beroeps- en eigen vervoer;3;1;2;1998;5762.0
34;Beroeps- en eigen vervoer;3;1;2;1999;5811.0
35;Beroeps- en eigen vervoer;3;1;2;2000;5932.0
36;Beroeps- en eigen vervoer;3;1;2;2001;6073.0
37;Beroeps- en eigen vervoer;3;1;2;2002;6144.0
38;Beroeps- en eigen vervoer;3;1;2;2003;6427.0
39;Beroeps- en eigen vervoer;3;1;2;2004;8766.0
40;Beroeps- en eigen vervoer;3;1;2;2005;9276.0
41;Beroeps- en eigen vervoer;3;1;2;2006;7811.0
42;Beroeps- en eigen vervoer;3;1;2;2007;7119.0
43;Beroeps- en eigen vervoer;3;1;2;2008;7017.0
44;Beroeps- en eigen vervoer;3;1;2;2009;6315.0
45;Beroeps- en eigen vervoer;3;1;2;2010;6817.0
46;Beroeps- en eigen vervoer;3;1;2;2011;6271.0
47;Beroeps- en eigen vervoer;3;1;2;2012;5572.0
48;Beroeps- en eigen vervoer;3;1;3;1997;33551.0
49;Beroeps- en eigen vervoer;3;1;3;1998;33297.0
50;Beroeps- en eigen vervoer;3;1;3;1999;37466.0
51;Beroeps- en eigen vervoer;3;1;3;2000;32857.0
52;Beroeps- en eigen vervoer;3;1;3;2001;35717.0
53;Beroeps- en eigen vervoer;3;1;3;2002;35269.0
54;Beroeps- en eigen vervoer;3;1;3;2003;37533.0
55;Beroeps- en eigen vervoer;3;1;3;2004;40726.0
56;Beroeps- en eigen vervoer;3;1;3;2005;37093.0
57;Beroeps- en eigen vervoer;3;1;3;2006;36858.0
58;Beroeps- en eigen vervoer;3;1;3;2007;37392.0
59;Beroeps- en eigen vervoer;3;1;3;2008;38092.0
60;Beroeps- en eigen vervoer;3;1;3;2009;34890.0
61;Beroeps- en eigen vervoer;3;1;3;2010;34752.0
62;Beroeps- en eigen vervoer;3;1;3;2011;35553.0
63;Beroeps- en eigen vervoer;3;1;3;2012;32827.0
64;Beroeps- en eigen vervoer;3;1;4;1997;1581.0
65;Beroeps- en eigen vervoer;3;1;4;1998;1687.0
66;Beroeps- en eigen vervoer;3;1;4;1999;1586.0
67;Beroeps- en eigen vervoer;3;1;4;2000;1637.0
68;Beroeps- en eigen vervoer;3;1;4;2001;1551.0
69;Beroeps- en eigen vervoer;3;1;4;2002;1555.0
70;Beroeps- en eigen vervoer;3;1;4;2003;1315.0
71;Beroeps- en eigen vervoer;3;1;4;2004;1639.0
72;Beroeps- en eigen vervoer;3;1;4;2005;1733.0
73;Beroeps- en eigen vervoer;3;1;4;2006;1541.0
74;Beroeps- en eigen vervoer;3;1;4;2007;1310.0
75;Beroeps- en eigen vervoer;3;1;4;2008;1219.0
76;Beroeps- en eigen vervoer;3;1;4;2009;1279.0
77;Beroeps- en eigen vervoer;3;1;4;2010;1072.0
78;Beroeps- en eigen vervoer;3;1;4;2011;1217.0
79;Beroeps- en eigen vervoer;3;1;4;2012;1172.0
80;Beroeps- en eigen vervoer;3;1;5;1997;845.0
81;Beroeps- en eigen vervoer;3;1;5;1998;1011.0
82;Beroeps- en eigen vervoer;3;1;5;1999;1320.0
83;Beroeps- en eigen vervoer;3;1;5;2000;2593.0
84;Beroeps- en eigen vervoer;3;1;5;2001;3077.0
85;Beroeps- en eigen vervoer;3;1;5;2002;2962.0
86;Beroeps- en eigen vervoer;3;1;5;2003;2939.0
87;Beroeps- en eigen vervoer;3;1;5;2004;4063.0
88;Beroeps- en eigen vervoer;3;1;5;2005;4427.0
89;Beroeps- en eigen vervoer;3;1;5;2006;4320.0
90;Beroeps- en eigen vervoer;3;1;5;2007;2601.0
91;Beroeps- en eigen vervoer;3;1;5;2008;3294.0
92;Beroeps- en eigen vervoer;3;1;5;2009;2604.0
93;Beroeps- en eigen vervoer;3;1;5;2010;2198.0
94;Beroeps- en eigen vervoer;3;1;5;2011;2052.0
95;Beroeps- en eigen vervoer;3;1;5;2012;2197.0
96;Beroeps- en eigen vervoer;3;1;6;1997;607.0
97;Beroeps- en eigen vervoer;3;1;6;1998;701.0
98;Beroeps- en eigen vervoer;3;1;6;1999;690.0
99;Beroeps- en eigen vervoer;3;1;6;2000;697.0
100;Beroeps- en eigen vervoer;3;1;6;2001;610.0
101;Beroeps- en eigen vervoer;3;1;6;2002;706.0
102;Beroeps- en eigen vervoer;3;1;6;2003;568.0
103;Beroeps- en eigen vervoer;3;1;6;2004;813.0
104;Beroeps- en eigen vervoer;3;1;6;2005;928.0
105;Beroeps- en eigen vervoer;3;1;6;2006;792.0
106;Beroeps- en eigen vervoer;3;1;6;2007;870.0
107;Beroeps- en eigen vervoer;3;1;6;2008;571.0
108;Beroeps- en eigen vervoer;3;1;6;2009;457.0
109;Beroeps- en eigen vervoer;3;1;6;2010;465.0
110;Beroeps- en eigen vervoer;3;1;6;2011;521.0
111;Beroeps- en eigen vervoer;3;1;6;2012;464.0
112;Beroeps- en eigen vervoer;3;1;7;1997;609.0
113;Beroeps- en eigen vervoer;3;1;7;1998;655.0
114;Beroeps- en eigen vervoer;3;1;7;1999;773.0
115;Beroeps- en eigen vervoer;3;1;7;2000;827.0
116;Beroeps- en eigen vervoer;3;1;7;2001;726.0
117;Beroeps- en eigen vervoer;3;1;7;2002;744.0
118;Beroeps- en eigen vervoer;3;1;7;2003;820.0
119;Beroeps- en eigen vervoer;3;1;7;2004;1075.0
120;Beroeps- en eigen vervoer;3;1;7;2005;759.0
121;Beroeps- en eigen vervoer;3;1;7;2006;1114.0
122;Beroeps- en eigen vervoer;3;1;7;2007;669.0
123;Beroeps- en eigen vervoer;3;1;7;2008;652.0
124;Beroeps- en eigen vervoer;3;1;7;2009;502.0
125;Beroeps- en eigen vervoer;3;1;7;2010;544.0
126;Beroeps- en eigen vervoer;3;1;7;2011;412.0
127;Beroeps- en eigen vervoer;3;1;7;2012;302.0
128;Beroeps- en eigen vervoer;3;1;8;1997;804.0
129;Beroeps- en eigen vervoer;3;1;8;1998;917.0
130;Beroeps- en eigen vervoer;3;1;8;1999;835.0
131;Beroeps- en eigen vervoer;3;1;8;2000;780.0
132;Beroeps- en eigen vervoer;3;1;8;2001;699.0
133;Beroeps- en eigen vervoer;3;1;8;2002;794.0
134;Beroeps- en eigen vervoer;3;1;8;2003;873.0
135;Beroeps- en eigen vervoer;3;1;8;2004;973.0
136;Beroeps- en eigen vervoer;3;1;8;2005;940.0
137;Beroeps- en eigen vervoer;3;1;8;2006;1082.0
138;Beroeps- en eigen vervoer;3;1;8;2007;1327.0
139;Beroeps- en eigen vervoer;3;1;8;2008;2222.0
140;Beroeps- en eigen vervoer;3;1;8;2009;757.0
141;Beroeps- en eigen vervoer;3;1;8;2010;2187.0
142;Beroeps- en eigen vervoer;3;1;8;2011;2444.0
143;Beroeps- en eigen vervoer;3;1;8;2012;1314.0
144;Beroeps- en eigen vervoer;3;1;9;1997;521.0
145;Beroeps- en eigen vervoer;3;1;9;1998;545.0
146;Beroeps- en eigen vervoer;3;1;9;1999;461.0
147;Beroeps- en eigen vervoer;3;1;9;2000;389.0
148;Beroeps- en eigen vervoer;3;1;9;2001;371.0
149;Beroeps- en eigen vervoer;3;1;9;2002;384.0
150;Beroeps- en eigen vervoer;3;1;9;2003;454.0
151;Beroeps- en eigen vervoer;3;1;9;2004;521.0
152;Beroeps- en eigen vervoer;3;1;9;2005;504.0
153;Beroeps- en eigen vervoer;3;1;9;2006;506.0
154;Beroeps- en eigen vervoer;3;1;9;2007;266.0
155;Beroeps- en eigen vervoer;3;1;9;2008;301.0
156;Beroeps- en eigen vervoer;3;1;9;2009;227.0
157;Beroeps- en eigen vervoer;3;1;9;2010;174.0
158;Beroeps- en eigen vervoer;3;1;9;2011;302.0
159;Beroeps- en eigen vervoer;3;1;9;2012;303.0
160;Beroeps- en eigen vervoer;3;1;Zwitserland;1997;489.0
161;Beroeps- en eigen vervoer;3;1;Zwitserland;1998;486.0
162;Beroeps- en eigen vervoer;3;1;Zwitserland;1999;474.0
163;Beroeps- en eigen vervoer;3;1;Zwitserland;2000;431.0
164;Beroeps- en eigen vervoer;3;1;Zwitserland;2001;410.0
165;Beroeps- en eigen vervoer;3;1;Zwitserland;2002;507.0
166;Beroeps- en eigen vervoer;3;1;Zwitserland;2003;491.0
167;Beroeps- en eigen vervoer;3;1;Zwitserland;2004;536.0
168;Beroeps- en eigen vervoer;3;1;Zwitserland;2005;726.0
169;Beroeps- en eigen vervoer;3;1;Zwitserland;2006;612.0
170;Beroeps- en eigen vervoer;3;1;Zwitserland;2007;627.0
171;Beroeps- en eigen vervoer;3;1;Zwitserland;2008;503.0
172;Beroeps- en eigen vervoer;3;1;Zwitserland;2009;328.0
173;Beroeps- en eigen vervoer;3;1;Zwitserland;2010;370.0
174;Beroeps- en eigen vervoer;3;1;Zwitserland;2011;339.0
175;Beroeps- en eigen vervoer;3;1;Zwitserland;2012;329.0
176;Beroeps- en eigen vervoer;3;1;Centraal of Oost-Europa;1997;856.0
