ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;4932959;100.0;100;95;5
1;1;651612;13.2;13;13;0
2;2;453226;9.2;9;8;1
3;3;382001;7.7;8;8;0
4;4;1531154;31.0;32;30;2
5;5;62376;1.3;1;1;0
6;6;40949;0.8;0;0;0
7;7;22175;0.4;0;0;0
8;8;1263058;25.6;27;26;1
9;9;15322;0.3;0;0;0
10;Revolutionnair Communistische Partij;2224;0.0;0;0;0
11;SGP;116937;2.4;2;2;0
12;VVD;391925;7.9;8;7;1
