ID;Bedrijfskenmerken;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3;OpenstaandeVacatures_4;OntstaneVacatures_5;VervuldeVacatures_6
0;A-O Totaal SBI'93;1997 1e kwartaal;;;;88.8;151.0;141.0
1;A-O Totaal SBI'93;1997 2e kwartaal;;;;100.5;190.0;178.0
2;A-O Totaal SBI'93;1997 3e kwartaal;;;;91.6;182.0;191.0
3;A-O Totaal SBI'93;1997 4e kwartaal;;;;115.3;189.0;165.0
4;A-O Totaal SBI'93;1997 jaarcijfer;;;;;;
5;A-O Totaal SBI'93;1998 1e kwartaal;;;;133.1;220.0;202.0
6;A-O Totaal SBI'93;1998 2e kwartaal;;;;151.7;229.0;211.0
7;A-O Totaal SBI'93;1998 3e kwartaal;;;;128.9;209.0;232.0
8;A-O Totaal SBI'93;1998 4e kwartaal;;;;136.7;197.0;189.0
9;A-O Totaal SBI'93;1998 jaarcijfer;;;;134.9;855.0;834.0
10;A-O Totaal SBI'93;1999 1e kwartaal;;;;158.0;241.0;221.0
11;A-O Totaal SBI'93;1999 2e kwartaal;;;;196.9;268.0;229.0
12;A-O Totaal SBI'93;1999 3e kwartaal;;;;170.7;217.0;243.0
13;A-O Totaal SBI'93;1999 4e kwartaal;;;;183.7;226.0;213.0
14;A-O Totaal SBI'93;1999 jaarcijfer;;;;171.5;952.0;905.0
15;A-O Totaal SBI'93;2000 1e kwartaal;;;;215.6;283.0;251.0
16;A-O Totaal SBI'93;2000 2e kwartaal;;;;218.2;251.0;248.0
17;A-O Totaal SBI'93;2000 3e kwartaal;;;;183.4;230.0;265.0
18;A-O Totaal SBI'93;2000 4e kwartaal;;;;204.2;254.0;233.0
19;A-O Totaal SBI'93;2000 jaarcijfer;;;;202.8;1018.0;997.0
20;A-O Totaal SBI'93;2001 1e kwartaal;;;;215.6;270.0;258.0
21;A-O Totaal SBI'93;2001 2e kwartaal;;;;218.1;273.0;270.0
22;A-O Totaal SBI'93;2001 3e kwartaal;;;;170.7;209.0;256.0
23;A-O Totaal SBI'93;2001 4e kwartaal;;;;163.9;194.0;200.0
24;A-O Totaal SBI'93;2001 jaarcijfer;;;;197.1;945.0;986.0
25;A-O Totaal SBI'93;2002 1e kwartaal;;;;177.8;213.0;199.0
26;A-O Totaal SBI'93;2002 2e kwartaal;;;;162.0;200.0;216.0
27;A-O Totaal SBI'93;2002 3e kwartaal;;;;115.1;160.0;207.0
28;A-O Totaal SBI'93;2002 4e kwartaal;;;;120.9;162.0;156.0
29;A-O Totaal SBI'93;2002 jaarcijfer;;;;149.3;735.0;777.0
30;A-O Totaal SBI'93;2003 1e kwartaal;;;;123.5;177.0;174.0
31;A-O Totaal SBI'93;2003 2e kwartaal;;;;125.2;175.0;173.0
32;A-O Totaal SBI'93;2003 3e kwartaal;;;;81.3;141.0;185.0
33;A-O Totaal SBI'93;2003 4e kwartaal;;;;94.1;152.0;139.0
34;A-O Totaal SBI'93;2003 jaarcijfer;;;;109.4;645.0;671.0
35;A-O Totaal SBI'93;2004 1e kwartaal;;;;121.2;178.0;151.0
36;A-O Totaal SBI'93;2004 2e kwartaal;;;;135.7;203.0;188.0
37;A-O Totaal SBI'93;2004 3e kwartaal;;;;109.3;168.0;195.0
38;A-O Totaal SBI'93;2004 4e kwartaal;;;;120.2;176.0;165.0
39;A-O Totaal SBI'93;2004 jaarcijfer;;;;118.3;725.0;699.0
40;A-O Totaal SBI'93;2005 1e kwartaal;;;;153.9;217.0;183.0
41;A-O Totaal SBI'93;2005 2e kwartaal;;;;154.1;212.0;212.0
42;A-O Totaal SBI'93;2005 3e kwartaal;;;;152.8;228.0;229.0
43;A-O Totaal SBI'93;2005 4e kwartaal;;;;156.9;212.0;208.0
44;A-O Totaal SBI'93;2005 jaarcijfer;;;;149.8;869.0;832.0
45;A-O Totaal SBI'93;2006 1e kwartaal;;;;185.4;252.0;224.0
