ID;CaribischNederland;Perioden;StroomonderbrekingenTotaal_1;MinderDan1Uur_2;k_1Tot2Uur_3;k_2Tot5Uur_4;MeerDan5Uur_5;DuurIsOnbekend_6
0;Caribisch Nederland;2010;;;;;;
1;Caribisch Nederland;2011;;;;;;
2;Caribisch Nederland;2012;;;;;;
3;Caribisch Nederland;2013;;;;;;
4;Caribisch Nederland;2014;;;;;;
5;Caribisch Nederland;2015;74.0;27.0;16.0;11.0;7.0;13.0
6;Caribisch Nederland;2016;64.0;23.0;13.0;14.0;1.0;13.0
7;Caribisch Nederland;2017;60.0;22.0;10.0;5.0;5.0;18.0
8;Caribisch Nederland;2018;;;;;;
9;Bonaire;2010;14.0;1.0;5.0;8.0;0.0;
10;Bonaire;2011;22.0;4.0;7.0;8.0;3.0;
11;Bonaire;2012;36.0;3.0;11.0;15.0;7.0;
12;Bonaire;2013;24.0;7.0;6.0;9.0;2.0;
13;Bonaire;2014;25.0;8.0;8.0;7.0;2.0;
14;Bonaire;2015;29.0;7.0;9.0;8.0;5.0;
15;Bonaire;2016;19.0;7.0;6.0;6.0;;
16;Bonaire;2017;13.0;2.0;6.0;3.0;2.0;
17;Bonaire;2018;15.0;5.0;3.0;5.0;2.0;
18;Sint-Eustatius;2010;;;;;;
19;Sint-Eustatius;2011;;;;;;
20;Sint-Eustatius;2012;;;;;;
21;Sint-Eustatius;2013;;;;;;
22;Sint-Eustatius;2014;;;;;;
23;Sint-Eustatius;2015;17.0;16.0;1.0;;;
24;Sint-Eustatius;2016;12.0;9.0;;;;3.0
25;Sint-Eustatius;2017;15.0;15.0;;;;
26;Sint-Eustatius;2018;;;;;;
27;Saba;2010;21.0;7.0;6.0;5.0;3.0;
28;Saba;2011;23.0;6.0;10.0;5.0;2.0;
29;Saba;2012;35.0;9.0;14.0;7.0;5.0;
30;Saba;2013;25.0;9.0;10.0;3.0;1.0;2.0
31;Saba;2014;31.0;14.0;4.0;2.0;2.0;9.0
32;Saba;2015;28.0;4.0;6.0;3.0;2.0;13.0
33;Saba;2016;33.0;7.0;7.0;8.0;1.0;10.0
34;Saba;2017;32.0;5.0;4.0;2.0;3.0;18.0
35;Saba;2018;36.0;10.0;7.0;5.0;0.0;14.0
