ID;Binnenvaartdiensten;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
0;Binnenvaart, goederenvervoer;2014 4e kwartaal;89.3;;
1;Binnenvaart, goederenvervoer;2014;;;
2;Binnenvaart, goederenvervoer;2015 1e kwartaal;88.4;-1.0;
3;Binnenvaart, goederenvervoer;2015 2e kwartaal;86.0;-2.7;
4;Binnenvaart, goederenvervoer;2015 3e kwartaal;102.7;19.4;
5;Binnenvaart, goederenvervoer;2015 4e kwartaal;122.9;19.7;37.7
6;Binnenvaart, goederenvervoer;2015;100.0;;
7;Binnenvaart, goederenvervoer;2016 1e kwartaal;90.9;-26.1;2.9
8;Binnenvaart, goederenvervoer;2016 2e kwartaal;84.8;-6.7;-1.3
9;Binnenvaart, goederenvervoer;2016 3e kwartaal;86.3;1.7;-16.0
10;Binnenvaart, goederenvervoer;2016 4e kwartaal;102.2;18.4;-16.9
11;Binnenvaart, goederenvervoer;2016;91.1;;-8.9
12;Binnenvaart, goederenvervoer;2017 1e kwartaal;111.7;9.2;22.8
13;Binnenvaart, goederenvervoer;2017 2e kwartaal;104.9;-6.0;23.7
14;Binnenvaart, goederenvervoer;2017 3e kwartaal;106.9;1.9;23.9
15;Binnenvaart, goederenvervoer;2017 4e kwartaal;109.0;1.9;6.6
16;Binnenvaart, goederenvervoer;2017;108.1;;18.7
17;Binnenvaart, goederenvervoer;2018 1e kwartaal;107.9;-1.0;-3.4
18;Binnenvaart, goederenvervoer;2018 2e kwartaal;105.8;-1.9;0.8
19;Binnenvaart, goederenvervoer;2018 3e kwartaal;134.2;26.8;25.5
20;Binnenvaart, goederenvervoer;2018 4e kwartaal;166.1;23.8;52.4
21;Binnenvaart, goederenvervoer;2018;128.5;;18.8
22;Binnenvaart, goederenvervoer;2019 1e kwartaal;129.1;-22.3;19.7
23;Binnenvaart, goederenvervoer;2019 2e kwartaal;122.7;-4.9;16.0
24;Binnenvaart, goederenvervoer;2019 3e kwartaal;120.2;-2.0;-10.4
25;Binnenvaart, goederenvervoer;2019 4e kwartaal;118.5;-1.5;-28.7
26;Binnenvaart, goederenvervoer;2019;122.6;;-4.5
27;Binnenvaart, goederenvervoer;2020 1e kwartaal;115.2;-2.8;-10.7
28;Binnenvaart, goederenvervoer;2020 2e kwartaal;109.2;-5.2;-11.0
29;Binnenvaart, goederenvervoer;2020 3e kwartaal;105.8;-3.2;-12.0
30;Binnenvaart, goederenvervoer;2020 4e kwartaal;106.9;1.1;-9.8
31;Binnenvaart, goederenvervoer;2020;109.3;;-10.9
32;Binnenvaart, goederenvervoer;2021 1e kwartaal;107.3;0.4;-6.9
33;Binnenvaart, goederenvervoer;2021 2e kwartaal;108.6;1.3;-0.5
34;Binnenvaart, goederenvervoer;2021 3e kwartaal;110.4;1.6;4.3
35;Binnenvaart, goederenvervoer;2021 4e kwartaal;138.0;25.1;29.1
36;Binnenvaart, goederenvervoer;2021;116.1;;6.2
37;Binnenvaart, goederenvervoer;2022 1e kwartaal;141.3;2.4;31.7
38;Binnenvaart, goederenvervoer;2022 2e kwartaal;152.8;8.2;40.7
39;Binnenvaart, goederenvervoer;2022 3e kwartaal;194.2;27.1;76.0
40;Binnenvaart, goederenvervoer;2022 4e kwartaal;173.0;-10.9;25.4
41;Binnenvaart, goederenvervoer;2022;165.3;;42.5
42;Binnenvaart, goederenvervoer;2023 1e kwartaal;158.2;-8.6;12.0
43;Binnenvaart, goederenvervoer;2023 2e kwartaal;142.7;-9.8;-6.6
44;Binnenvaart, goederenvervoer;2023 3e kwartaal;138.1;-3.3;-28.9
45;Binnenvaart, goederenvervoer;2023 4e kwartaal;144.5;4.6;-16.5
46;Binnenvaart, goederenvervoer;2023;145.9;;-11.8
47;Binnenvaart, natte bulk;2014 4e kwartaal;;;
48;Binnenvaart, natte bulk;2014;;;
49;Binnenvaart, natte bulk;2015 1e kwartaal;;;
50;Binnenvaart, natte bulk;2015 2e kwartaal;;;
51;Binnenvaart, natte bulk;2015 3e kwartaal;;;
52;Binnenvaart, natte bulk;2015 4e kwartaal;;;
53;Binnenvaart, natte bulk;2015;;;
54;Binnenvaart, natte bulk;2016 1e kwartaal;;;
55;Binnenvaart, natte bulk;2016 2e kwartaal;;;
56;Binnenvaart, natte bulk;2016 3e kwartaal;;;
57;Binnenvaart, natte bulk;2016 4e kwartaal;;;
58;Binnenvaart, natte bulk;2016;;;
59;Binnenvaart, natte bulk;2017 1e kwartaal;;;
60;Binnenvaart, natte bulk;2017 2e kwartaal;;;
61;Binnenvaart, natte bulk;2017 3e kwartaal;;;
62;Binnenvaart, natte bulk;2017 4e kwartaal;;;
63;Binnenvaart, natte bulk;2017;;;
64;Binnenvaart, natte bulk;2018 1e kwartaal;96.4;;
65;Binnenvaart, natte bulk;2018 2e kwartaal;93.4;-3.1;
66;Binnenvaart, natte bulk;2018 3e kwartaal;103.9;11.3;
67;Binnenvaart, natte bulk;2018 4e kwartaal;128.8;23.9;
68;Binnenvaart, natte bulk;2018;105.6;;
69;Binnenvaart, natte bulk;2019 1e kwartaal;123.7;-4.0;28.4
70;Binnenvaart, natte bulk;2019 2e kwartaal;119.7;-3.2;28.2
71;Binnenvaart, natte bulk;2019 3e kwartaal;120.6;0.8;16.1
72;Binnenvaart, natte bulk;2019 4e kwartaal;118.1;-2.1;-8.3
73;Binnenvaart, natte bulk;2019;120.5;;14.1
74;Binnenvaart, natte bulk;2020 1e kwartaal;115.1;-2.6;-7.0
75;Binnenvaart, natte bulk;2020 2e kwartaal;111.0;-3.5;-7.3
76;Binnenvaart, natte bulk;2020 3e kwartaal;98.3;-11.4;-18.5
77;Binnenvaart, natte bulk;2020 4e kwartaal;94.8;-3.6;-19.7
78;Binnenvaart, natte bulk;2020;104.8;;-13.1
79;Binnenvaart, natte bulk;2021 1e kwartaal;95.3;0.5;-17.2
80;Binnenvaart, natte bulk;2021 2e kwartaal;94.9;-0.3;-14.5
81;Binnenvaart, natte bulk;2021 3e kwartaal;92.9;-2.2;-5.5
82;Binnenvaart, natte bulk;2021 4e kwartaal;114.2;22.9;20.4
83;Binnenvaart, natte bulk;2021;99.3;;-5.2
84;Binnenvaart, natte bulk;2022 1e kwartaal;111.4;-2.4;17.0
