ID;Arbeidspositie;ArbeidspositieDrieMaandenEerder;Perioden;Seizoengecorrigeerd_1;NietSeizoengecorrigeerd_2
0;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 april;12107;12107
1;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 mei;12111;12111
2;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 juni;12114;12114
3;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 2e kwartaal;12111;12111
4;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 juli;12118;12118
5;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 augustus;12122;12122
6;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 september;12125;12125
7;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 3e kwartaal;12122;12122
8;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 oktober;12129;12129
9;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 november;12132;12132
10;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 december;12136;12136
11;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2003 4e kwartaal;12132;12132
12;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 januari;12139;12139
13;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 februari;12142;12142
14;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 maart;12145;12145
15;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 1e kwartaal;12142;12142
16;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 april;12148;12148
17;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 mei;12151;12151
18;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 juni;12154;12154
19;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 2e kwartaal;12151;12151
20;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 juli;12157;12157
21;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 augustus;12160;12160
22;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 september;12163;12163
23;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 3e kwartaal;12160;12160
24;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 oktober;12166;12166
25;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 november;12169;12169
26;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 december;12172;12172
27;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2004 4e kwartaal;12169;12169
28;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 januari;12175;12175
29;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 februari;12178;12178
30;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 maart;12180;12180
31;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 1e kwartaal;12178;12178
32;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 april;12183;12183
33;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 mei;12186;12186
34;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 juni;12189;12189
35;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 2e kwartaal;12186;12186
36;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 juli;12191;12191
37;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 augustus;12194;12194
38;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;2005 september;12197;12197
