ID;SIC2008;ClassificationOfOccupation;Periods;NewVacancies_1
0;A-U All economic activities;01 Teaching occupations;2018;58.8
1;A-U All economic activities;01 Teaching occupations;2019;65.7
2;A-U All economic activities;01 Teaching occupations;2020;54.6
3;A-U All economic activities;01 Teaching occupations;2021;72.1
4;A-U All economic activities;01 Teaching occupations;2022;77.8
5;A-U All economic activities;01 Teaching occupations;2023;72.0
6;A-U All economic activities;011 Teaching professionals;2018;37.6
7;A-U All economic activities;011 Teaching professionals;2019;37.3
8;A-U All economic activities;011 Teaching professionals;2020;32.7
9;A-U All economic activities;011 Teaching professionals;2021;44.4
10;A-U All economic activities;011 Teaching professionals;2022;44.7
11;A-U All economic activities;011 Teaching professionals;2023;43.9
12;A-U All economic activities;013 Child care workers and teachers' ...;2018;
13;A-U All economic activities;013 Child care workers and teachers' ...;2019;
14;A-U All economic activities;013 Child care workers and teachers' ...;2020;
15;A-U All economic activities;013 Child care workers and teachers' ...;2021;
16;A-U All economic activities;013 Child care workers and teachers' ...;2022;
17;A-U All economic activities;013 Child care workers and teachers' ...;2023;
18;A-U All economic activities;02 Artistic occupations;2018;
19;A-U All economic activities;02 Artistic occupations;2019;
20;A-U All economic activities;02 Artistic occupations;2020;
21;A-U All economic activities;02 Artistic occupations;2021;
22;A-U All economic activities;02 Artistic occupations;2022;
23;A-U All economic activities;02 Artistic occupations;2023;
24;A-U All economic activities;021 Authors, creative and performing...;2018;
25;A-U All economic activities;021 Authors, creative and performing...;2019;
26;A-U All economic activities;021 Authors, creative and performing...;2020;
27;A-U All economic activities;021 Authors, creative and performing...;2021;
28;A-U All economic activities;021 Authors, creative and performing...;2022;
29;A-U All economic activities;021 Authors, creative and performing...;2023;
30;A-U All economic activities;03 Sales and PR occupations;2018;159.9
31;A-U All economic activities;03 Sales and PR occupations;2019;169.8
32;A-U All economic activities;03 Sales and PR occupations;2020;124.0
33;A-U All economic activities;03 Sales and PR occupations;2021;173.3
34;A-U All economic activities;03 Sales and PR occupations;2022;198.5
35;A-U All economic activities;03 Sales and PR occupations;2023;161.6
36;A-U All economic activities;031 Sales, marketing and public rel...;2018;20.8
37;A-U All economic activities;031 Sales, marketing and public rel...;2019;23.4
38;A-U All economic activities;031 Sales, marketing and public rel...;2020;17.3
39;A-U All economic activities;031 Sales, marketing and public rel...;2021;30.2
40;A-U All economic activities;031 Sales, marketing and public rel...;2022;35.4
41;A-U All economic activities;031 Sales, marketing and public rel...;2023;29.7
42;A-U All economic activities;032 Sales and purchasing agents and...;2018;27.5
43;A-U All economic activities;032 Sales and purchasing agents and...;2019;30.0
44;A-U All economic activities;032 Sales and purchasing agents and...;2020;21.9
45;A-U All economic activities;032 Sales and purchasing agents and...;2021;32.7
46;A-U All economic activities;032 Sales and purchasing agents and...;2022;37.7
47;A-U All economic activities;032 Sales and purchasing agents and...;2023;33.6
48;A-U All economic activities;033 Sales workers;2018;
49;A-U All economic activities;033 Sales workers;2019;
50;A-U All economic activities;033 Sales workers;2020;
51;A-U All economic activities;033 Sales workers;2021;
52;A-U All economic activities;033 Sales workers;2022;
53;A-U All economic activities;033 Sales workers;2023;
54;A-U All economic activities;04 Business and administrative occup...;2018;191.8
55;A-U All economic activities;04 Business and administrative occup...;2019;209.8
56;A-U All economic activities;04 Business and administrative occup...;2020;158.8
57;A-U All economic activities;04 Business and administrative occup...;2021;240.5
58;A-U All economic activities;04 Business and administrative occup...;2022;291.3
59;A-U All economic activities;04 Business and administrative occup...;2023;267.6
60;A-U All economic activities;041 Business and administration profe...;2018;44.5
61;A-U All economic activities;041 Business and administration profe...;2019;51.8
62;A-U All economic activities;041 Business and administration profe...;2020;43.0
63;A-U All economic activities;041 Business and administration profe...;2021;65.9
64;A-U All economic activities;041 Business and administration profe...;2022;81.6
65;A-U All economic activities;041 Business and administration profe...;2023;81.6
66;A-U All economic activities;042 Business and administration assoc...;2018;
67;A-U All economic activities;042 Business and administration assoc...;2019;
68;A-U All economic activities;042 Business and administration assoc...;2020;
69;A-U All economic activities;042 Business and administration assoc...;2021;
70;A-U All economic activities;042 Business and administration assoc...;2022;
71;A-U All economic activities;042 Business and administration assoc...;2023;
72;A-U All economic activities;043 Clerical support workers;2018;113.8
73;A-U All economic activities;043 Clerical support workers;2019;119.1
74;A-U All economic activities;043 Clerical support workers;2020;83.4
75;A-U All economic activities;043 Clerical support workers;2021;129.4
76;A-U All economic activities;043 Clerical support workers;2022;155.3
77;A-U All economic activities;043 Clerical support workers;2023;139.0
78;A-U All economic activities;05 Managers;2018;
79;A-U All economic activities;05 Managers;2019;
80;A-U All economic activities;05 Managers;2020;
81;A-U All economic activities;05 Managers;2021;
82;A-U All economic activities;05 Managers;2022;
83;A-U All economic activities;05 Managers;2023;
84;A-U All economic activities;052 Administrative and commercial m...;2018;
85;A-U All economic activities;052 Administrative and commercial m...;2019;
86;A-U All economic activities;052 Administrative and commercial m...;2020;
87;A-U All economic activities;052 Administrative and commercial m...;2021;
88;A-U All economic activities;052 Administrative and commercial m...;2022;
89;A-U All economic activities;052 Administrative and commercial m...;2023;
90;A-U All economic activities;053 Production and specialised servic...;2018;
91;A-U All economic activities;053 Production and specialised servic...;2019;
92;A-U All economic activities;053 Production and specialised servic...;2020;
93;A-U All economic activities;053 Production and specialised servic...;2021;
94;A-U All economic activities;053 Production and specialised servic...;2022;
95;A-U All economic activities;053 Production and specialised servic...;2023;
96;A-U All economic activities;06 Public administration, protective...;2018;
97;A-U All economic activities;06 Public administration, protective...;2019;
98;A-U All economic activities;06 Public administration, protective...;2020;
99;A-U All economic activities;06 Public administration, protective...;2021;
100;A-U All economic activities;06 Public administration, protective...;2022;
101;A-U All economic activities;06 Public administration, protective...;2023;
102;A-U All economic activities;061 Legislators and senior officials;2018;3.8
103;A-U All economic activities;061 Legislators and senior officials;2019;4.6
104;A-U All economic activities;061 Legislators and senior officials;2020;4.3
105;A-U All economic activities;061 Legislators and senior officials;2021;5.4
106;A-U All economic activities;061 Legislators and senior officials;2022;6.6
107;A-U All economic activities;061 Legislators and senior officials;2023;6.4
108;A-U All economic activities;062 Legal professionals;2018;4.2
109;A-U All economic activities;062 Legal professionals;2019;4.8
110;A-U All economic activities;062 Legal professionals;2020;4.2
111;A-U All economic activities;062 Legal professionals;2021;5.8
112;A-U All economic activities;062 Legal professionals;2022;7.5
113;A-U All economic activities;062 Legal professionals;2023;7.3
114;A-U All economic activities;07 Technical occupations;2018;
115;A-U All economic activities;07 Technical occupations;2019;
116;A-U All economic activities;07 Technical occupations;2020;
117;A-U All economic activities;07 Technical occupations;2021;
118;A-U All economic activities;07 Technical occupations;2022;
119;A-U All economic activities;07 Technical occupations;2023;
120;A-U All economic activities;072 Science and engineering associate...;2018;
121;A-U All economic activities;072 Science and engineering associate...;2019;
122;A-U All economic activities;072 Science and engineering associate...;2020;
123;A-U All economic activities;072 Science and engineering associate...;2021;
124;A-U All economic activities;072 Science and engineering associate...;2022;
125;A-U All economic activities;072 Science and engineering associate...;2023;
126;A-U All economic activities;073 Building construction workers;2018;
127;A-U All economic activities;073 Building construction workers;2019;
128;A-U All economic activities;073 Building construction workers;2020;
129;A-U All economic activities;073 Building construction workers;2021;
130;A-U All economic activities;073 Building construction workers;2022;
131;A-U All economic activities;073 Building construction workers;2023;
132;A-U All economic activities;074 Metal, machinery and related trad...;2018;65.4
