ID;Beroepsniveau;Herkomstgroepering;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal beroepsniveau;Totaal herkomstgroepering;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal beroepsniveau;Totaal herkomstgroepering;2003;;;;;;
2;Totaal beroepsniveau;Autochtoon;2002;5882.8;3290.9;17.47;1985.0;26.6;35.9
3;Totaal beroepsniveau;Autochtoon;2003;;;;;;
4;Totaal beroepsniveau;Westers allochtoon;2002;583.0;328.8;18.18;2094.0;27.9;37.8
5;Totaal beroepsniveau;Westers allochtoon;2003;;;;;;
6;Totaal beroepsniveau;Niet-westers allochtoon;2002;530.5;267.5;13.61;1509.0;19.2;27.9
7;Totaal beroepsniveau;Niet-westers allochtoon;2003;;;;;;
8;Elementair;Totaal herkomstgroepering;2002;617.9;246.7;11.37;1071.0;13.8;23.4
9;Elementair;Totaal herkomstgroepering;2003;;;;;;
10;Elementair;Autochtoon;2002;476.2;184.4;11.32;1034.0;13.2;23.1
11;Elementair;Autochtoon;2003;;;;;;
12;Elementair;Westers allochtoon;2002;45.0;18.2;11.34;1142.0;14.9;22.8
13;Elementair;Westers allochtoon;2003;;;;;;
14;Elementair;Niet-westers allochtoon;2002;96.7;44.2;11.59;1220.0;16.2;25.2
15;Elementair;Niet-westers allochtoon;2003;;;;;;
16;Lager;Totaal herkomstgroepering;2002;1663.0;884.6;13.21;1441.0;19.4;27.3
17;Lager;Totaal herkomstgroepering;2003;;;;;;
18;Lager;Autochtoon;2002;1399.3;751.3;13.29;1452.0;19.6;27.5
19;Lager;Autochtoon;2003;;;;;;
20;Lager;Westers allochtoon;2002;124.3;63.4;13.59;1523.0;20.6;28.4
21;Lager;Westers allochtoon;2003;;;;;;
22;Lager;Niet-westers allochtoon;2002;139.4;69.9;11.99;1252.0;16.4;24.2
23;Lager;Niet-westers allochtoon;2003;;;;;;
24;Middelbaar;Totaal herkomstgroepering;2002;2442.3;1489.5;16.81;2024.0;27.3;34.0
25;Middelbaar;Totaal herkomstgroepering;2003;;;;;;
26;Middelbaar;Autochtoon;2002;2108.2;1269.7;16.93;2020.0;27.3;34.2
27;Middelbaar;Autochtoon;2003;;;;;;
28;Middelbaar;Westers allochtoon;2002;199.4;135.9;17.08;2144.0;28.8;34.6
29;Middelbaar;Westers allochtoon;2003;;;;;;
30;Middelbaar;Niet-westers allochtoon;2002;134.7;84.0;14.78;1906.0;25.1;30.5
31;Middelbaar;Niet-westers allochtoon;2003;;;;;;
32;Hoger;Totaal herkomstgroepering;2002;1195.3;742.6;22.66;2770.0;37.3;46.0
33;Hoger;Totaal herkomstgroepering;2003;;;;;;
34;Hoger;Autochtoon;2002;1045.1;653.5;22.69;2786.0;37.6;46.0
35;Hoger;Autochtoon;2003;;;;;;
36;Hoger;Westers allochtoon;2002;114.0;67.1;23.85;2805.0;37.3;48.5
37;Hoger;Westers allochtoon;2003;;;;;;
38;Hoger;Niet-westers allochtoon;2002;36.1;21.9;17.98;2197.0;29.4;35.7
39;Hoger;Niet-westers allochtoon;2003;;;;;;
40;Wetenschappelijk;Totaal herkomstgroepering;2002;496.4;334.4;27.55;3521.0;47.4;54.9
41;Wetenschappelijk;Totaal herkomstgroepering;2003;;;;;;
42;Wetenschappelijk;Autochtoon;2002;423.2;283.7;27.61;3522.0;47.7;55.5
43;Wetenschappelijk;Autochtoon;2003;;;;;;
44;Wetenschappelijk;Westers allochtoon;2002;44.1;30.9;30.54;3917.0;52.8;59.6
45;Wetenschappelijk;Westers allochtoon;2003;;;;;;
46;Wetenschappelijk;Niet-westers allochtoon;2002;29.1;19.8;22.21;2906.0;34.8;38.3
47;Wetenschappelijk;Niet-westers allochtoon;2003;;;;;;
