ID;BeroepsEnEigenVervoer;Afstandsklassen;Perioden;VervoerdLadinggewicht_1
0;Beroeps- en eigen vervoer;Totaal alle afstanden;2005;674948
1;Beroeps- en eigen vervoer;Totaal alle afstanden;2006;680409
2;Beroeps- en eigen vervoer;Totaal alle afstanden;2007;700292
3;Beroeps- en eigen vervoer;Totaal alle afstanden;2008;682134
4;Beroeps- en eigen vervoer;Totaal alle afstanden;2009;675315
5;Beroeps- en eigen vervoer;Totaal alle afstanden;2010;657702
6;Beroeps- en eigen vervoer;Totaal alle afstanden;2011;657859
7;Beroeps- en eigen vervoer;Totaal alle afstanden;2012;631705
8;Beroeps- en eigen vervoer;Totaal alle afstanden;2013;642050
9;Beroeps- en eigen vervoer;Totaal alle afstanden;2014;639692
10;Beroeps- en eigen vervoer;Totaal alle afstanden;2015;641440
11;Beroeps- en eigen vervoer;Totaal alle afstanden;2016;656417
12;Beroeps- en eigen vervoer;Totaal alle afstanden;2017;665992
13;Beroeps- en eigen vervoer;Totaal alle afstanden;2018;680169
14;Beroeps- en eigen vervoer;Totaal alle afstanden;2019;688739
15;Beroeps- en eigen vervoer;Totaal alle afstanden;2020;684241
16;Beroeps- en eigen vervoer;Totaal alle afstanden;2021;699323
17;Beroeps- en eigen vervoer;Totaal alle afstanden;2022;690726
18;Beroeps- en eigen vervoer;Totaal alle afstanden;2023;642195
19;Beroeps- en eigen vervoer;Tot 50 km;2005;277425
20;Beroeps- en eigen vervoer;Tot 50 km;2006;285673
21;Beroeps- en eigen vervoer;Tot 50 km;2007;314639
22;Beroeps- en eigen vervoer;Tot 50 km;2008;288414
23;Beroeps- en eigen vervoer;Tot 50 km;2009;300698
24;Beroeps- en eigen vervoer;Tot 50 km;2010;278335
25;Beroeps- en eigen vervoer;Tot 50 km;2011;273242
26;Beroeps- en eigen vervoer;Tot 50 km;2012;268178
27;Beroeps- en eigen vervoer;Tot 50 km;2013;286141
28;Beroeps- en eigen vervoer;Tot 50 km;2014;282692
29;Beroeps- en eigen vervoer;Tot 50 km;2015;287997
30;Beroeps- en eigen vervoer;Tot 50 km;2016;294945
31;Beroeps- en eigen vervoer;Tot 50 km;2017;305896
32;Beroeps- en eigen vervoer;Tot 50 km;2018;309599
33;Beroeps- en eigen vervoer;Tot 50 km;2019;311322
34;Beroeps- en eigen vervoer;Tot 50 km;2020;311387
35;Beroeps- en eigen vervoer;Tot 50 km;2021;310331
36;Beroeps- en eigen vervoer;Tot 50 km;2022;318178
37;Beroeps- en eigen vervoer;Tot 50 km;2023;289955
38;Beroeps- en eigen vervoer;50 tot 150 km;2005;181240
39;Beroeps- en eigen vervoer;50 tot 150 km;2006;179262
40;Beroeps- en eigen vervoer;50 tot 150 km;2007;187537
41;Beroeps- en eigen vervoer;50 tot 150 km;2008;185511
42;Beroeps- en eigen vervoer;50 tot 150 km;2009;181255
43;Beroeps- en eigen vervoer;50 tot 150 km;2010;207020
44;Beroeps- en eigen vervoer;50 tot 150 km;2011;213765
45;Beroeps- en eigen vervoer;50 tot 150 km;2012;201264
46;Beroeps- en eigen vervoer;50 tot 150 km;2013;193059
47;Beroeps- en eigen vervoer;50 tot 150 km;2014;197171
48;Beroeps- en eigen vervoer;50 tot 150 km;2015;200010
49;Beroeps- en eigen vervoer;50 tot 150 km;2016;209464
50;Beroeps- en eigen vervoer;50 tot 150 km;2017;210958
51;Beroeps- en eigen vervoer;50 tot 150 km;2018;216136
52;Beroeps- en eigen vervoer;50 tot 150 km;2019;224805
53;Beroeps- en eigen vervoer;50 tot 150 km;2020;222584
54;Beroeps- en eigen vervoer;50 tot 150 km;2021;234581
55;Beroeps- en eigen vervoer;50 tot 150 km;2022;232305
56;Beroeps- en eigen vervoer;50 tot 150 km;2023;215648
57;Beroeps- en eigen vervoer;150 tot 300 km;2005;111644
58;Beroeps- en eigen vervoer;150 tot 300 km;2006;120079
59;Beroeps- en eigen vervoer;150 tot 300 km;2007;112816
60;Beroeps- en eigen vervoer;150 tot 300 km;2008;112721
61;Beroeps- en eigen vervoer;150 tot 300 km;2009;107025
62;Beroeps- en eigen vervoer;150 tot 300 km;2010;102132
63;Beroeps- en eigen vervoer;150 tot 300 km;2011;104137
64;Beroeps- en eigen vervoer;150 tot 300 km;2012;100372
65;Beroeps- en eigen vervoer;150 tot 300 km;2013;103008
66;Beroeps- en eigen vervoer;150 tot 300 km;2014;104869
67;Beroeps- en eigen vervoer;150 tot 300 km;2015;102863
68;Beroeps- en eigen vervoer;150 tot 300 km;2016;105065
69;Beroeps- en eigen vervoer;150 tot 300 km;2017;102553
70;Beroeps- en eigen vervoer;150 tot 300 km;2018;108160
71;Beroeps- en eigen vervoer;150 tot 300 km;2019;107399
72;Beroeps- en eigen vervoer;150 tot 300 km;2020;107114
73;Beroeps- en eigen vervoer;150 tot 300 km;2021;111094
74;Beroeps- en eigen vervoer;150 tot 300 km;2022;102697
75;Beroeps- en eigen vervoer;150 tot 300 km;2023;99955
76;Beroeps- en eigen vervoer;300 tot 500 km;2005;53480
77;Beroeps- en eigen vervoer;300 tot 500 km;2006;49106
78;Beroeps- en eigen vervoer;300 tot 500 km;2007;45646
79;Beroeps- en eigen vervoer;300 tot 500 km;2008;52945
80;Beroeps- en eigen vervoer;300 tot 500 km;2009;48412
81;Beroeps- en eigen vervoer;300 tot 500 km;2010;35665
82;Beroeps- en eigen vervoer;300 tot 500 km;2011;33191
83;Beroeps- en eigen vervoer;300 tot 500 km;2012;33125
84;Beroeps- en eigen vervoer;300 tot 500 km;2013;31396
85;Beroeps- en eigen vervoer;300 tot 500 km;2014;28792
86;Beroeps- en eigen vervoer;300 tot 500 km;2015;27987
87;Beroeps- en eigen vervoer;300 tot 500 km;2016;26404
88;Beroeps- en eigen vervoer;300 tot 500 km;2017;26383
89;Beroeps- en eigen vervoer;300 tot 500 km;2018;25971
90;Beroeps- en eigen vervoer;300 tot 500 km;2019;25538
91;Beroeps- en eigen vervoer;300 tot 500 km;2020;24561
92;Beroeps- en eigen vervoer;300 tot 500 km;2021;24388
93;Beroeps- en eigen vervoer;300 tot 500 km;2022;21446
94;Beroeps- en eigen vervoer;300 tot 500 km;2023;20557
95;Beroeps- en eigen vervoer;500 tot 1 000 km;2005;38180
96;Beroeps- en eigen vervoer;500 tot 1 000 km;2006;34000
97;Beroeps- en eigen vervoer;500 tot 1 000 km;2007;29771
98;Beroeps- en eigen vervoer;500 tot 1 000 km;2008;32354
99;Beroeps- en eigen vervoer;500 tot 1 000 km;2009;28805
100;Beroeps- en eigen vervoer;500 tot 1 000 km;2010;27465
101;Beroeps- en eigen vervoer;500 tot 1 000 km;2011;26995
102;Beroeps- en eigen vervoer;500 tot 1 000 km;2012;23173
103;Beroeps- en eigen vervoer;500 tot 1 000 km;2013;22458
104;Beroeps- en eigen vervoer;500 tot 1 000 km;2014;20430
105;Beroeps- en eigen vervoer;500 tot 1 000 km;2015;17939
