ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
0;Totaal echtparen;Totaal vrouwen;2001 (Twee jaar getrouwd);77789.0;59792.0;11452.0;3072.0;437.0;1383.0;3515.0;3045.0;6545.0
1;Totaal echtparen;Totaal vrouwen;2002 (Eén jaar getrouwd);80118.0;63113.0;10087.0;2359.0;468.0;1344.0;3062.0;2854.0;6918.0
2;Totaal echtparen;Totaal vrouwen;2003 (Nog geen jaar getrouwd);70814.0;59194.0;5608.0;957.0;404.0;1089.0;1306.0;1852.0;6012.0
3;Totaal echtparen;Autochtoon;2001 (Twee jaar getrouwd);57095.0;51607.0;1519.0;192.0;191.0;297.0;230.0;609.0;3969.0
4;Totaal echtparen;Autochtoon;2002 (Eén jaar getrouwd);60347.0;54360.0;1682.0;202.0;202.0;299.0;284.0;695.0;4305.0
5;Totaal echtparen;Autochtoon;2003 (Nog geen jaar getrouwd);56848.0;51350.0;1393.0;170.0;181.0;293.0;199.0;550.0;4105.0
6;Totaal echtparen;Totaal niet-westers;2001 (Twee jaar getrouwd);12381.0;2446.0;9458.0;2794.0;205.0;1023.0;3159.0;2277.0;477.0
7;Totaal echtparen;Totaal niet-westers;2002 (Eén jaar getrouwd);11085.0;2622.0;7954.0;2096.0;219.0;980.0;2662.0;1997.0;509.0
8;Totaal echtparen;Totaal niet-westers;2003 (Nog geen jaar getrouwd);6443.0;2231.0;3848.0;739.0;194.0;729.0;1033.0;1153.0;364.0
9;Totaal echtparen;Marokko;2001 (Twee jaar getrouwd);3067.0;172.0;2861.0;2740.0;5.0;18.0;12.0;86.0;34.0
10;Totaal echtparen;Marokko;2002 (Eén jaar getrouwd);2342.0;138.0;2168.0;2041.0;5.0;12.0;15.0;95.0;36.0
11;Totaal echtparen;Marokko;2003 (Nog geen jaar getrouwd);931.0;124.0;781.0;703.0;3.0;12.0;12.0;51.0;26.0
12;Totaal echtparen;Nederlandse Antillen + Aruba;2001 (Twee jaar getrouwd);435.0;204.0;200.0;5.0;148.0;19.0;6.0;22.0;31.0
