ID;Gewassen;BiologischeBestrijders;Perioden;BedrijvenMetBiologischeBestrijders_1;BedrijvenMetBiologischeBestrijders_2;OppervlakteMetBestrijders_3;OppervlakteMetBestrijdersRelatief_4;IngezetteBiologischeBestrijders_5;TotaalOppervlakte_6;OppervlakteMetBiologischeBestrijders_7
43;Totaal gewassen/teeltsectoren;B02 Aphidius ervi;2016;;;681.0;11.2;8944.0;1.0;13.0
44;Totaal gewassen/teeltsectoren;B02 Aphidius ervi;2020;;;969.0;14.4;14562.0;2.0;15.0
45;Totaal gewassen/teeltsectoren;B03 Aphidoletes aphidimyza;2012;;;493.0;7.8;8817.0;1.0;18.0
46;Totaal gewassen/teeltsectoren;B03 Aphidoletes aphidimyza;2016;;;1191.0;19.6;74802.0;12.0;63.0
47;Totaal gewassen/teeltsectoren;B03 Aphidoletes aphidimyza;2020;;;2166.0;32.2;248701.0;37.0;115.0
48;Totaal gewassen/teeltsectoren;B04 Diglyphus isaea;2012;;;1402.0;22.1;4476.0;1.0;3.0
49;Totaal gewassen/teeltsectoren;B04 Diglyphus isaea;2016;;;583.0;9.6;3213.0;1.0;6.0
50;Totaal gewassen/teeltsectoren;B04 Diglyphus isaea;2020;;;620.0;9.2;5238.0;1.0;8.0
51;Totaal gewassen/teeltsectoren;B05 Encarsia formosa;2012;;;2086.0;32.9;394597.0;62.0;189.0
52;Totaal gewassen/teeltsectoren;B05 Encarsia formosa;2016;;;2351.0;38.8;374161.0;62.0;159.0
53;Totaal gewassen/teeltsectoren;B05 Encarsia formosa;2020;;;2218.0;32.9;638197.0;95.0;288.0
54;Totaal gewassen/teeltsectoren;B06 Eretmocerus eremicus;2012;;;1272.0;20.0;119547.0;19.0;94.0
55;Totaal gewassen/teeltsectoren;B06 Eretmocerus eremicus;2016;;;2031.0;33.5;427707.0;71.0;211.0
56;Totaal gewassen/teeltsectoren;B06 Eretmocerus eremicus;2020;;;1856.0;27.6;931752.0;138.0;502.0
57;Totaal gewassen/teeltsectoren;B07 Feltiella acarisuga;2012;;;487.0;7.7;379.0;0.0;1.0
58;Totaal gewassen/teeltsectoren;B07 Feltiella acarisuga;2016;;;826.0;13.6;1976.0;0.0;2.0
59;Totaal gewassen/teeltsectoren;B07 Feltiella acarisuga;2020;;;793.0;11.8;15230.0;2.0;19.0
60;Totaal gewassen/teeltsectoren;B99 Sluipwesp en galmug, overig;2012;;;1170.0;18.4;9916.0;2.0;8.0
61;Totaal gewassen/teeltsectoren;B99 Sluipwesp en galmug, overig;2016;;;1186.0;19.6;168675.0;28.0;142.0
62;Totaal gewassen/teeltsectoren;B99 Sluipwesp en galmug, overig;2020;;;1074.0;15.9;471658.0;70.0;439.0
63;Totaal gewassen/teeltsectoren;C Roofwants, -vlieg, -kever totaal;2012;;;3205.0;50.5;43095.0;7.0;13.0
64;Totaal gewassen/teeltsectoren;C Roofwants, -vlieg, -kever totaal;2016;;;3249.0;53.6;71749.0;12.0;22.0
65;Totaal gewassen/teeltsectoren;C Roofwants, -vlieg, -kever totaal;2020;;;4094.0;60.8;165887.0;25.0;41.0
66;Totaal gewassen/teeltsectoren;C01 Delphastus pusillus;2012;;;167.0;2.6;550.0;0.0;3.0
67;Totaal gewassen/teeltsectoren;C01 Delphastus pusillus;2016;;;158.0;2.6;561.0;0.0;4.0
68;Totaal gewassen/teeltsectoren;C01 Delphastus pusillus;2020;;;120.0;1.8;1053.0;0.0;9.0
69;Totaal gewassen/teeltsectoren;C02 Macrolophus pygmaeus;2012;;;1856.0;29.2;21166.0;3.0;11.0
70;Totaal gewassen/teeltsectoren;C02 Macrolophus pygmaeus;2016;;;1805.0;29.7;29029.0;5.0;16.0
71;Totaal gewassen/teeltsectoren;C02 Macrolophus pygmaeus;2020;;;2475.0;36.7;41301.0;6.0;17.0
72;Totaal gewassen/teeltsectoren;C03 Orius laevigatus;2012;;;1187.0;18.7;11687.0;2.0;10.0
73;Totaal gewassen/teeltsectoren;C03 Orius laevigatus;2016;;;1181.0;19.5;25347.0;4.0;21.0
74;Totaal gewassen/teeltsectoren;C03 Orius laevigatus;2020;;;1678.0;24.9;85478.0;13.0;51.0
75;Totaal gewassen/teeltsectoren;C99 Roofwants, -vlieg, -kever, overig;2012;;;673.0;10.6;9691.0;2.0;14.0
76;Totaal gewassen/teeltsectoren;C99 Roofwants, -vlieg, -kever, overig;2016;;;851.0;14.0;16812.0;3.0;20.0
77;Totaal gewassen/teeltsectoren;C99 Roofwants, -vlieg, -kever, overig;2020;;;1100.0;16.3;38055.0;6.0;35.0
78;Totaal gewassen/teeltsectoren;D Aaltje totaal;2012;;;501.0;7.9;;;
79;Totaal gewassen/teeltsectoren;D Aaltje totaal;2016;;;827.0;13.6;;;
