ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneelFase1En2_26;UitlenenEnDetacherenVanPersoneel_27;Arbeidsbemiddeling_28;TestenWervenEnSelecterenPersoneel_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;WVBrutoLonenEnSalGedetachPers_36;SocialeLasten_37;WVSocLastenGedetacheerdPersoneel_38;Pensioenpremies_39;WVPensioenpremiesGedetacheerdPers_40;KostenUitzendkrachten_41;KostenIngeleendPersoneel_42;OverigePersoneelskosten_43;WVOverigePersKstGedetachPers_44;TotaalOverigeBedrijfslasten_45;TotaalHuisvestingskosten_46;BetaaldeHurenPachtenEDVanLeasing_47;OnroerendeZaakbelastingMilieuheffing_48;Energiekosten_49;ReparatieEnOnderhoudskosten_50;Verzekeringen_51;OverigeHuisvestingskosten_52;TotaalInventarisEnMachinekosten_53;BetaaldeHurenEnKostenVanOperLease_54;Onderhoudskosten_55;OverigeInventarisEnMachinekosten_56;TotaalAutokosten_57;BetaaldeHurenEnKostenVanOperLease_58;Brandstof_59;OverigeAutokosten_60;TotaalVerkoopkosten_61;ReclameEnAdvertentiekosten_62;ReisVerblijfsEnRepresentatiekosten_63;OverigeVerkoopkosten_64;TotaalAndereKosten_65;AccountantsEnAdviesdiensten_66;KantoorbenodigdhDrukwerkVakliteratuur_67;OverigeVerzekeringen_68;OverigeKostprijsverhogendeBelastingen_69;Communicatiekosten_70;Beheerskosten_71;OverigeAutomatiseringskosten_72;NogNietEerderGenoemdeBedrijfskosten_73;TotaalAantalWerkzamePersonen_74;WerknemersOpDeLoonlijst_75;WerknemersNietOpLoonlijst_76;OverigPersoneel_77;TotaalInvesteringen_78;TotaalMaterieleVasteActiva_79;Bedrijfsruimten_80;Vervoermiddelen_81;Computers_82;OverigeMachinesApparatenED_83;OverigeMaterieleVasteActiva_84;TotaalImmaterieleVasteActiva_85
0;Totaal SBI 74502;1996;3.3;767.0;756.0;756.0;0.0;11.0;698.0;7.2;81.1;1.0;10.6;74.0;10.0;2.0;12.0;19.0;32.0;69.0;-5.0;64.0;93.3;8.6;8.3;1.0;756.0;7.6;90.7;1.0;0.0;0.0;0.7;100.0;0.6;566.0;85.5;;6.7;;1.9;;0.6;1.7;4.3;;74.0;10.0;67.4;0.7;3.3;5.0;0.6;23.0;2.0;22.4;16.5;61.2;12.0;76.1;10.3;13.7;19.0;45.4;45.8;8.8;32.0;16.9;10.1;1.9;0.1;13.3;30.1;3.7;23.9;237.0;98.1;0.6;1.3;8.0;97.6;15.2;14.5;26.3;11.0;30.6;2.4
1;Totaal SBI 74502;1997;4.1;1015.0;1003.0;999.0;4.0;12.0;924.0;8.4;80.0;0.8;10.8;100.0;10.0;2.0;22.0;26.0;40.0;91.0;-11.0;80.0;92.3;8.6;7.9;0.8;1003.0;7.5;90.9;0.4;0.4;0.0;0.5;99.6;0.3;740.0;80.3;;6.7;;1.4;;0.7;6.6;4.6;;100.0;10.0;69.1;0.4;5.7;4.3;0.6;19.9;2.0;19.9;34.9;45.3;22.0;73.8;13.4;12.9;26.0;44.6;45.9;9.5;40.0;16.8;9.6;1.9;0.1;14.3;38.9;3.5;14.9;319.0;95.0;0.5;4.5;9.0;98.6;14.2;12.4;39.0;9.6;23.4;1.4
2;Totaal SBI 74502;1998;4.9;1267.0;1258.0;1255.0;3.0;9.0;1162.0;11.9;76.1;0.7;11.3;132.0;12.0;3.0;26.0;36.0;55.0;105.0;0.0;105.0;89.0;8.2;8.3;;1258.0;9.9;88.6;0.3;0.4;0.0;0.5;99.8;0.3;884.0;78.3;;10.0;;1.4;;0.7;5.7;4.2;;132.0;12.0;;;;;;;3.0;;;;26.0;;;;36.0;;;;55.0;;;;;;;;;374.0;95.9;0.6;3.5;;;;;;;;
3;Totaal SBI 74502;1999;7.0;1647.0;1624.0;1621.0;3.0;23.0;1571.0;8.4;78.9;0.9;11.8;185.0;23.0;4.0;38.0;36.0;83.0;76.0;-7.0;69.0;91.8;;;;1624.0;7.0;91.0;0.3;0.2;0.8;0.5;99.8;0.3;1239.0;71.1;62.0;9.7;8.7;1.3;1.0;0.9;13.0;4.3;2.6;185.0;23.0;;;;;;;4.0;;;;38.0;;;;36.0;;;;83.0;;;;;;;;;483.0;93.8;0.5;5.7;;;;;;;;
4;Tot 50 000 euro;1996;0.9;3.0;3.0;3.0;0.0;0.0;2.0;0.0;58.7;7.9;33.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;100.0;38.8;38.7;7.9;3.0;0.0;89.1;2.9;0.0;0.0;8.1;100.0;0.0;1.0;84.4;;8.9;;4.8;;0.0;0.0;1.9;;1.0;0.0;85.4;1.5;1.5;8.7;1.5;1.5;0.0;34.1;0.0;65.9;0.0;1.2;28.7;70.1;0.0;38.9;61.1;0.0;0.0;32.3;20.1;2.6;0.0;14.2;12.1;0.0;18.8;2.0;56.9;43.1;0.0;0.0;100.0;0.0;31.2;0.5;7.7;60.6;0.0
5;Tot 50 000 euro;1997;0.6;2.0;2.0;2.0;0.0;0.0;1.0;4.6;60.0;4.4;31.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.5;24.0;26.1;3.5;2.0;2.0;87.5;8.4;0.0;0.0;2.1;100.0;0.3;1.0;74.6;;5.4;;5.6;;0.3;12.3;2.1;;0.0;0.0;61.5;4.1;2.8;24.5;7.2;0.0;0.0;8.6;0.0;91.4;0.0;27.3;22.6;50.1;0.0;81.7;12.9;5.4;0.0;35.5;6.1;2.4;0.0;5.9;30.3;0.0;19.9;1.0;60.7;39.3;0.0;0.0;98.0;25.3;17.6;30.9;7.8;16.4;2.0
6;Tot 50 000 euro;1998;1.1;4.0;4.0;4.0;0.0;0.0;3.0;18.9;52.5;2.8;25.7;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;85.3;25.2;24.2;;4.0;19.9;80.0;0.0;0.0;0.0;0.0;100.0;1.7;2.0;83.2;;7.6;;2.8;;0.1;0.0;7.9;;1.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;;;;;;3.0;62.2;37.8;0.0;;;;;;;;
7;Tot 50 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;50 000 tot 250 000 euro;1996;0.8;10.0;10.0;10.0;0.0;0.0;10.0;5.6;70.0;1.7;22.8;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;94.8;7.0;7.0;4.8;10.0;2.8;95.0;0.1;0.0;0.0;0.1;98.0;21.2;7.0;102.5;;8.2;;1.5;;0.0;2.9;6.1;;2.0;0.0;82.0;0.0;0.8;9.4;0.0;7.9;0.0;6.1;24.6;69.3;0.0;25.1;14.2;60.7;0.0;24.5;57.9;17.6;1.0;24.6;7.1;1.5;0.0;16.1;39.6;0.7;10.4;7.0;97.4;1.4;1.2;1.0;98.6;16.3;19.2;10.8;2.2;50.1;1.4
9;50 000 tot 250 000 euro;1997;1.1;18.0;18.0;18.0;0.0;0.0;17.0;14.2;59.3;1.7;24.8;4.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;1.0;86.2;3.6;3.9;1.8;18.0;4.1;84.9;10.2;0.1;0.0;0.2;99.4;0.5;10.0;64.3;;5.9;;1.2;;1.0;24.0;4.1;;4.0;0.0;77.0;0.2;6.2;5.7;0.2;10.6;0.0;1.4;53.2;45.4;1.0;48.8;24.5;26.6;1.0;35.9;32.3;31.8;3.0;12.9;4.8;0.3;0.0;6.1;66.7;1.2;8.0;7.0;93.8;5.2;0.9;0.0;100.0;7.6;5.8;68.7;6.0;11.8;0.0
