ID;Perioden;Bospaddenstoelen_1;Amfibieen_2;Broedvogels_3;Dagvlinders_4;Libellen_5;Reptielen_6;Vleermuizen_7;Watervogels_8;Zoogdieren_9;Boerenlandvogels_10;BeschermdeBroedvogels_11;BeschermdeWatervogels_12;WarmteminnendeSoorten_13;NeutraleSoorten_14;KoudeminnendeSoorten_15;Dagvlinders_16;Libellen_17;BeginEilegperiodeVogels_18
0;1975;;;;;;;;43.0;;;;52.0;;;;;;
1;1976;;;;;;;;47.0;;;;55.0;;;;;;
2;1977;;;;;;;;49.0;;;;56.0;;;;;;
3;1978;;;;;;;;53.0;;;;58.0;;;;;;
4;1979;;;;;;;;51.0;;;;64.0;;;;;;
5;1980;;;;;;;;55.0;;;;66.0;;;;;;
6;1981;;;;;;;;52.0;;;;64.0;;;;;;
7;1982;;;;;;;;53.0;;;;66.0;;;;;;
8;1983;;;;;;;;55.0;;;;70.0;;;;;;
9;1984;;;;;;;;58.0;;;;65.0;;;;;;
10;1985;;;;;;;;58.0;;;;71.0;;;;;;
11;1986;;;;;;;41.0;54.0;;;;64.0;;;;;;139.0
12;1987;;;;;;;46.0;55.0;;;;68.0;;;;;;136.0
13;1988;;;;;;;50.0;58.0;;;;70.0;;;;;;132.0
14;1989;;;;;;;57.0;63.0;;;;74.0;;;;;;130.0
15;1990;;;80.0;;;;59.0;64.0;;118.0;80.0;72.0;76.0;119.0;169.0;;;126.0
16;1991;;;75.0;;;;62.0;66.0;;108.0;74.0;74.0;70.0;109.0;147.0;;;134.0
17;1992;;;79.0;171.0;;;62.0;71.0;;105.0;85.0;78.0;71.0;105.0;147.0;132.0;;134.0
18;1993;;;80.0;127.0;;;66.0;71.0;;108.0;86.0;76.0;77.0;108.0;135.0;124.0;;130.0
19;1994;;;84.0;89.0;;65.0;73.0;84.0;143.0;104.0;87.0;90.0;73.0;103.0;108.0;130.0;;133.0
20;1995;;;86.0;125.0;;59.0;74.0;94.0;134.0;102.0;91.0;103.0;78.0;106.0;105.0;129.0;;133.0
21;1996;;;83.0;109.0;;71.0;87.0;77.0;145.0;106.0;80.0;78.0;69.0;103.0;90.0;134.0;;133.0
22;1997;;81.0;91.0;104.0;;64.0;93.0;81.0;121.0;109.0;85.0;86.0;69.0;107.0;103.0;125.0;;127.0
23;1998;;95.0;92.0;100.0;;96.0;91.0;88.0;90.0;105.0;89.0;89.0;80.0;106.0;105.0;125.0;;126.0
24;1999;70.0;97.0;95.0;76.0;86.0;87.0;103.0;95.0;96.0;101.0;91.0;99.0;77.0;95.0;87.0;124.0;172.0;124.0
25;2000;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;125.0;166.0;126.0
26;2001;88.0;96.0;96.0;74.0;93.0;93.0;114.0;111.0;97.0;95.0;97.0;112.0;93.0;93.0;86.0;132.0;171.0;127.0
27;2002;75.0;107.0;95.0;98.0;84.0;96.0;128.0;120.0;102.0;91.0;93.0;119.0;99.0;94.0;71.0;121.0;168.0;125.0
28;2003;41.0;109.0;94.0;109.0;107.0;76.0;129.0;123.0;90.0;88.0;88.0;118.0;103.0;94.0;68.0;117.0;167.0;127.0
29;2004;88.0;104.0;93.0;82.0;87.0;99.0;137.0;117.0;113.0;94.0;84.0;115.0;93.0;95.0;67.0;124.0;170.0;130.0
30;2005;72.0;112.0;94.0;92.0;95.0;103.0;152.0;126.0;110.0;94.0;83.0;126.0;111.0;99.0;61.0;122.0;165.0;125.0
31;2006;70.0;113.0;93.0;87.0;122.0;104.0;162.0;123.0;109.0;93.0;77.0;123.0;103.0;92.0;60.0;127.0;168.0;127.0
32;2007;73.0;121.0;94.0;64.0;106.0;123.0;144.0;116.0;135.0;91.0;85.0;122.0;116.0;86.0;63.0;113.0;161.0;123.0
33;2008;72.0;124.0;92.0;63.0;130.0;93.0;187.0;118.0;129.0;88.0;83.0;113.0;103.0;71.0;67.0;125.0;165.0;126.0
34;2009;56.0;113.0;93.0;101.0;125.0;91.0;185.0;113.0;127.0;85.0;80.0;110.0;116.0;78.0;73.0;119.0;162.0;124.0
35;2010;79.0;113.0;92.0;100.0;122.0;89.0;194.0;118.0;136.0;87.0;73.0;121.0;115.0;75.0;66.0;124.0;168.0;127.0
36;2011;59.0;88.0;97.0;86.0;107.0;93.0;207.0;114.0;122.0;91.0;71.0;121.0;108.0;85.0;63.0;113.0;158.0;124.0
37;2012;63.0;93.0;94.0;61.0;112.0;98.0;204.0;;115.0;85.0;71.0;;99.0;74.0;63.0;125.0;167.0;125.0
