ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2017Totaal_1;WmoClienten2016InstroomWlz2017_2;SamenloopWmoWlz2016Wlz2017_3;WmoClientenGebruikWlz2017Totaal_4;WmoClienten2016InstroomWlzIn2017_5;SamenloopWmoWlz2016WlzIn2017_6;WmoClientenGebruikWlz2017Totaal_7;WmoClienten2016InstroomWlzIn2017_8;SamenloopWmoWlz2016WlzIn2017_9
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bodegraven-Reeuwijk;;;;;;;;;
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boekel;;;;;;;;;
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ten Boer;;;;;;;;;
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borger-Odoorn;290.0;60.0;225.0;14.91;3.21;11.7;13.0;3.0;11.0
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borne;240.0;75.0;165.0;16.7;5.17;11.53;13.0;4.0;9.0
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borsele;;;;;;;;;
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxmeer;;;;;;;;;
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxtel;345.0;85.0;260.0;19.79;4.76;15.03;14.0;3.0;10.0
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Breda;;;;;;;;;
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brielle;200.0;50.0;150.0;19.78;5.09;14.69;14.0;4.0;11.0
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bronckhorst;390.0;100.0;295.0;18.53;4.63;13.9;13.0;3.0;10.0
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brummen;240.0;55.0;185.0;18.44;4.18;14.25;13.0;3.0;10.0
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brunssum;495.0;115.0;380.0;20.17;4.7;15.48;20.0;5.0;16.0
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bunnik;155.0;40.0;115.0;21.13;5.38;15.75;13.0;3.0;10.0
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bunschoten;285.0;50.0;230.0;26.67;4.81;21.87;17.0;3.0;14.0
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Buren;;;;;;;;;
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Capelle aan den IJssel;740.0;160.0;580.0;17.86;3.83;14.03;13.0;3.0;11.0
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Castricum;;;;;;;;;
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Coevorden;485.0;85.0;395.0;17.83;3.21;14.63;16.0;3.0;13.0
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cranendonck;200.0;45.0;155.0;18.83;4.33;14.5;10.0;2.0;8.0
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cromstrijen;;;;;;;;;
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cuijk;;;;;;;;;
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Culemborg;105.0;40.0;60.0;12.68;5.05;7.64;5.0;2.0;3.0
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dalfsen;;;;;;;;;
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dantumadiel;180.0;50.0;135.0;20.66;5.45;15.21;12.0;3.0;9.0
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Delft;1160.0;265.0;900.0;17.19;3.89;13.3;13.0;3.0;10.0
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Delfzijl;;;;;;;;;
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Deurne;;;;;;;;;
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Deventer;1200.0;270.0;930.0;18.61;4.2;14.41;15.0;3.0;11.0
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Diemen;260.0;60.0;205.0;14.02;3.1;10.91;11.0;2.0;9.0
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dinkelland;430.0;95.0;335.0;23.88;5.37;18.5;20.0;5.0;16.0
