ID;Bedrijfsactiviteiten;Perioden;TotaleVerkopen_1;BinnenlandseVerkopen_2;BuitenlandseVerkopen_3
0;23    Aardolie-, steenkoolverw. industr.;1990 1e kwartaal;1758;930.0;828.0
1;23    Aardolie-, steenkoolverw. industr.;1990 2e kwartaal;1762;903.0;859.0
2;23    Aardolie-, steenkoolverw. industr.;1990 3e kwartaal;2252;1133.0;1119.0
3;23    Aardolie-, steenkoolverw. industr.;1990 4e kwartaal;2427;1292.0;1135.0
4;23    Aardolie-, steenkoolverw. industr.;1990;8199;4258.0;3941.0
5;23    Aardolie-, steenkoolverw. industr.;1991 1e kwartaal;2199;1057.0;1141.0
6;23    Aardolie-, steenkoolverw. industr.;1991 2e kwartaal;2021;1013.0;1008.0
7;23    Aardolie-, steenkoolverw. industr.;1991 3e kwartaal;1974;1007.0;967.0
8;23    Aardolie-, steenkoolverw. industr.;1991 4e kwartaal;1903;1044.0;859.0
9;23    Aardolie-, steenkoolverw. industr.;1991;8097;4122.0;3975.0
10;23    Aardolie-, steenkoolverw. industr.;1992 1e kwartaal;1652;902.0;750.0
11;23    Aardolie-, steenkoolverw. industr.;1992 2e kwartaal;1785;947.0;839.0
12;23    Aardolie-, steenkoolverw. industr.;1992 3e kwartaal;1769;971.0;798.0
13;23    Aardolie-, steenkoolverw. industr.;1992 4e kwartaal;1791;1012.0;779.0
14;23    Aardolie-, steenkoolverw. industr.;1992;6997;3832.0;3166.0
15;23    Aardolie-, steenkoolverw. industr.;1993 1e kwartaal;1747;943.0;804.0
16;23    Aardolie-, steenkoolverw. industr.;1993 2e kwartaal;1772;929.0;843.0
17;23    Aardolie-, steenkoolverw. industr.;1993 3e kwartaal;1764;913.0;851.0
18;23    Aardolie-, steenkoolverw. industr.;1993 4e kwartaal;1698;961.0;737.0
19;23    Aardolie-, steenkoolverw. industr.;1993;6981;3746.0;3235.0
20;23    Aardolie-, steenkoolverw. industr.;1994 1e kwartaal;2098;1036.0;1061.0
21;23    Aardolie-, steenkoolverw. industr.;1994 2e kwartaal;2032;1042.0;990.0
22;23    Aardolie-, steenkoolverw. industr.;1994 3e kwartaal;1862;1074.0;788.0
23;23    Aardolie-, steenkoolverw. industr.;1994 4e kwartaal;2245;1086.0;1159.0
24;23    Aardolie-, steenkoolverw. industr.;1994;8237;4239.0;3997.0
25;23    Aardolie-, steenkoolverw. industr.;1995 januari;576;295.0;281.0
26;23    Aardolie-, steenkoolverw. industr.;1995 februari;560;293.0;267.0
27;23    Aardolie-, steenkoolverw. industr.;1995 maart;575;295.0;280.0
28;23    Aardolie-, steenkoolverw. industr.;1995 1e kwartaal;1710;883.0;828.0
29;23    Aardolie-, steenkoolverw. industr.;1995 april;540;296.0;243.0
30;23    Aardolie-, steenkoolverw. industr.;1995 mei;624;334.0;291.0
31;23    Aardolie-, steenkoolverw. industr.;1995 juni;567;299.0;267.0
32;23    Aardolie-, steenkoolverw. industr.;1995 2e kwartaal;1731;929.0;801.0
33;23    Aardolie-, steenkoolverw. industr.;1995 juli;536;295.0;241.0
34;23    Aardolie-, steenkoolverw. industr.;1995 augustus;549;307.0;242.0
35;23    Aardolie-, steenkoolverw. industr.;1995 september;549;292.0;257.0
36;23    Aardolie-, steenkoolverw. industr.;1995 oktober;579;316.0;263.0
37;23    Aardolie-, steenkoolverw. industr.;1995 3e kwartaal;1634;893.0;740.0
38;23    Aardolie-, steenkoolverw. industr.;1995 november;589;304.0;285.0
39;23    Aardolie-, steenkoolverw. industr.;1995 december;585;323.0;262.0
40;23    Aardolie-, steenkoolverw. industr.;1995 4e kwartaal;1753;943.0;810.0
41;23    Aardolie-, steenkoolverw. industr.;1995;6828;3648.0;3180.0
42;23    Aardolie-, steenkoolverw. industr.;1996 januari;601;309.0;292.0
43;23    Aardolie-, steenkoolverw. industr.;1996 februari;589;321.0;268.0
44;23    Aardolie-, steenkoolverw. industr.;1996 maart;658;355.0;303.0
45;23    Aardolie-, steenkoolverw. industr.;1996 1e kwartaal;1849;986.0;864.0
46;23    Aardolie-, steenkoolverw. industr.;1996 april;671;349.0;322.0
47;23    Aardolie-, steenkoolverw. industr.;1996 mei;668;354.0;314.0
48;23    Aardolie-, steenkoolverw. industr.;1996 juni;579;323.0;256.0
49;23    Aardolie-, steenkoolverw. industr.;1996 2e kwartaal;1917;1026.0;891.0
50;23    Aardolie-, steenkoolverw. industr.;1996 juli;652;341.0;310.0
51;23    Aardolie-, steenkoolverw. industr.;1996 augustus;671;355.0;316.0
52;23    Aardolie-, steenkoolverw. industr.;1996 september;707;397.0;311.0
53;23    Aardolie-, steenkoolverw. industr.;1996 3e kwartaal;2030;1093.0;938.0
54;23    Aardolie-, steenkoolverw. industr.;1996 oktober;751;423.0;329.0
55;23    Aardolie-, steenkoolverw. industr.;1996 november;770;419.0;351.0
56;23    Aardolie-, steenkoolverw. industr.;1996 december;803;436.0;368.0
57;23    Aardolie-, steenkoolverw. industr.;1996 4e kwartaal;2324;1277.0;1047.0
58;23    Aardolie-, steenkoolverw. industr.;1996;8120;4382.0;3739.0
59;23    Aardolie-, steenkoolverw. industr.;1997 januari;817;457.0;360.0
60;23    Aardolie-, steenkoolverw. industr.;1997 februari;708;410.0;298.0
61;23    Aardolie-, steenkoolverw. industr.;1997 maart;744;428.0;316.0
62;23    Aardolie-, steenkoolverw. industr.;1997 1e kwartaal;2269;1295.0;975.0
63;23    Aardolie-, steenkoolverw. industr.;1997 april;709;406.0;303.0
64;23    Aardolie-, steenkoolverw. industr.;1997 mei;752;432.0;319.0
65;23    Aardolie-, steenkoolverw. industr.;1997 juni;751;429.0;323.0
66;23    Aardolie-, steenkoolverw. industr.;1997 2e kwartaal;2212;1267.0;945.0
67;23    Aardolie-, steenkoolverw. industr.;1997 juli;767;405.0;362.0
68;23    Aardolie-, steenkoolverw. industr.;1997 augustus;766;414.0;352.0
69;23    Aardolie-, steenkoolverw. industr.;1997 september;784;452.0;332.0
70;23    Aardolie-, steenkoolverw. industr.;1997 3e kwartaal;2318;1271.0;1046.0
71;23    Aardolie-, steenkoolverw. industr.;1997 oktober;783;435.0;348.0
72;23    Aardolie-, steenkoolverw. industr.;1997 november;845;489.0;357.0
73;23    Aardolie-, steenkoolverw. industr.;1997 december;808;422.0;386.0
74;23    Aardolie-, steenkoolverw. industr.;1997 4e kwartaal;2436;1346.0;1090.0
75;23    Aardolie-, steenkoolverw. industr.;1997;9236;5179.0;4056.0
76;23    Aardolie-, steenkoolverw. industr.;1998 januari;787;384.0;403.0
77;23    Aardolie-, steenkoolverw. industr.;1998 februari;733;354.0;379.0
78;23    Aardolie-, steenkoolverw. industr.;1998 maart;874;391.0;483.0
79;23    Aardolie-, steenkoolverw. industr.;1998 1e kwartaal;2394;1129.0;1265.0
80;23    Aardolie-, steenkoolverw. industr.;1998 april;764;377.0;387.0
81;23    Aardolie-, steenkoolverw. industr.;1998 mei;744;381.0;363.0
82;23    Aardolie-, steenkoolverw. industr.;1998 juni;672;337.0;334.0
83;23    Aardolie-, steenkoolverw. industr.;1998 2e kwartaal;2180;1095.0;1085.0
84;23    Aardolie-, steenkoolverw. industr.;1998 juli;718;356.0;362.0
85;23    Aardolie-, steenkoolverw. industr.;1998 augustus;707;343.0;364.0
86;23    Aardolie-, steenkoolverw. industr.;1998 september;745;374.0;370.0
87;23    Aardolie-, steenkoolverw. industr.;1998 3e kwartaal;2170;1073.0;1097.0
88;23    Aardolie-, steenkoolverw. industr.;1998 oktober;722;334.0;388.0
89;23    Aardolie-, steenkoolverw. industr.;1998 november;663;310.0;352.0
90;23    Aardolie-, steenkoolverw. industr.;1998 december;657;321.0;336.0
91;23    Aardolie-, steenkoolverw. industr.;1998 4e kwartaal;2042;966.0;1076.0
92;23    Aardolie-, steenkoolverw. industr.;1998;8786;4263.0;4522.0
93;23    Aardolie-, steenkoolverw. industr.;1999 januari;543;248.0;295.0
94;23    Aardolie-, steenkoolverw. industr.;1999 februari;496;230.0;266.0
95;23    Aardolie-, steenkoolverw. industr.;1999 maart;646;285.0;361.0
96;23    Aardolie-, steenkoolverw. industr.;1999 1e kwartaal;1685;763.0;922.0
97;23    Aardolie-, steenkoolverw. industr.;1999 april;766;335.0;432.0
98;23    Aardolie-, steenkoolverw. industr.;1999 mei;749;335.0;414.0
99;23    Aardolie-, steenkoolverw. industr.;1999 juni;747;364.0;383.0
100;23    Aardolie-, steenkoolverw. industr.;1999 2e kwartaal;2263;1034.0;1229.0
101;23    Aardolie-, steenkoolverw. industr.;1999 juli;917;403.0;514.0
102;23    Aardolie-, steenkoolverw. industr.;1999 augustus;906;420.0;486.0
103;23    Aardolie-, steenkoolverw. industr.;1999 september;987;431.0;555.0
104;23    Aardolie-, steenkoolverw. industr.;1999 3e kwartaal;2810;1255.0;1556.0
105;23    Aardolie-, steenkoolverw. industr.;1999 oktober;987;429.0;559.0
106;23    Aardolie-, steenkoolverw. industr.;1999 november;978;452.0;525.0
107;23    Aardolie-, steenkoolverw. industr.;1999 december;1291;569.0;722.0
108;23    Aardolie-, steenkoolverw. industr.;1999 4e kwartaal;3256;1450.0;1806.0
109;23    Aardolie-, steenkoolverw. industr.;1999;10013;4501.0;5512.0
110;23    Aardolie-, steenkoolverw. industr.;2000 januari;1166;484.0;682.0
111;23    Aardolie-, steenkoolverw. industr.;2000 februari;1314;580.0;734.0
112;23    Aardolie-, steenkoolverw. industr.;2000 maart;1438;633.0;805.0
113;23    Aardolie-, steenkoolverw. industr.;2000 1e kwartaal;3919;1697.0;2222.0
114;23    Aardolie-, steenkoolverw. industr.;2000 april;1301;488.0;814.0
115;23    Aardolie-, steenkoolverw. industr.;2000 mei;1498;544.0;955.0
116;23    Aardolie-, steenkoolverw. industr.;2000 juni;1527;577.0;950.0
117;23    Aardolie-, steenkoolverw. industr.;2000 2e kwartaal;4326;1608.0;2718.0
118;23    Aardolie-, steenkoolverw. industr.;2000 juli;1499;632.0;868.0
119;23    Aardolie-, steenkoolverw. industr.;2000 augustus;1577;686.0;891.0
120;23    Aardolie-, steenkoolverw. industr.;2000 september;1755;741.0;1014.0
121;23    Aardolie-, steenkoolverw. industr.;2000 3e kwartaal;4831;2059.0;2773.0
122;23    Aardolie-, steenkoolverw. industr.;2000 oktober;1843;760.0;1083.0
123;23    Aardolie-, steenkoolverw. industr.;2000 november;1800;692.0;1108.0
124;23    Aardolie-, steenkoolverw. industr.;2000 december;1448;561.0;888.0
125;23    Aardolie-, steenkoolverw. industr.;2000 4e kwartaal;5091;2013.0;3078.0
126;23    Aardolie-, steenkoolverw. industr.;2000;18167;7377.0;10790.0
127;23    Aardolie-, steenkoolverw. industr.;2001 januari;1314;509.0;806.0
