ID;DecentraleOverheden;BegrootEMUSaldo2021_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2023_5
0;Totaal decentrale overheden;-7171;-6643;-3331.0;-3312.0;-3900
1;Provincies;-1318;-1491;-666.0;-825.0;-874
2;Gemeenten;-5517;-4506;-2249.0;-2257.0;-2402
3;Gemeenten: minder dan 20 000 inwoners;-387;-241;;;-124
4;Gemeenten: 20 000 tot 50 000 inwoners;-1612;-811;;;-437
5;Gemeenten: 50 000 tot 100 000 inwoners;-802;-652;;;-454
6;Gemeenten: 100 000 tot 150 000 inwoners;-545;-279;;;-179
7;Gemeenten: 150 000 tot 250 000 inwoners;-898;-541;;;-374
8;Gemeenten: 250 000 inwoners of meer;-1268;-1982;;;-833
9;Waterschappen;-263;-528;-416.0;-112.0;-578
10;Gemeenschappelijke regelingen;-73;-118;0.0;-118.0;-46
