ID;InEnUitvoer;Perioden;Oorspronkelijk_1;Werkdaggecorrigeerd_2;Prijs_3;Oorspronkelijk_4;Werkdaggecorrigeerd_5;Oorspronkelijk_6;Werkdaggecorrigeerd_7;Prijs_8;Oorspronkelijk_9;Werkdaggecorrigeerd_10
808;20;2013 februari;112.3;113.1;108.4;103.6;104.3;-1.2;2.2;0.4;-1.6;1.7
809;20;2013 maart;121.7;125.1;106.7;114.1;117.2;-1.0;1.7;-0.9;-0.2;2.6
810;20;2013 1e kwartaal;116.9;117.6;107.2;109.0;109.7;0.6;2.5;0.0;0.6;2.6
811;20;2013 april;112.6;111.9;105.8;106.4;105.8;-0.4;-3.1;-1.5;1.1;-1.6
812;20;2013 mei;119.1;117.7;106.7;111.6;110.3;0.4;0.4;-1.0;1.4;1.4
813;20;2013 juni;114.1;117.2;104.3;109.4;112.4;-1.1;1.6;-0.5;-0.6;2.1
814;20;2013 2e kwartaal;115.2;115.6;105.6;109.1;109.5;-0.4;-0.4;-1.0;0.6;0.6
815;20;2013 juli;115.5;112.9;106.4;108.5;106.1;3.5;0.8;-0.9;4.5;1.7
816;20;2013 augustus;108.5;108.9;106.6;101.9;102.2;-2.1;0.5;-2.0;-0.1;2.6
817;20;2013 september;113.4;114.7;106.9;106.1;107.3;0.1;-2.6;-1.8;2.0;-0.7
818;20;2013 3e kwartaal;112.5;112.2;106.6;105.5;105.2;0.5;-0.5;-1.6;2.1;1.2
819;20;2013 oktober;121.6;118.9;105.7;115.1;112.5;-2.8;-2.8;-2.7;-0.1;-0.1
820;20;2013 november;118.8;120.2;105.8;112.4;113.6;-2.7;0.0;-2.5;-0.2;2.5
821;20;2013 december;111.5;113.4;106.3;104.9;106.8;2.1;-0.6;-1.2;3.3;0.6
822;20;2013 4e kwartaal;117.3;117.5;105.9;110.8;111.0;-1.2;-1.2;-2.1;0.9;1.0
823;20;2013;115.5;115.7;106.3;108.6;108.8;-0.1;0.1;-1.2;1.1;1.3
824;20;2014 januari;114.9;113.0;104.5;110.0;108.1;-1.5;-1.5;-2.0;0.5;0.5
825;20;2014 februari;111.6;112.3;105.8;105.5;106.2;-0.7;-0.7;-2.4;1.8;1.8
826;20;2014 maart;119.4;122.7;103.7;115.1;118.3;-2.0;-2.0;-2.9;0.9;0.9
827;20;2014 1e kwartaal;115.3;116.0;104.7;110.2;110.9;-1.4;-1.4;-2.4;1.1;1.1
828;20;2014 april;115.1;111.8;103.9;110.8;107.7;2.2;-0.1;-1.8;4.1;1.8
829;20;2014 mei;113.2;112.3;105.0;107.8;106.9;-5.0;-4.6;-1.6;-3.4;-3.0
830;20;2014 juni;115.8;118.6;103.5;111.9;114.5;1.5;1.1;-0.8;2.3;1.9
831;20;2014 2e kwartaal;114.7;114.2;104.1;110.2;109.7;-0.5;-1.2;-1.4;1.0;0.2
