ID;Gender;PersonalCharacteristics;CaribbeanNetherlands;Periods;TotalPopulationAged1564Years_1;LabourForce_2;EmployedLabourForce_3;UnemployedLabourForce_4;NotInTheLabourForce_5;GrossLabourParticipationRate_6;NetLabourParticipationRate_7;UnemploymentRate_8;TotalPopulationAged1564Years_9;LabourForce_10;EmployedLabourForce_11;UnemployedLabourForce_12;NotInTheLabourForce_13;GrossLabourParticipationRate_14;NetLabourParticipationRate_15;UnemploymentRate_16
0;Total male and female;Total;Bonaire;2012;13479.0;9383.0;8837.0;546.0;4096.0;69.6;65.6;5.8;11795.0;9120.0;8559.0;561.0;2675.0;77.3;72.6;6.2
1;Total male and female;Total;St. Eustatius;2012;3106.0;2168.0;2099.0;69.0;938.0;69.8;67.6;3.2;2762.0;2040.0;1940.0;99.0;722.0;73.8;70.3;4.9
2;Total male and female;Total;Saba;2012;1709.0;1087.0;1045.0;42.0;622.0;63.6;61.1;3.9;1510.0;1016.0;971.0;45.0;494.0;67.3;64.3;4.4
3;Total male and female;Age: 15 to 25 years;Bonaire;2012;1943.0;1005.0;884.0;121.0;938.0;51.7;45.5;12.0;1943.0;994.0;873.0;121.0;949.0;51.2;44.9;12.2
4;Total male and female;Age: 15 to 25 years;St. Eustatius;2012;384.0;93.0;88.0;;291.0;24.1;23.0;;384.0;83.0;73.0;;301.0;21.5;19.0;
5;Total male and female;Age: 15 to 25 years;Saba;2012;353.0;137.0;126.0;;216.0;38.8;35.7;;353.0;126.0;115.0;;227.0;35.7;32.5;
6;Total male and female;Age: 25 to 45 years;Bonaire;2012;4822.0;4306.0;4046.0;260.0;516.0;89.3;83.9;6.0;4822.0;4295.0;4036.0;260.0;527.0;89.1;83.7;6.0
7;Total male and female;Age: 25 to 45 years;St. Eustatius;2012;1230.0;1060.0;1027.0;33.0;170.0;86.2;83.5;3.1;1230.0;1056.0;1003.0;53.0;174.0;85.8;81.5;5.0
8;Total male and female;Age: 25 to 45 years;Saba;2012;714.0;544.0;525.0;19.0;170.0;76.2;73.5;3.6;714.0;541.0;521.0;20.0;173.0;75.8;72.9;3.8
9;Total male and female;Age: 45 to 65 years;Bonaire;2012;5030.0;3878.0;3727.0;151.0;1152.0;77.1;74.1;3.9;5030.0;3831.0;3650.0;180.0;1199.0;76.2;72.6;4.7
10;Total male and female;Age: 45 to 65 years;St. Eustatius;2012;1148.0;956.0;924.0;32.0;192.0;83.3;80.5;3.3;1148.0;901.0;865.0;37.0;247.0;78.5;75.3;4.1
11;Total male and female;Age: 45 to 65 years;Saba;2012;443.0;362.0;350.0;;81.0;81.7;79.1;;443.0;349.0;336.0;;94.0;78.9;75.8;
12;Total male and female;Age: 65 years or older;Bonaire;2012;1684.0;194.0;181.0;;1490.0;11.5;10.7;;;;;;;;;
13;Total male and female;Age: 65 years or older;St. Eustatius;2012;344.0;59.0;59.0;;285.0;17.3;17.3;;;;;;;;;
14;Total male and female;Age: 65 years or older;Saba;2012;199.0;43.0;43.0;;156.0;21.7;21.7;;;;;;;;;
15;Total male and female;Education level: low;Bonaire;2012;7786.0;4984.0;4693.0;290.0;2802.0;64.0;60.3;5.8;6572.0;4839.0;4539.0;301.0;1732.0;73.6;69.1;6.2
16;Total male and female;Education level: low;St. Eustatius;2012;1852.0;1230.0;1185.0;45.0;622.0;66.4;64.0;3.6;1592.0;1109.0;1046.0;63.0;483.0;69.7;65.7;5.7
17;Total male and female;Education level: low;Saba;2012;872.0;585.0;558.0;27.0;287.0;67.1;64.0;4.5;725.0;541.0;509.0;33.0;183.0;74.7;70.2;6.0
18;Total male and female;Education level: secondary;Bonaire;2012;3609.0;2654.0;2443.0;211.0;955.0;73.5;67.7;8.0;3244.0;2591.0;2375.0;216.0;654.0;79.9;73.2;8.3
19;Total male and female;Education level: secondary;St. Eustatius;2012;764.0;569.0;554.0;15.0;194.0;74.6;72.5;2.7;727.0;562.0;534.0;28.0;165.0;77.3;73.4;5.0
20;Total male and female;Education level: secondary;Saba;2012;255.0;213.0;208.0;;43.0;83.3;81.6;;236.0;207.0;202.0;;29.0;87.6;85.7;
