ID;Gender;Periods;TotalDeaths_1;DeathsPer1000Inhabitants_2;StandardisedMortality_3;InfantMortality_4;InfantMortalityRelative_5;DeathsUnder4Weeks_6;DeathsUnder4WeeksRelative_7;PerinatalMortality24_8;PerinatalMortality24Relative_9;PerinatalMortality28_10;PerinatalMortality28Relative_11;LifeExpectancyAtBirth_12;AverageAgeAtDeath_13
0;Total male and female;1950;75929;7.5;13.2;6126;26.7;;;;;8004.0;34.2;71.4;61.2
1;Total male and female;1951;77560;7.6;13.1;6099;26.7;;;;;7775.0;33.4;71.5;61.5
2;Total male and female;1952;76346;7.4;12.5;5582;24.1;;;;;7646.0;32.4;72.1;62.3
3;Total male and female;1953;80901;7.7;12.9;5398;23.7;;;;;7312.0;31.5;71.7;62.6
4;Total male and female;1954;79623;7.5;12.4;5155;22.6;;;;;7249.0;31.2;72.4;63.7
5;Total male and female;1955;81708;7.6;12.4;4956;21.6;;;;;7047.0;30.2;72.5;64.4
6;Total male and female;1956;84809;7.8;12.5;4675;20.2;;;;;6826.0;29.0;72.5;65.3
7;Total male and female;1957;82961;7.5;11.9;4295;18.4;;;;;6680.0;28.1;73.0;65.1
8;Total male and female;1958;84491;7.6;11.8;4391;18.5;;;;;6733.0;28.0;73.1;65.5
9;Total male and female;1959;86072;7.6;11.7;4388;18.1;;;;;6683.0;27.1;73.2;65.4
10;Total male and female;1960;87825;7.6;11.6;4286;17.9;;;;;6460.0;26.6;73.3;66.1
11;Total male and female;1961;88321;7.6;11.3;4214;17.0;;;;;6513.0;25.9;73.6;66.2
12;Total male and female;1962;93969;8.0;11.7;4174;17.0;;;;;6415.0;25.7;73.2;66.7
13;Total male and female;1963;95734;8.0;11.7;3941;15.8;;;;;6223.0;24.5;73.3;67.1
14;Total male and female;1964;93437;7.7;11.1;3719;14.8;;;;;5945.0;23.4;73.7;66.7
15;Total male and female;1965;98026;8.0;11.4;3541;14.4;;;;;5739.0;23.1;73.6;67.4
16;Total male and female;1966;100516;8.1;11.4;3523;14.7;;;;;5439.0;22.4;73.5;67.6
17;Total male and female;1967;99792;7.9;11.0;3191;13.4;;;;;5096.0;21.1;73.8;67.6
18;Total male and female;1968;104989;8.2;11.3;3224;13.6;;;;;4838.0;20.2;73.6;68.3
19;Total male and female;1969;107615;8.4;11.3;3276;13.2;;;;;4904.0;19.6;73.6;68.3
20;Total male and female;1970;109619;8.4;11.3;3045;12.7;;;;;4502.0;18.6;73.6;68.5
21;Total male and female;1971;110243;8.4;11.1;2757;12.1;;;;;4049.0;17.6;73.8;69.0
22;Total male and female;1972;113576;8.5;11.3;2505;11.7;;;;;3584.0;16.6;73.7;69.4
23;Total male and female;1973;110682;8.2;10.8;2248;11.5;;;;;3203.0;16.3;74.2;69.5
24;Total male and female;1974;109250;8.1;10.4;2104;11.3;;;;;2881.0;15.4;74.6;69.8
25;Total male and female;1975;113737;8.3;10.6;1894;10.6;;;;;2497.0;13.9;74.5;70.5
26;Total male and female;1976;114454;8.3;10.4;1894;10.7;;;;;2567.0;14.4;74.7;70.6
27;Total male and female;1977;110093;7.9;9.8;1649;9.5;;;;;2246.0;12.9;75.3;70.5
28;Total male and female;1978;114415;8.2;9.9;1682;9.6;;;;;2198.0;12.4;75.2;70.9
29;Total male and female;1979;112565;8.0;9.5;1524;8.7;;;;;2098.0;11.9;75.7;71.2
30;Total male and female;1980;114279;8.1;9.4;1557;8.6;;;;;2017.0;11.1;75.8;71.4
31;Total male and female;1981;115515;8.1;9.2;1483;8.3;;;;;1925.0;10.7;76.0;71.8
32;Total male and female;1982;117264;8.2;9.2;1427;8.3;;;;;1729.0;10.0;76.1;72.0
33;Total male and female;1983;117761;8.2;9.1;1432;8.4;;;;;1731.0;10.1;76.3;72.3
34;Total male and female;1984;119812;8.3;9.0;1452;8.3;;;;;1761.0;10.0;76.3;72.5
35;Total male and female;1985;122704;8.5;9.0;1430;8.0;;;;;1760.0;9.8;76.4;72.8
36;Total male and female;1986;125307;8.6;9.1;1428;7.7;;;;;1801.0;9.7;76.4;73.0
37;Total male and female;1987;122199;8.3;8.7;1410;7.6;;;;;1770.0;9.4;76.8;73.0
38;Total male and female;1988;124163;8.4;8.6;1275;6.8;;;;;1717.0;9.1;77.0;73.4
39;Total male and female;1989;128905;8.7;8.8;1282;6.8;;;;;1824.0;9.6;76.8;73.7
40;Total male and female;1990;128824;8.6;8.6;1397;7.1;;;;;1915.0;9.6;77.0;73.7
41;Total male and female;1991;129958;8.6;8.5;1291;6.5;;;2029.0;10.2;1814.0;9.1;77.2;73.9
42;Total male and female;1992;129887;8.6;8.4;1235;6.3;;;2028.0;10.2;1810.0;9.1;77.4;74.0
43;Total male and female;1993;137795;9.0;8.8;1227;6.3;;;2060.0;10.5;1793.0;9.1;77.0;74.4
44;Total male and female;1994;133471;8.7;8.4;1107;5.7;;;1948.0;9.9;1684.0;8.6;77.5;74.4
45;Total male and female;1995;135675;8.8;8.4;1041;5.5;;;1810.0;9.5;1549.0;8.1;77.5;74.6
46;Total male and female;1996;137561;8.9;8.4;1087;5.7;801.0;4.2;1869.0;9.8;1595.0;8.4;77.6;74.7
47;Total male and female;1997;135783;8.7;8.1;969;5.0;706.0;3.7;1826.0;9.4;1532.0;7.9;77.9;74.9
48;Total male and female;1998;137482;8.8;8.1;1035;5.2;766.0;3.8;1877.0;9.4;1576.0;7.9;78.0;75.0
