ID;SIC;CaribbeanNetherlands;Periods;EmployedLabourForceInternatDef_1;EmployedLabourForceNationalDef_2
0;A-U All economic activities;Bonaire;2012;8837.0;8559.0
1;A-U All economic activities;St. Eustatius;2012;2099.0;1940.0
2;A-U All economic activities;Saba;2012;1045.0;971.0
3;A Agriculture, forestry and fishing;Bonaire;2012;55.0;55.0
4;A Agriculture, forestry and fishing;St. Eustatius;2012;26.0;19.0
5;A Agriculture, forestry and fishing;Saba;2012;20.0;17.0
6;B-E Industry (no construction), energy;Bonaire;2012;534.0;534.0
7;B-E Industry (no construction), energy;St. Eustatius;2012;99.0;87.0
8;B-E Industry (no construction), energy;Saba;2012;36.0;36.0
9;F Construction;Bonaire;2012;1364.0;1330.0
10;F Construction;St. Eustatius;2012;270.0;215.0
11;F Construction;Saba;2012;113.0;105.0
12;G-I Trade, transport, hotels, catering;Bonaire;2012;2710.0;2620.0
13;G-I Trade, transport, hotels, catering;St. Eustatius;2012;736.0;714.0
14;G-I Trade, transport, hotels, catering;Saba;2012;212.0;196.0
15;J Information and communication;Bonaire;2012;268.0;268.0
16;J Information and communication;St. Eustatius;2012;32.0;32.0
17;J Information and communication;Saba;2012;32.0;26.0
18;K Financial institutions;Bonaire;2012;224.0;211.0
19;K Financial institutions;St. Eustatius;2012;29.0;29.0
20;K Financial institutions;Saba;2012;23.0;23.0
21;L Renting, buying, selling real estate;Bonaire;2012;154.0;154.0
22;L Renting, buying, selling real estate;St. Eustatius;2012;;
23;L Renting, buying, selling real estate;Saba;2012;;
24;M-N Business services;Bonaire;2012;671.0;570.0
25;M-N Business services;St. Eustatius;2012;95.0;79.0
26;M-N Business services;Saba;2012;65.0;58.0
27;O-Q Government and care;Bonaire;2012;2270.0;2261.0
28;O-Q Government and care;St. Eustatius;2012;643.0;609.0
29;O-Q Government and care;Saba;2012;431.0;415.0
30;R-U Culture, recreation, other services;Bonaire;2012;442.0;425.0
31;R-U Culture, recreation, other services;St. Eustatius;2012;99.0;90.0
32;R-U Culture, recreation, other services;Saba;2012;91.0;75.0
33;Unknown;Bonaire;2012;145.0;130.0
34;Unknown;St. Eustatius;2012;61.0;61.0
35;Unknown;Saba;2012;18.0;18.0
