ID;Periods;GrossDomesticProduct_1;NetPrimaryIncomeFromRestOfWorld_2;Total_3;CompensationOfEmployees_4;PropertyIncome_5;SubsidiesReceivedFromRestOfWorld_6;Total_7;CompensationOfEmployees_8;PropertyIncome_9;TaxesOnProductionAndImports_10;GrossNationalIncome_11;ConsumptionOfFixedCapital_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;CurrentTaxesOnIncomeAndWealth_16;SocialContributions_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;Total_20;CurrentTaxesOnIncomeAndWealth_21;SocialContributions_22;SocialBenefitsInCash_23;OtherCurrentTransfers_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustmChangeInPensionEntitlements_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncome_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomePaidToRestOfWorld_37;NetCurrentTransfers_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersPaidToRestOfWorld_40;AdjustmChangeInPensionEntitlements_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersPaidToRestOfWorld_44;AcqLessDisposalsOfNonProdAssets_45;NationalNetLendingOrNetBorrowing_46;TotalFinancialTransactionsInAssets_47;TotalFinancialTransactionsLiabilities_48;StatisticalDiscrepancy_49
0;1995;329547;-1926;46006;1176;42761;2069;47932;1698;44620;1614;327621;52442;275179;-6264;4552;1070;419;36;3027;10816;909;431;666;8810;268915;236115;-23;32777;16530;2633;13614;21827;19626;2201;-1926;46006;47932;-6264;4552;10816;-23;-923;576;1499;0;12691;104185;89286;-2208
1;1996;344625;-52;51376;1220;48425;1731;51428;1664;48218;1546;344573;54428;290145;-6650;4890;1096;431;42;3321;11540;970;436;691;9443;283495;246044;-18;37433;19912;3412;14109;20829;18233;2596;-52;51376;51428;-6650;4890;11540;-18;-1330;884;2214;0;12779;126276;113979;482
2;1997;369046;-1340;61405;1295;58436;1674;62745;1829;59210;1706;367706;56672;311034;-7108;5544;1404;475;47;3618;12652;1086;461;738;10367;303926;261203;-24;42699;23343;4286;15070;23542;20721;2821;-1340;61405;62745;-7108;5544;12652;-24;-1108;816;1924;7;13969;203789;186850;-2970
3;1998;394295;-7080;63295;1306;60396;1593;70375;2057;66689;1629;387215;59572;327643;-6659;5663;1623;546;46;3448;12322;1142;493;769;9918;320984;279664;-38;41282;26566;4328;10388;24165;22586;1579;-7080;63295;70375;-6659;5663;12322;-38;-685;880;1565;26;9729;211185;200685;-771
4;1999;419459;-1944;75936;1135;73242;1559;77880;1777;74457;1646;417515;63554;353961;-6758;6059;2129;619;54;3257;12817;1134;508;812;10363;347203;299389;-51;47763;32576;1255;13932;22685;22565;120;-1944;75936;77880;-6758;6059;12817;-51;-790;1118;1908;12;13154;290801;278356;709
5;2000;452007;-2703;126848;1209;124014;1625;129551;1984;125970;1597;449304;69130;380174;-9038;7550;1719;663;64;5104;16588;1330;539;882;13837;371136;320406;-33;50697;32726;163;17808;29582;29103;479;-2703;126848;129551;-9038;7550;16588;-33;-795;1445;2240;-4;17009;256297;238805;-483
6;2001;481881;-12382;114747;1289;112141;1317;127129;2020;123602;1507;469499;74670;394829;-8533;6568;1862;648;200;3858;15101;1278;535;1014;12274;386296;340804;-25;45467;32036;2769;10662;31602;32146;-544;-12382;114747;127129;-8533;6568;15101;-25;48;1207;1159;22;10732;337408;324363;-2313
7;2002;501137;-14163;100743;1246;98050;1447;114906;2195;111346;1365;486974;79534;407440;-8324;5999;1833;679;217;3270;14323;1213;541;1117;11452;399116;361580;-42;37494;26123;-375;11746;34275;36061;-1786;-14163;100743;114906;-8324;5999;14323;-42;162;967;805;0;11908;320955;308982;-65
8;2003;512810;-6823;104192;1130;101434;1628;111015;2512;107095;1408;505987;82760;423227;-8220;6193;1910;799;207;3277;14413;1393;490;1269;11261;415007;373652;-45;41310;22876;-571;19005;34093;36800;-2707;-6823;104192;111015;-8220;6193;14413;-45;233;1261;1028;16;19254;296093;273599;-3240
9;2004;529286;-7863;128673;1132;125849;1692;136536;2838;132119;1579;521423;85625;435798;-9097;6856;2175;936;218;3527;15953;1590;418;1363;12582;426701;380762;-38;45901;21779;154;23968;40966;42317;-1351;-7863;128673;136536;-9097;6856;15953;-38;316;1272;956;41;24325;278350;257015;2990
