ID;SBISTransport;Jaren;Bedrijven_1;WerkzamePersonen_2;Bedrijfsopbrengsten_3;Totaal_4;Personeelskosten_5;OverigeKosten_6;Bedrijfsresultaat_7;ResultaatVoorBelastingen_8
0;6021 + 6023 Tram- en autobusbedrijven;1994;2.7;314.0;1826.0;90.6;52.0;38.6;9.4;0.2
1;6021 + 6023 Tram- en autobusbedrijven;1995;2.9;323.0;1881.0;93.1;51.2;41.9;6.9;0.8
2;6021 + 6023 Tram- en autobusbedrijven;1996;3.1;336.0;1988.0;92.5;49.5;43.0;7.5;0.6
3;6021 + 6023 Tram- en autobusbedrijven;1997;3.1;329.0;2022.0;93.4;49.7;43.7;6.6;-0.2
4;6021 + 6023 Tram- en autobusbedrijven;1998;2.9;334.0;2005.0;94.3;51.1;42.2;5.7;1.9
5;6021 + 6023 Tram- en autobusbedrijven;1999;2.8;331.0;2102.0;93.3;50.7;42.6;6.7;3.7
6;60211 Openbaar personenvervoer;1994;0.3;253.0;1539.0;89.3;53.5;35.8;10.7;0.0
7;60211 Openbaar personenvervoer;1995;0.3;252.0;1586.0;92.4;52.6;39.8;7.6;0.8
8;60211 Openbaar personenvervoer;1996;0.3;258.0;1678.0;91.3;50.4;40.9;8.7;0.7
9;60211 Openbaar personenvervoer;1997;0.3;249.0;1679.0;92.5;51.1;41.4;7.5;-0.4
10;60211 Openbaar personenvervoer;1998;0.3;255.0;1651.0;94.0;52.9;41.1;6.0;1.7
11;60211 Openbaar personenvervoer;1999;0.2;255.0;1744.0;92.7;52.4;40.3;7.3;3.9
12;60212 Geregeld besloten personenvervoer;1994;0.3;9.0;42.0;99.6;42.7;56.9;0.4;0.2
13;60212 Geregeld besloten personenvervoer;1995;0.3;10.0;44.0;93.2;41.5;51.7;6.8;5.3
14;60212 Geregeld besloten personenvervoer;1996;0.4;11.0;41.0;100.6;46.3;54.3;-0.6;-2.6
15;60212 Geregeld besloten personenvervoer;1997;0.4;13.0;49.0;101.4;50.8;50.7;-1.4;-1.2
16;60212 Geregeld besloten personenvervoer;1998;0.4;13.0;52.0;96.0;49.9;46.1;4.0;3.9
17;60212 Geregeld besloten personenvervoer;1999;0.5;12.0;52.0;95.5;47.6;48.0;4.5;3.8
18;6023 Ongeregeld besloten personenvervoer;1994;2.1;52.0;260.0;96.9;44.6;52.3;3.1;1.5
19;6023 Ongeregeld besloten personenvervoer;1995;2.3;60.0;266.0;97.8;44.0;53.8;2.2;0.0
20;6023 Ongeregeld besloten personenvervoer;1996;2.4;67.0;289.0;98.4;43.9;54.5;1.6;0.7
21;6023 Ongeregeld besloten personenvervoer;1997;2.4;68.0;294.0;97.4;41.6;55.8;2.6;0.8
22;6023 Ongeregeld besloten personenvervoer;1998;2.2;67.0;301.0;95.8;41.3;54.5;4.2;2.4
23;6023 Ongeregeld besloten personenvervoer;1999;2.2;64.0;285.0;95.8;44.5;51.3;4.2;3.1
24;6022 Taxibedrijven;1994;25.0;262.0;511.0;87.1;47.0;40.1;12.9;11.2
25;6022 Taxibedrijven;1995;26.0;285.0;551.0;84.9;45.7;39.2;15.1;13.5
26;6022 Taxibedrijven;1996;28.0;311.0;609.0;85.3;45.9;39.4;14.7;13.8
27;6022 Taxibedrijven;1997;27.0;328.0;659.0;86.0;46.7;39.3;14.0;13.1
28;6022 Taxibedrijven;1998;25.2;354.0;724.0;87.7;48.8;39.0;12.2;11.3
29;6022 Taxibedrijven;1999;26.4;369.0;835.0;88.2;48.6;39.6;11.8;10.5
30;6024 Goederenwegvervoerbedrijven, totaal;1994;74.0;960.0;6761.0;91.4;42.5;48.9;8.6;6.6
31;6024 Goederenwegvervoerbedrijven, totaal;1995;82.0;1036.0;7079.0;92.1;43.5;48.6;7.9;6.2
32;6024 Goederenwegvervoerbedrijven, totaal;1996;89.0;1107.0;7624.0;92.8;43.0;49.8;7.2;5.7
33;6024 Goederenwegvervoerbedrijven, totaal;1997;93.0;1155.0;7998.0;91.7;42.4;49.3;8.3;6.9
34;6024 Goederenwegvervoerbedrijven, totaal;1998;97.5;1229.0;8673.0;91.2;42.9;48.3;8.8;8.6
35;6024 Goederenwegvervoerbedrijven, totaal;1999;97.7;1264.0;9163.0;91.6;43.2;48.4;8.4;7.0
36;60241 Verhuisbedrijven;1994;3.0;40.0;227.0;90.7;50.7;40.0;9.3;7.1
37;60241 Verhuisbedrijven;1995;3.0;44.0;227.0;91.7;52.1;39.6;8.2;6.5
38;60241 Verhuisbedrijven;1996;3.0;44.0;227.0;91.2;50.8;40.4;8.8;7.2
39;60241 Verhuisbedrijven;1997;3.3;44.0;226.0;90.9;51.1;39.8;9.1;6.7
40;60241 Verhuisbedrijven;1998;3.2;43.0;223.0;88.6;51.9;36.7;11.4;10.1
