ID;Periods;TotalAccommodationEstablishments_1;TotalSleepingPlaces_2;AllCountries_3;Netherlands_4;ForeignCountries_5;AccommodationEstablishments_6;SleepingPlaces_7;AllCountries_8;GrowthComparedToLastYear_9;Netherlands_10;TotalForeignCountries_11;Germany_12;Belgium_13;Luxembourg_14;UnitedKingdom_15;Ireland_16;France_17;Switzerland_18;Italy_19;SpainAndPortugal_20;Denmark_21;Sweden_22;Norway_23;Finland_24;OtherEuropeanCountries_25;Canada_26;UnitedStates_27;OtherAmerica_28;Japan_29;OtherAsianCountries_30;AustraliaAndOceania_31;Africa_32;AccommodationEstablishments_33;TotalSleepingPlaces_34;OnCampSites_35;OnHolidayParks_36;InGroupAccommodation_37;TotalNightsSpent_38;Netherlands_39;ForeignCountries_40;TotalNightsSpent_41;GrowthComparedToLastYear_42;TotalNightsSpent_43;GrowthComparedToLastYear_44;TotalNightsSpent_45;GrowthComparedToLastYear_46
0;1977;6087;783;57257.0;47675.0;9582.0;3278;107;10492;;4480;6012;1644;234;16;802;29;385;167;146;158;85;205;66;;347;146;798;148;120;291;116;110;2809;677;437;178;62;49055.0;43937.0;5118.0;;;;;;
1;1978;5813;751;51428.0;43584.0;7845.0;3059;103;10231;-2.5;4522;5709;1492;217;16;884;35;361;16;150;142;84;176;72;;279;125;722;163;115;303;104;105;2754;648;405;178;65;43716.0;39926.0;3790.0;;;;;;
2;1979;5491;754;57646.0;48461.0;9185.0;2812;101;10708;4.7;4702;6006;1502;228;17;1010;38;395;169;173;149;95;193;72;;295;120;682;194;124;320;117;113;2679;653;430;168;55;49634.0;44720.0;4914.0;;;;;;
3;1980;5311;758;60090.0;50892.0;9198.0;2662;101;10826;1.1;4761;6065;1485;224;19;1056;40;436;160;197;154;91;196;80;;291;125;654;199;127;296;118;120;2649;657;431;169;57;52118.0;47171.0;4947.0;;;;;;
4;1981;5157;781;65027.0;55318.0;9709.0;2563;99;10715;-1.0;4616;6099;1439;226;20;1137;45;421;152;206;149;93;199;83;;291;114;668;200;129;304;88;133;2594;682;431;194;57;57085.0;51710.0;5375.0;;;;;;
5;1982;4998;760;68549.0;57837.0;10713.0;2403;101;10847;1.2;4562;6285;1406;199;14;1232;39;443;152;211;150;99;203;90;;283;119;820;161;149;309;91;117;2595;660;419;189;51;60430.0;54240.0;6189.0;;;;;;
6;1983;5020;792;68007.0;57680.0;10326.0;2446;102;10551;-2.7;4541;6010;1385;187;16;1117;31;345;147;192;133;101;173;78;53.0;235;151;875;121;133;346;81;144;2574;690;470;167;54;60159.0;54097.0;6062.0;;;;;;
7;1984;5321;832;72169.0;60444.0;11725.0;2323;102;11175;5.9;4637;6539;1417;198;18;1214;32;396;149;212;148;114;175;77;47.0;233;172;1071;116;127;386;96;149;2998;730;490;178;63;64095.0;57026.0;7069.0;;;;;;
8;1985;5328;873;65741.0;54143.0;11598.0;2421;108;11717;4.9;4970;6747;1376;206;17;1292;38;402;141;223;158;119;187;90;48.0;249;194;1076;133;153;373;122;178;2907;766;524;178;64;57440.0;50589.0;6851.0;;;;;;
9;1986;5238;886;67911.0;56318.0;11593.0;2344;107;11756;0.3;5146;6611;1469;226;17;1243;40;417;151;252;178;125;186;102;51.0;250;153;775;146;145;399;108;178;2894;779;540;176;63;59742.0;52690.0;7053.0;;;;;;
10;1987;5209;888;;;;2319;110;11621;-1.1;5100;6521;1399;231;16;1157;34;428;152;292;192;129;186;103;53.0;256;163;777;129;138;410;103;172;2890;778;540;176;63;;;;;;;;;
11;1988;3139;788;46921.0;34275.0;12646.0;1531;105;12233;;5471;6762;1474;246;21;1230;41;445;170;362;240;140;194;100;57.0;257;175;756;130;160;357;91;117;1608;683;517;117;48;34689.0;28814.0;5875.0;17059.0;;14836.0;;2794.0;
12;1989;3138;783;51120.0;36761.0;14359.0;1544;109;13269;8.5;5917;7352;1539;269;23;1400;46;476;191;417;268;149;220;116;68.0;290;186;845;136;169;329;105;108;1594;673;500;124;49;37851.0;30844.0;7008.0;16565.0;-2.9;15565.0;4.9;2960.0;5.9
13;1990;3130;779;55827.0;39368.0;16459.0;1546;111;14498;9.3;6396;8102;1657;294;30;1519;56;546;206;610;319;141;218;91;73.0;369;186;914;141;186;331;112;106;1584;668;494;124;50;41329.0;32973.0;8356.0;20395.0;23.1;17759.0;14.1;3175.0;7.3
14;1991;3099;785;56346.0;39141.0;17206.0;1531;113;14752;1.8;6759;7993;1858;301;27;1519;60;496;202;539;331;128;229;93;69.0;426;134;765;121;174;325;87;106;1568;672;500;123;50;41595.0;32382.0;9213.0;20482.0;0.4;18076.0;1.8;3037.0;-4.3
15;1992;3041;781;58655.0;40556.0;18099.0;1525;116;15285;3.6;6789;8496;1935;322;29;1633;55;550;200;517;312;129;235;101;56.0;493;132;861;144;221;356;113;102;1516;665;496;121;48;43371.0;33767.0;9603.0;20320.0;-0.8;19943.0;10.3;3108.0;2.3
16;1993;3159;795;56168.0;38991.0;17178.0;1698;133;15613;-7.8;7640;7973;2076;352;27;1416;59;470;183;408;264;119;181;90;44.0;496;115;797;138;179;382;86;104;1461;662;486;129;47;40555.0;31351.0;9205.0;19939.0;-1.9;17604.0;-11.7;3013.0;-3.1
17;1994;3162;800;56172.0;38180.0;17992.0;1726;138;16645;6.6;7912;8734;2153;388;31;1547;62;530;202;439;300;133;181;90;45.0;558;124;925;169;214;444;108;102;1437;662;488;129;45;39527.0;30268.0;9259.0;19050.0;-4.5;17579.0;-0.1;2897.0;-3.8
18;1995;3238;807;61916.0;42179.0;19737.0;1749;143;18380;10.4;8800;9581;2440;455;43;1636;70;549;208;384;299;135;186;97;55.0;670;140;1024;189;233;549;114;117;1488;664;474;143;47;43536.0;33381.0;10155.0;21040.0;10.4;19246.0;9.5;3250.0;12.2
19;1996;3304;813;61375.0;42335.0;19041.0;1732;143;18995;3.3;9074;9922;2311;475;32;1796;81;638;227;434;307;139;183;91;56.0;734;136;1013;173;298;587;126;121;1571;671;481;142;49;42381.0;33261.0;9120.0;20794.0;-1.2;18310.0;-4.9;3277.0;0.8
20;1997;3144;777;64660.0;43238.0;21422.0;1725;144;21996;;10427;11569;2328;529;32;2213;93;635;216;538;408;143;179;100;61.0;1043;132;1338;203;366;705;163;144;1419;633;439;147;46;42664.0;32811.0;9854.0;21155.0;1.7;17557.0;-4.1;3953.0;20.6
21;1998;6288;1125;76797.0;51828.0;24969.0;2786;169;27618;;12924;14694;2815;696;44;2901;133;729;246;631;484;194;231;135;72.0;1608;190;1712;313;376;758;237;189;3502;956;719;179;58;49178.0;38905.0;10273.0;24709.0;;20507.0;;3962.0;
22;1999;6421;1135;82964.0;55531.0;27433.0;2826;170;28986;5.0;13768;15218;2863;713;41;3241;143;759;271;603;525;169;236;128;73.0;1548;192;1896;270;379;687;239;242;3595;965;722;185;58;53978.0;41762.0;12216.0;27305.0;10.5;22839.0;11.4;3834.0;-3.2
23;2000;6444;1139;82571.0;55310.0;27261.0;2835;173;29722;2.5;14027;15695;2960;741;49;3447;157;788;257;606;537;200;243;161;80.0;1462;193;1964;244;365;765;234;242;3609;966;726;183;57;52849.0;41283.0;11566.0;28204.0;3.3;20934.0;-8.3;3711.0;-3.2
24;2001;6509;1143;80475.0;54973.0;25502.0;2858;174;28563;-3.9;13608;14955;2661;715;43;3656;172;718;213;581;536;155;216;141;77.0;1235;191;1942;239;338;713;197;288;3651;968;721;185;62;51912.0;41365.0;10547.0;27866.0;-1.2;20419.0;-2.5;3627.0;-2.3
25;2002;6662;1151;82371.0;56004.0;26368.0;2933;177;28515;-0.2;13593;14922;2802;767;67;3489;197;793;214;591;579;167;199;131;82.0;1003;196;1700;232;341;820;194;358;3729;974;724;194;56;53857.0;42411.0;11446.0;28171.0;1.1;21468.0;5.1;4217.0;16.3
26;2003;6703;1151;81206.0;55864.0;25342.0;2908;180;27182;-4.7;13384;13798;2844;820;72;2998;174;699;200;589;573;178;179;119;75.0;975;174;1540;180;258;725;162;268;3795;971;717;197;57;54024.0;42481.0;11543.0;26796.0;-4.9;23146.0;7.8;4081.0;-3.2
27;2004;7080;1176;80903.0;55518.0;25385.0;3129;190;28377;4.4;13761;14617;2707;821;64;3160;180;774;222;673;646;216;190;145;85.0;1079;214;1646;222;279;849;217;230;3951;986;723;205;59;52526.0;41758.0;10768.0;25934.0;-3.2;22509.0;-2.8;4083.0;0.0
28;2005;7160;1190;80161.0;54951.0;25210.0;3135;192;29519;4.0;14375;15143;2835;957;54;3193;199;811;227;678;693;242;178;147;85.0;1238;232;1672;223;271;837;192;181;4025;998;728;212;57;50642.0;40575.0;10067.0;24468.0;-5.7;22117.0;-1.7;4057.0;-0.6
29;2006;7154;1187;83943.0;57057.0;26887.0;3099;192;31759;7.6;15783;15976;2883;1014;61;3282;201;891;271;706;849;282;186;159;86.0;1301;256;1812;274;251;808;232;173;4055;995;724;215;57;52184.0;41273.0;10910.0;26813.0;9.6;21250.0;-3.9;4120.0;1.6
30;2007;7268;1212;88267.0;60315.0;27952.0;3196;200;34159;7.6;17831;16328;2977;1125;76;3211;208;870;287;707;917;262;199;163;91.0;1507;235;1709;303;220;862;225;175;4072;1012;736;220;56;54109.0;42484.0;11624.0;29283.0;9.2;20823.0;-2.0;4002.0;-2.9
31;2008;7096;1203;84452.0;59185.0;25268.0;3180;199;32619;-4.5;17657;14961;2739;1124;62;2838;209;851;253;683;806;241;180;163;91.0;1485;222;1404;284;196;777;275;147;3916;1004;736;216;53;51834.0;41528.0;10306.0;29174.0;-0.4;18811.0;-9.7;3848.0;-3.8
32;2009;7051;1204;84516.0;59502.0;25014.0;3151;204;31481;-3.5;17052;14429;2752;1177;60;2400;197;875;266;679;774;215;163;162;79.0;1448;193;1347;286;162;828;204;161;3900;1001;723;227;51;53035.0;42450.0;10585.0;29051.0;-0.4;20085.0;6.8;3899.0;1.3
33;2010;6954;1203;84873.0;58073.0;26800.0;3172;212;33708;7.1;17533;16175;3029;1301;81;2655;189;1020;300;822;937;257;190;177;91.0;1365;241;1572;373;197;912;272;194;3782;991;716;224;50;51166.0;40541.0;10625.0;27994.0;-3.6;19297.0;-3.9;3874.0;-0.6
