ID;GemeentelijkeHoofdfuncties;Lasten_1;Baten_2;Saldo_3
0;1;24.9;24.0;0.9
1;2;1370.8;1361.6;9.3
2;3;;;
3;4;;;
4;5;;;
5;6;;;
6;0;1395.8;1385.6;10.2
7;Brandweer en rampenbestrijding;336.0;339.0;-3.1
8;Openbare orde en veiligheid;0.8;0.8;0.0
9;Totaal openbare orde en veiligheid;336.7;339.8;-3.1
10;Wegen, straten en pleinen;497.3;494.4;2.9
11;Verkeersmaatregelen te land;377.7;379.2;-1.4
12;Openbaar vervoer;854.6;851.0;3.6
13;Parkeren;;;
14;Baten parkeerbelasting;;;
15;Zeehavens;7.8;7.8;0.0
16;Binnenhavens en waterwegen;0.2;0.2;0.0
17;Veerdiensten;;;
18;Luchtvaart;;;
19;Waterkering, afwatering en landaanw.;;;
20;Totaal verkeer, vervoer en waterstaat;1737.7;1732.6;5.1
21;Handel en ambacht;176.6;175.4;1.2
22;Industrie;38.1;36.0;2.1
23;Nutsbedrijven;15.0;15.0;0.0
24;Agrarische productie en ontginning;5.1;4.4;0.7
25;Overige agrar. zaken, jacht en visserij;0.0;0.1;0.0
26;Totaal economische zaken;234.9;230.9;4.0
27;Openb. basisonderwijs, ex. onderw.huisv.;2.2;2.2;0.0
28;Openb. basisonderwijs, onderw.huisv.;;;
29;Bijz. onderwijs, excl. onderwijshuisv.;;;
30;Bijz. onderwijs, onderwijshuisvesting;;;
31;Openb. (vrtg.) spec. onderw., ex. huisv.;5.7;5.7;0.0
32;Openb. (vrtg.) spec. onderw., huisv.;;;
33;Bijz. (vrtg.) spec. onderw., ex. huisv.;;;
34;Bijz. (vrtg.) spec. onderw., huisv.;;;
35;Openb.voortg. onderwijs, ex. huisv.;128.4;128.5;-0.1
36;Openb.voortg. onderwijs, huisv.;;;
37;Bijz. voortg. onderwijs, ex huisv.;;;
38;Bijz. voortg. onderwijs, huisv.;;;
39;Gemeenschapp. b. en l. v.h. onderwijs;15.6;14.6;1.0
40;Volwasseneneducatie;19.5;19.4;0.1
41;Totaal onderwijs;171.4;170.4;1.0
42;Openbaar bibliotheekwerk;10.7;10.2;0.4
43;Vormings- en ontwikkelingswerk;25.3;26.7;-1.4
44;Sport;0.4;0.4;0.0
45;Groene sportvelden en -terreinen;;;
46;Kunst;6.4;6.4;0.0
47;Oudheidkunde/musea;18.4;16.9;1.5
48;Natuurbescherming;;;
49;Openbaar groen en openluchtrecreatie;75.9;74.5;1.4
50;Overige recreatieve voorzieningen;;;
51;Totaal cultuur en recreatie;137.0;135.1;1.9
52;Bijstandsverlening;56.1;57.0;-0.9
53;Werkgelegenheid;2051.3;2052.9;-1.6
54;Inkomensvoorzieningen vanuit het Rijk;;;
55;Ov. soc. zekerheidsregelingen v/h Rijk;;;
56;(Gemeentelijk) minimabeleid;;;
57;Maatschapp. begeleiding en advies;226.1;222.4;3.7
58;Vreemdelingen;;;
59;Sociaal-cultureel werk;6.2;6.2;0.0
60;Tehuizen;;;
61;Kinderdagopvang;1.2;1.2;0.0
62;Dagopvang gehandicapten;;;
63;Voorzieningen gehandicapten;;;
64;Totaal soc. voorz. en maatsch. dnstverl.;2340.9;2339.7;1.2
65;Ambulancevervoer;48.9;44.2;4.7
66;Verpleeginrichtingen;;;
67;Openbare gezondheidszorg;367.6;364.1;3.5
68;Jeugdgezondheidszorg, uniform deel;;;
69;Jeugdgezondheidszorg, maatwerkdeel;;;
70;Afvalverwijdering en -verwerking;348.4;351.9;-3.5
71;Riolering en waterzuivering;2.8;2.8;0.0
72;Milieubeheer;141.5;139.1;2.5
73;Lijkbezorging;0.7;0.7;0.0
74;Baten reinigingsrecht. en afvalst. heff.;;;
75;Baten rioolrechten;;;
76;Totaal volksgezondheid en milieu;909.9;902.7;7.2
77;Ruimtelijke ordening;25.1;14.5;10.5
78;Woningexploitatie/woningbouw;66.0;69.5;-3.5
79;Stads- en dorpsvernieuwing;1.3;0.8;0.5
80;Overige volkshuisvesting;43.7;43.6;0.2
81;Bouwvergunningen;;;
82;Bouwgrondexploitatie;142.5;142.5;0.0
83;Totaal ruimtelijke ord. en volkshuisv.;278.7;270.9;7.8
84;Geldleningen en uitzettingen < 1 jaar;3.5;3.9;-0.4
85;Overige financiële middelen;1.1;10.3;-9.2
86;Geldleningen en uitzettingen >= 1 jaar;;;
87;Algemene uitkering gemeentefonds;0.9;15.3;-14.4
88;Algemene baten en lasten;4.8;22.8;-18.0
89;Uitvoering wet WOZ;;;
90;Baten onroerende zaakbelasting gebr.;;;
91;Baten onroerende zaakbelasting eig.;;;
92;Baten roer. woon- en bedrijfsr. belast.;;;
93;Baten baatbelasting;;;
94;Baten forensenbelasting;;;
95;Baten toeristenbelasting;;;
96;Baten hondenbelasting;;;
97;Baten reclamebelasting;;;
98;Baten precariobelasting;;;
99;Lasten heffing en invorder. gem. belast.;;;
100;Lastenverlichting Rijk;;;
101;Saldo van kostenplaatsen;;;
102;Saldo vd. rek. bat. en last. voor best.;;;
103;Tot. financ. en alg. dekk. m. voor best.;10.3;52.3;-42.0
104;Totaal functies voor best.;7553.3;7560.1;-6.8
105;Mutaties reserves, h-functie 0-9;14.9;7.6;7.3
106;Saldo vd. rek. bat. en last. na best.;0.9;1.4;-0.5
107;Tot. financ. en alg. dekk. m. na best.;26.1;61.3;-35.2
108;Totaal functies na best.;7569.1;7569.1;0.0
109;Totaal belastingen;;;
110;Totaal retributies;;;
111;Totaal gemeentelijke heffingen;;;
