ID;Regelgeving;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;TotaalUitspraken_3;KennelijkOngegrond_4;KennelijkGegrond_5;OverigeUitspraken_6;Ingesteld_7;IngetrokkenNietOntvankelijkOngegrond_8;Gegrond_9;TotaalUitspraken_10;Ongegrond_11;Gegrond_12;OverigeUitspraken_13;TotaalUitspraken_14;Afgewezen_15;GeheelOfDeelsToegewezen_16;OverigeUitspraken_17;IngetrokkenVerwezenZaken_18;AanHetEindVanDePeriodeAanhangig_19
0;Totaal alle regelgeving;2000;29599;37579;3461;374;657;2430;732;624;166;20360;12283;7027;1050;5237;3630;1158;449;9324;28907
1;Totaal alle regelgeving;2001;28907;38569;3908;432;734;2742;839;631;163;20676;12920;6602;1154;5189;3657;1044;488;10393;27520
2;Totaal alle regelgeving;2002;27520;42657;4222;694;777;2751;939;753;183;20201;12993;6191;1017;5715;3992;1125;598;10875;29359
3;Totaal alle regelgeving;2003;29359;45307;4298;693;727;2878;862;655;187;22732;14635;6699;1398;6050;4172;1133;745;11475;30325
4;Totaal alle regelgeving;2004;30326;48308;4164;720;711;2733;779;612;159;25312;15591;8142;1579;5901;4008;1238;655;12462;30968
5;Totaal alle regelgeving;2005;30967;71994;5957;762;701;4494;1236;817;250;27835;16556;9552;1727;6298;4151;1363;784;19263;44032
6;Totaal alle regelgeving;2006;44032;81141;8391;1047;859;6485;1455;1000;256;34624;20152;12549;1923;6230;4258;1286;686;27120;49271
7;Totaal alle regelgeving;2007;49271;69258;7590;901;726;5963;1474;1263;327;35850;20341;13288;2221;5558;3736;1157;665;23316;46449
8;Totaal alle regelgeving;2008;46449;70162;6248;651;665;4932;1139;926;268;34791;20543;11908;2340;5227;3536;1101;590;23030;47532
9;Totaal alle regelgeving;2009;47532;68224;6180;685;727;4768;899;801;206;32248;19462;10681;2105;5074;3463;1079;532;23200;49163
10;Totaal alle regelgeving;2010;49162;67542;6249;654;467;5128;1156;856;201;36668;22977;11225;2466;4690;3235;878;577;21994;47411
11;Totaal alle regelgeving;2011;47411;70914;6280;710;737;4833;1378;1021;380;37884;23071;12181;2632;4654;3227;910;517;24558;45314
12;Totaal alle regelgeving;2012;45315;74227;5603;690;342;4571;1114;916;221;36029;22109;11613;2307;4743;3293;972;478;24792;48592
13;Totaal alle regelgeving;2013;48605;75519;5878;592;471;4815;1205;950;198;35593;22901;10280;2412;5061;3616;1001;444;27927;49930
14;Totaal alle regelgeving;2014;49928;78997;6801;545;253;6003;1280;1049;214;38760;24658;11112;2990;5261;3919;904;438;26675;51663
15;Totaal alle regelgeving;2015;51715;74960;7199;833;440;5926;1675;1235;324;38727;25040;10911;2776;5061;3748;847;466;25232;50902
16;Totaal alle regelgeving;2016;50918;79915;6942;909;402;5631;1664;1115;451;38414;25697;10083;2634;4747;3469;795;483;26520;54765
17;Totaal ambtenarenzaken;2000;2902;3088;252;38;39;175;56;43;15;2047;1238;704;105;248;190;47;11;1132;2324
18;Totaal ambtenarenzaken;2001;2324;2798;212;11;52;149;35;40;4;1506;897;523;86;246;179;54;13;1097;2056
19;Totaal ambtenarenzaken;2002;2056;2803;177;29;33;115;68;56;10;1444;849;524;71;259;181;67;11;945;2047
20;Totaal ambtenarenzaken;2003;2047;3060;196;15;56;125;45;33;14;1413;841;490;82;355;219;126;10;911;2244
21;Totaal ambtenarenzaken;2004;2244;3710;229;23;72;134;57;42;10;1702;921;645;136;392;276;97;19;1122;2524
22;Totaal ambtenarenzaken;2005;2524;3448;236;22;94;120;44;26;11;1906;1115;685;106;382;239;111;32;1107;2359
23;Totaal ambtenarenzaken;2006;2359;3256;233;16;106;111;25;29;12;1806;1001;704;101;359;250;85;24;1033;2180
24;Totaal ambtenarenzaken;2007;2180;3033;193;13;45;135;20;17;9;1602;946;572;84;324;194;101;29;1048;2049
25;Totaal ambtenarenzaken;2008;2049;2547;141;9;63;69;25;17;6;1380;774;514;92;263;164;81;18;935;1885
26;Totaal ambtenarenzaken;2009;1885;2466;164;7;90;67;40;29;4;1176;633;453;90;275;192;76;7;817;1930
27;Totaal ambtenarenzaken;2010;1930;2558;114;7;37;70;16;18;3;1255;733;449;73;245;186;53;6;802;2070
28;Totaal ambtenarenzaken;2011;2070;2641;157;12;76;69;31;17;6;1542;907;543;92;264;182;62;20;783;1979
29;Totaal ambtenarenzaken;2012;1979;3016;114;4;31;79;21;15;12;1505;947;489;69;249;187;52;10;950;2185
30;Totaal ambtenarenzaken;2013;2189;2237;103;3;22;78;22;11;12;1566;998;497;71;241;162;71;8;809;1718
31;Totaal ambtenarenzaken;2014;1718;5466;86;6;17;63;17;15;5;1251;831;358;62;241;199;27;15;1010;4598
32;Totaal ambtenarenzaken;2015;4604;2591;154;13;63;78;27;16;8;2863;2289;507;67;147;115;21;11;1411;2631
33;Totaal ambtenarenzaken;2016;2630;2913;77;6;22;49;7;7;5;2395;1254;1073;68;136;102;22;12;645;2290
34;Ambtenarenwet;2000;2584;2549;209;31;35;143;44;33;13;1779;1059;626;94;225;173;41;11;1023;1908
35;Ambtenarenwet;2001;1908;2424;162;5;51;106;30;36;3;1285;753;464;68;220;159;50;11;940;1719
36;Ambtenarenwet;2002;1719;2492;146;20;28;98;38;29;7;1228;695;470;63;239;164;65;10;843;1765
37;Ambtenarenwet;2003;1765;2569;161;10;50;101;36;26;12;1186;717;399;70;269;193;67;9;794;1934
