ID;Omvang;EconomischeActiviteit;Perioden;AantalOndernemingen_1;BalanstotaalEindstand_2;ImmaterieleVasteActiva_3;MaterieleVasteActiva_4;Deelnemingen_5;LanglVorderingenEnBeleggingen_6;Voorraden_7;KortlVorderingenEnBeleggingen_8;LiquideMiddelen_9;EigenVermogen_10;BelangVanDerden_11;EgalRekInvestPremiesSubsidiesED_12;Voorzieningen_13;LanglopendeSchuldenRentedragend_14;KortlopendeSchulden_15;NettoOmzetEnOvBedrijfsopbrengsten_16;LonenSalSocialeEnPensioenlasten_17;AfschrijvingenMinusInvesteringspremies_18;KostenVanDeOmzet_19;Bedrijfsresultaat_20;OverigeBedrijfskostenSaldo_21;ResultaatUitDeelnemingen_22;Rentebaten_23;Rentelasten_24;OverigeFinancieleResultaten_25;BuitengewoneBatenEnLastenSaldo_26;BuitengewoneBaten_27;BuitengewoneLasten_28;ResultaatVoorBelastingen_29;Vennootschapsbelasting_30;AandeelVanDerden_31;Nettoresultaat_32;Winstuitkeringen_33;ToevoegingOnttrekkingAanDeReserves_34
0;Alle ondernemingen;A.Alle ondernemingen;1992;119692.0;416955.5;4868.0;140990.4;71217.3;26410.1;45500.1;97097.5;30872.3;146801.0;5821.3;4183.6;29376.0;87777.8;142994.8;483132.4;-82304.5;-19145.8;-357248.1;24432.9;-262.2;;;;;-737.4;;;23433.3;-6328.7;-1464.9;15639.7;10455.4;5184.3
1;Alle ondernemingen;A.Alle ondernemingen;1993;127012.0;423807.8;5365.9;142543.2;75375.2;25808.9;44318.7;98235.9;32161.3;153039.2;6248.7;3976.2;31324.4;90765.0;138455.0;483468.6;-84489.3;-19857.0;-356447.7;22674.6;-768.9;;;;;253.8;;;22159.5;-5963.0;-1351.9;14844.6;9467.7;5376.9
2;Alle ondernemingen;A.Alle ondernemingen;1994;135457.0;438208.3;5867.6;144070.4;79258.7;27863.0;45050.3;101118.3;34981.6;162580.9;6854.3;3960.4;34019.3;91260.5;139533.9;501326.5;-85508.4;-19932.2;-369228.2;26657.8;4417.7;;;;;-1172.7;4042.8;-5215.5;29902.4;-6986.8;-1466.9;21448.7;10880.5;10568.2
3;Alle ondernemingen;A.Alle ondernemingen;1995;141734.0;459466.4;7505.7;147720.6;85838.8;29406.6;46970.2;105113.2;36912.6;171498.3;6980.8;4346.7;36019.9;92100.3;148521.1;528197.7;-86444.2;-20389.3;-390664.3;30699.9;5004.7;10710.2;4208.9;-9794.1;-120.2;-85.0;4353.5;-4438.5;35619.1;-8699.0;-1849.4;25070.8;12126.5;12944.3
4;Alle ondernemingen;A.Alle ondernemingen;1996;151262.0;495203.1;9112.2;153482.9;97118.4;34377.7;47064.4;115605.1;38444.1;188544.7;7121.7;6501.5;37112.5;97372.0;158551.4;562907.5;-90544.4;-21087.2;-418404.6;32871.4;7075.6;11851.0;4101.5;-9429.2;552.2;999.4;4885.6;-3886.2;40945.9;-9933.9;-2549.7;28462.4;13288.9;15173.5
5;Alle ondernemingen;A.Alle ondernemingen;1997;160677.0;540312.5;10751.0;157621.0;107456.8;42629.5;50481.6;131012.1;40362.2;208894.9;8714.1;6763.3;38751.0;103853.3;173336.9;619152.0;-97311.9;-22139.6;-463661.3;36039.2;10285.0;14736.8;4549.4;-9635.1;633.9;4758.9;8812.2;-4053.3;51082.9;-10843.5;-2910.7;37328.7;15200.3;22128.4
6;Alle ondernemingen;A.Alle ondernemingen;1998;167609.0;575229.7;15726.0;164573.1;101172.3;52364.2;52587.0;140607.9;48200.9;214707.1;8297.5;7278.7;41461.3;112727.4;190758.6;648260.7;-104543.1;-23294.2;-483349.0;37074.3;6236.0;10785.2;5461.2;-10721.5;711.2;8625.4;13092.2;-4466.8;51935.5;-10641.2;-2314.3;38980.0;21955.2;17024.8
7;Alle ondernemingen;A.Alle ondernemingen;1999;170314.0;658939.7;19417.8;175952.7;121843.5;63843.3;55758.2;168247.3;53878.6;249351.4;10663.1;7677.8;46041.9;133201.1;212005.5;685778.2;-113342.2;-25799.7;-509004.9;37631.4;11597.5;15720.7;6467.9;-11668.7;1077.6;7143.9;13598.1;-6454.2;56372.8;-11353.8;-2986.8;42032.3;18956.5;23075.8
8;Alle ondernemingen;A.Alle ondernemingen;2000;174600.0;790135.0;27636.8;184875.5;153940.6;89058.9;59951.4;215513.4;59159.9;295186.3;14266.2;8490.7;46250.7;171714.1;254227.9;767065.1;-116831.3;-27294.2;-578342.3;44597.3;15219.9;17804.0;9894.8;-15179.1;2700.2;16614.9;24505.7;-7890.8;76432.3;-12475.7;-4208.1;59748.5;22789.9;36958.6
9;Alle ondernemingen;A.Alle ondernemingen;2001;195652.0;865777.7;35795.1;195466.0;150386.4;104429.1;64160.9;243128.1;72412.7;314443.1;15373.0;9456.6;49591.8;199181.5;277732.0;829745.5;-129040.2;-32270.4;-629924.6;38510.3;-10937.0;-3824.9;13945.9;-20625.5;-432.5;9251.2;18447.9;-9196.7;36824.2;-12267.2;-2664.7;21892.3;24224.6;-2332.3
