ID;Bedrijfsklassen;Perioden;TotaalAanvoerAfvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;NietMetaalafval_4;DierlijkPlantaardigAfval_5;GemengdAfval_6;Slib_7;MineralenSteenachtigAfval_8;OverigNietChemischAfval_9;ChemischAfval_10;InEindproductVerwerkt_11;Reststoffen_12;Hergebruik_13;Verbranden_14;Storten_15;ScheidenAchteraf_16;Onbekend_17
0;37 Voorbereiding tot recycling;2004;15684;15588;716;2750;189;331;798;10096;708;95;14818;867;210;46;412;152;47
1;37 Voorbereiding tot recycling;2006;16800;16582;1275;1337;299;442;731;11972;525;218;15755;1041;121;48;494;206;172
2;371 Voorbereiding tot recycling van ..;2004;1352;1352;624;1;0;20;0;0;707;0;1145;208;28;6;126;1;47
3;371 Voorbereiding tot recycling van ..;2006;1636;1636;1100;4;0;28;0;4;499;0;1394;279;3;5;100;30;141
4;372 Voorbereiding tot recycling van ..;2004;14332;14236;92;2749;189;311;798;10096;1;95;13672;660;182;40;286;151;0
5;372 Voorbereiding tot recycling van ..;2006;15163;14947;175;1333;300;415;730;11968;25;217;14360;763;118;43;393;176;33
