ID;ProductenPRODCOM;Perioden;Verkoopwaarde_1;Hoeveelheid_2;EenheidVerkochtProduct_3
0;07 Metaalertsen;2008;;;                                nvt
1;07 Metaalertsen;2009;;;                                nvt
2;07 Metaalertsen;2010;;;                                nvt
3;07 Metaalertsen;2011;;;                                nvt
4;07 Metaalertsen;2012;0.0;;                                nvt
5;07 Metaalertsen;2013;0.0;;                                nvt
6;07 Metaalertsen;2014;0.0;;                                nvt
7;07 Metaalertsen;2015;0.0;;                                nvt
8;07 Metaalertsen;2016;0.0;;                                nvt
9;07 Metaalertsen;2017;0.0;;                                nvt
10;07 Metaalertsen;2018;;;                                nvt
11;07 Metaalertsen;2019;;;                                nvt
12;07 Metaalertsen;2020;;;                                nvt
13;071 IJzererts;2008;0.0;;                                nvt
14;071 IJzererts;2009;0.0;;                                nvt
15;071 IJzererts;2010;0.0;;                                nvt
16;071 IJzererts;2011;0.0;;                                nvt
17;071 IJzererts;2012;0.0;;                                nvt
18;071 IJzererts;2013;0.0;;                                nvt
19;071 IJzererts;2014;0.0;;                                nvt
20;071 IJzererts;2015;0.0;;                                nvt
21;071 IJzererts;2016;0.0;;                                nvt
22;071 IJzererts;2017;0.0;;                                nvt
23;071 IJzererts;2018;0.0;;                                nvt
24;071 IJzererts;2019;;;                                nvt
25;071 IJzererts;2020;;;                                nvt
26;07101000 IJzererts en concentraten da...;2008;0.0;0.0;                            mln. kg
27;07101000 IJzererts en concentraten da...;2009;0.0;0.0;                            mln. kg
28;07101000 IJzererts en concentraten da...;2010;0.0;0.0;                            mln. kg
29;07101000 IJzererts en concentraten da...;2011;0.0;0.0;                            mln. kg
30;07101000 IJzererts en concentraten da...;2012;0.0;0.0;                            mln. kg
31;07101000 IJzererts en concentraten da...;2013;0.0;0.0;                            mln. kg
32;07101000 IJzererts en concentraten da...;2014;0.0;0.0;                            mln. kg
33;07101000 IJzererts en concentraten da...;2015;0.0;0.0;                            mln. kg
34;07101000 IJzererts en concentraten da...;2016;0.0;0.0;                            mln. kg
35;07101000 IJzererts en concentraten da...;2017;0.0;0.0;                            mln. kg
36;07101000 IJzererts en concentraten da...;2018;0.0;0.0;                            mln. kg
37;07101000 IJzererts en concentraten da...;2019;;;                                   
38;07101000 IJzererts en concentraten da...;2020;;;                                   
39;07101010 IJzererts en concentraten da...;2008;;;                                   
40;07101010 IJzererts en concentraten da...;2009;;;                                   
41;07101010 IJzererts en concentraten da...;2010;;;                                   
42;07101010 IJzererts en concentraten da...;2011;;;                                   
43;07101010 IJzererts en concentraten da...;2012;;;                                   
44;07101010 IJzererts en concentraten da...;2013;;;                                   
45;07101010 IJzererts en concentraten da...;2014;;;                                   
46;07101010 IJzererts en concentraten da...;2015;;;                                   
47;07101010 IJzererts en concentraten da...;2016;;;                                   
48;07101010 IJzererts en concentraten da...;2017;;;                                   
49;07101010 IJzererts en concentraten da...;2018;;;                                   
50;07101010 IJzererts en concentraten da...;2019;;;                            mln. kg
51;07101010 IJzererts en concentraten da...;2020;;;                            mln. kg
52;07101020 IJzererts en concentraten da...;2008;;;                                   
53;07101020 IJzererts en concentraten da...;2009;;;                                   
54;07101020 IJzererts en concentraten da...;2010;;;                                   
55;07101020 IJzererts en concentraten da...;2011;;;                                   
56;07101020 IJzererts en concentraten da...;2012;;;                                   
57;07101020 IJzererts en concentraten da...;2013;;;                                   
58;07101020 IJzererts en concentraten da...;2014;;;                                   
59;07101020 IJzererts en concentraten da...;2015;;;                                   
60;07101020 IJzererts en concentraten da...;2016;;;                                   
61;07101020 IJzererts en concentraten da...;2017;;;                                   
62;07101020 IJzererts en concentraten da...;2018;;;                                   
63;07101020 IJzererts en concentraten da...;2019;0.0;0.0;                            mln. kg
64;07101020 IJzererts en concentraten da...;2020;0.0;0.0;                            mln. kg
65;0729 Andere non-ferrometaalertsen en...;2008;;;                                nvt
66;0729 Andere non-ferrometaalertsen en...;2009;;;                                nvt
67;0729 Andere non-ferrometaalertsen en...;2010;;;                                nvt
68;0729 Andere non-ferrometaalertsen en...;2011;;;                                nvt
69;0729 Andere non-ferrometaalertsen en...;2012;0.0;;                                nvt
70;0729 Andere non-ferrometaalertsen en...;2013;0.0;;                                nvt
71;0729 Andere non-ferrometaalertsen en...;2014;0.0;;                                nvt
72;0729 Andere non-ferrometaalertsen en...;2015;0.0;;                                nvt
73;0729 Andere non-ferrometaalertsen en...;2016;0.0;;                                nvt
74;0729 Andere non-ferrometaalertsen en...;2017;0.0;;                                nvt
75;0729 Andere non-ferrometaalertsen en...;2018;;;                                nvt
76;0729 Andere non-ferrometaalertsen en...;2019;;;                                nvt
77;0729 Andere non-ferrometaalertsen en...;2020;;;                                nvt
78;07291100 Kopererts en concentraten da...;2008;0.0;0.0;                            mln. kg
79;07291100 Kopererts en concentraten da...;2009;0.0;0.0;                            mln. kg
80;07291100 Kopererts en concentraten da...;2010;0.0;0.0;                            mln. kg
81;07291100 Kopererts en concentraten da...;2011;0.0;0.0;                            mln. kg
82;07291100 Kopererts en concentraten da...;2012;0.0;0.0;                            mln. kg
83;07291100 Kopererts en concentraten da...;2013;0.0;0.0;                            mln. kg
