ID;Margins;SectorBranches;Periods;TurnoverLastThreeMonths_1;TurnoverNextThreeMonths_2;TurnoverNextYear_3;ForeignTurnoverLastThreeMonths_4;ForeignTurnoverNextThreeMonths_5;ForeignTurnoverNextYear_6;SellingPricesRatesNextThreeMonths_7;OrderIntakeLastThreeMonths_8;ExpectedOrderIntakeNextThreeMonths_9;ExportOrdersNextThreeMonths_10;PurchaseOrdersNextThreeMonths_11;AssessmentOrderPosition_12;AssessmentOfFinishedProductsStocks_13;WorkforceNextYear_14;WorkforceLastThreeMonths_15;WorkforceNextThreeMonths_16;InvestmentsCurrentYear_17;InvestmentsNextYear_18;CompetitivePositionDomesticMarket_19;CompetitivePositionWithinEU_20;CompetitivePositionOutsideEU_21;EconomicClimateLast3Months_22;EconomicClimateNext3Months_23;ProfitabilityLast3Months_24
0;Value;All enterprises (no finance or energy);2016 1st quarter;25.7;3.1;;9.0;2.6;;15.4;13.9;7.4;5.9;3.7;-3.3;5.8;;3.3;1.0;7.7;;9.6;3.5;2.3;10.2;8.4;11.2
1;Value;All enterprises (no finance or energy);2016 2nd quarter;7.0;24.3;;3.4;9.1;;6.8;11.9;16.7;6.2;12.2;-3.5;5.3;;3.9;8.4;7.5;;7.1;2.7;2.1;5.9;9.3;2.3
2;Value;All enterprises (no finance or energy);2016 3rd quarter;19.2;8.0;;5.8;2.1;;5.9;15.6;6.6;1.3;6.0;-1.2;5.4;;10.2;5.9;10.0;;5.8;2.2;1.8;7.6;5.4;6.9
3;Value;All enterprises (no finance or energy);2016 4th quarter;8.5;24.5;29.1;3.8;10.0;15.8;9.3;11.9;16.4;7.8;13.4;-0.6;7.9;10.5;11.3;5.7;11.2;7.9;6.2;1.4;1.9;9.5;10.4;5.8
4;Value;All enterprises (no finance or energy);2017 1st quarter;29.7;8.7;;10.6;7.3;;20.5;17.8;12.8;6.8;8.4;1.7;5.2;;11.1;8.7;10.6;;10.0;3.3;3.4;16.9;12.9;15.0
5;Value;All enterprises (no finance or energy);2017 2nd quarter;16.8;28.8;;8.6;9.6;;9.9;19.0;22.0;8.6;17.8;2.9;5.1;;11.6;16.2;10.3;;6.9;2.7;2.4;15.0;16.6;7.8
6;Value;All enterprises (no finance or energy);2017 3rd quarter;27.2;12.4;;7.9;4.0;;11.3;21.3;11.0;2.7;9.8;5.7;6.7;;17.0;14.9;11.3;;7.8;2.8;2.1;16.7;10.9;11.3
7;Value;All enterprises (no finance or energy);2017 4th quarter;11.4;27.8;30.4;6.6;12.6;14.6;16.4;13.4;22.1;9.2;17.7;5.2;6.6;17.7;15.1;14.6;10.1;10.0;6.8;2.8;1.9;15.4;14.3;9.4
8;Value;All enterprises (no finance or energy);2018 1st quarter;31.1;13.3;;13.4;9.7;;28.5;22.5;16.3;9.8;13.1;9.3;4.9;;16.9;16.4;10.7;;10.6;5.0;3.0;20.1;14.2;17.3
9;Value;All enterprises (no finance or energy);2018 2nd quarter;11.1;31.6;;6.7;10.9;;14.0;19.3;22.6;8.5;19.0;9.1;6.8;;14.7;20.8;12.6;;8.3;4.2;3.5;14.8;15.7;6.2
10;Value;All enterprises (no finance or energy);2018 3rd quarter;26.3;12.4;;9.8;4.0;;15.5;21.6;13.2;5.6;8.9;11.0;7.4;;20.1;18.4;11.3;;8.4;4.2;2.5;14.3;9.7;12.4
11;Value;All enterprises (no finance or energy);2018 4th quarter;10.5;25.7;30.4;3.6;10.9;14.5;17.4;11.6;15.4;7.3;14.0;7.8;7.0;17.2;15.7;15.3;11.9;8.5;7.3;2.8;2.5;7.3;9.7;2.9
12;Value;All enterprises (no finance or energy);2019 1st quarter;23.6;9.3;;7.3;5.7;;33.3;15.2;9.6;6.5;7.9;6.8;8.6;;13.0;12.5;7.9;;7.8;3.3;2.2;5.7;2.3;10.0
13;Value;All enterprises (no finance or energy);2019 2nd quarter;9.4;27.6;;4.2;10.3;;12.7;13.2;16.7;6.7;14.0;5.9;5.9;;12.2;18.3;9.0;;5.8;3.2;1.2;1.6;5.9;3.7
14;Value;All enterprises (no finance or energy);2019 3rd quarter;23.7;6.8;;7.3;4.4;;8.9;13.2;7.4;3.3;4.1;4.4;5.9;;13.0;11.8;7.5;;5.3;3.0;2.5;2.3;0.9;7.8
15;Value;All enterprises (no finance or energy);2019 4th quarter;5.5;15.7;18.9;2.5;7.7;10.1;11.2;3.3;6.5;3.0;5.9;0.7;8.3;13.0;7.6;8.0;4.5;5.0;3.2;1.3;1.5;-5.6;-4.7;-0.4
16;Value;All enterprises (no finance or energy);2020 1st quarter;18.2;2.0;;5.5;2.8;;26.6;9.2;7.2;5.4;4.4;2.0;7.3;;7.3;9.4;4.1;;7.0;2.3;1.6;-1.6;-1.6;6.1
17;Value;All enterprises (no finance or energy);2020 2nd quarter;-17.3;-54.3;;-12.1;-35.0;;-6.8;-22.1;-58.0;-35.9;-48.8;-29.7;12.8;;-5.5;-23.4;-37.0;;-1.4;-2.2;-2.4;-35.7;-65.5;-27.0
18;Value;All enterprises (no finance or energy);2020 3rd quarter;-23.3;1.0;;-20.5;-1.0;;0.5;-29.3;-2.6;-1.4;-4.1;-28.6;9.2;;-14.9;-3.8;-23.8;;0.4;-2.2;-3.0;-38.8;-5.5;-33.4
19;Value;All enterprises (no finance or energy);2020 4th quarter;0.1;0.0;17.8;-2.2;1.5;12.6;3.6;-2.8;-6.4;-2.0;-4.9;-21.7;4.9;3.9;-6.8;-6.6;-16.0;-6.3;2.0;0.0;0.2;-13.8;-19.4;-10.6
20;Value;All enterprises (no finance or energy);2021 1st quarter;8.7;-10.0;;3.3;-2.5;;16.8;2.1;-4.7;0.1;-8.0;-14.6;6.9;;-5.3;0.8;-7.5;;3.5;1.6;0.2;-13.5;-9.4;-4.7
21;Value;All enterprises (no finance or energy);2021 2nd quarter;-0.2;19.5;;6.1;9.0;;15.3;8.1;14.1;7.6;13.3;-6.3;6.9;;1.3;13.4;1.6;;2.7;1.7;0.7;-6.6;9.0;-5.4
22;Value;All enterprises (no finance or energy);2021 3rd quarter;28.8;12.7;;9.9;5.2;;23.8;22.8;12.8;4.5;12.2;0.1;3.0;;10.4;18.8;10.4;;7.7;5.1;3.3;13.7;11.4;12.5
23;Value;All enterprises (no finance or energy);2021 4th quarter;15.1;25.2;37.2;6.9;13.8;22.6;34.5;19.7;17.6;11.7;17.3;5.6;5.1;29.1;11.5;21.5;8.9;15.3;8.5;4.4;3.2;12.8;11.4;8.9
24;Value;All enterprises (no finance or energy);2022 1st quarter;19.4;-1.2;;8.1;7.0;;46.1;14.3;7.3;5.9;6.3;4.4;8.7;;9.9;17.3;8.1;;7.0;4.5;2.9;-0.5;-0.7;4.0
25;Value;All enterprises (no finance or energy);2022 2nd quarter;11.4;27.4;;5.9;11.5;;46.3;12.8;15.0;10.0;17.6;6.5;8.4;;10.6;23.1;9.9;;5.2;1.8;1.7;-10.2;-7.3;-5.1
26;Value;All enterprises (no finance or energy);2022 3rd quarter;25.5;3.2;;10.2;2.7;;36.9;15.9;3.8;2.7;4.7;9.2;9.3;;8.7;16.4;7.3;;5.5;1.9;1.4;-11.3;-12.3;-1.4
27;Value;All enterprises (no finance or energy);2022 4th quarter;3.9;11.9;13.7;4.3;4.9;9.6;46.7;2.7;1.9;2.3;3.4;2.0;11.4;16.2;7.4;10.8;2.2;3.4;2.5;2.2;2.0;-22.3;-23.8;-15.2
28;Value;All enterprises (no finance or energy);2023 1st quarter;23.0;-1.8;;9.4;3.2;;52.4;10.5;2.6;3.1;2.6;2.7;12.9;;7.0;14.3;3.1;;3.0;0.9;0.1;-13.2;-13.5;-5.1
29;Value;All enterprises (no finance or energy);2023 2nd quarter;6.9;21.3;;1.2;8.7;;20.1;3.9;11.1;5.6;9.6;-0.3;11.6;;6.2;17.3;6.1;;4.5;1.4;1.0;-10.8;-3.1;-6.3
30;Value;A Agriculture, forestry and fishing;2016 1st quarter;7.8;15.4;;7.2;9.4;;8.6;;;;10.3;;;;0.7;9.4;-2.1;;1.3;6.2;5.0;0.1;4.7;-0.9
31;Value;A Agriculture, forestry and fishing;2016 2nd quarter;12.1;25.2;;12.6;10.7;;-0.7;;;;15.2;;;;3.8;17.6;-0.5;;4.0;0.7;6.6;-4.3;-5.0;-2.3
32;Value;A Agriculture, forestry and fishing;2016 3rd quarter;5.8;-6.2;;5.1;-5.5;;-0.2;;;;6.3;;;;10.6;1.1;-1.4;;6.5;6.7;10.1;-4.5;-6.1;7.0
33;Value;A Agriculture, forestry and fishing;2016 4th quarter;9.6;5.4;19.4;8.7;13.1;17.9;6.2;;;;6.4;;;7.2;4.3;-1.0;2.0;-4.2;1.7;3.3;7.2;12.2;5.8;6.8
34;Value;A Agriculture, forestry and fishing;2017 1st quarter;-4.9;13.9;;4.3;14.8;;9.3;;;;11.7;;;;-3.8;18.6;1.9;;1.9;3.0;5.0;-2.3;5.9;-0.4
35;Value;A Agriculture, forestry and fishing;2017 2nd quarter;29.2;17.8;;19.9;13.5;;-4.1;;;;5.9;;;;22.3;21.8;-1.5;;7.4;4.7;7.9;16.5;12.3;14.5
