ID;Perioden;AantalInstellingen_1;TotaalBedrijfsopbrengsten_2;TotaalNettoOmzet_3;OpbrengstenTerDekkingWettelijkBudget_4;OverigeNettoOmzet_5;TotaalOverigeBedrijfsopbrengsten_6;SusidiesEnBijdragen_7;OverigeBedrijfsopbrengstenNEG_8;TotaalBedrijfslasten_9;TotaalArbeidskosten_10;Pensioenlasten_11;LonenEnSalarissen_12;SocialeLasten_13;AfschrijvingenOpVasteActiva_14;TotaalOverigeBedrijfslasten_15;TotaalAnderePersoneelskosten_16;KostenUitzendkrachtenEnOverigeInleen_17;OverigePersoneelskosten_18;TotaalOverigeBedrijfslastenNEG_19;VoedingEnHotelmatigeKosten_20;AlgemeneKosten_21;ClientBewonergebondenKosten_22;OnderhoudEnEnergiekosten_23;HuurOperationeleLeasingKapGoederen_24;AndereBedrijfslasten_25;Bedrijfsresultaat_26;FinancieleBaten_27;FinancieleLasten_28;FinancieelResultaat_29;BuitengewoonResultaat_30;ResultaatVoorBelastingen_31;WettelijkeBudgetAanvaardbareKosten_32;OpbrengstenTerDekkingWetBudget_33;FinancieringsverschilBoekjaar_34
0;1998;336;2981;2968;2802;166;13;9.0;4.0;2848;1629;36.0;1439.0;154.0;165.0;1054.0;452.0;352.0;100.0;603.0;234.0;109.0;117.0;97.0;29.0;17.0;133;6.0;162.0;-156.0;6.0;-17.0;2807;2802;4
1;1999;334;3077;3061;2883;178;15;13.0;3.0;2965;1682;38.0;1482.0;162.0;171.0;1112.0;480.0;371.0;109.0;632.0;243.0;115.0;127.0;98.0;32.0;17.0;112;6.0;157.0;-151.0;3.0;-36.0;2918;2883;35
2;2000;334;3273;3237;2994;243;36;33.0;3.0;3182;1806;41.0;1590.0;176.0;189.0;1188.0;516.0;387.0;130.0;671.0;262.0;123.0;141.0;104.0;30.0;13.0;91;8.0;154.0;-146.0;7.0;-47.0;3052;2994;58
3;2001;333;3915;3884;3710;175;31;25.0;6.0;3837;2053;40.0;1823.0;189.0;199.0;1584.0;574.0;396.0;178.0;1010.0;292.0;145.0;183.0;112.0;28.0;249.0;78;11.0;147.0;-136.0;0.0;-57.0;3779;3710;69
4;2002;328;4435;4343;4214;129;92;82.0;10.0;4270;2222;41.0;1967.0;214.0;205.0;1843.0;611.0;406.0;205.0;1232.0;324.0;168.0;202.0;117.0;41.0;380.0;165;11.0;141.0;-130.0;-8.0;28.0;4241;4214;27
5;2003;335;4720;4650;4521;129;70;59.0;12.0;4517;2477;38.0;2264.0;175.0;226.0;1814.0;629.0;389.0;240.0;1185.0;355.0;177.0;227.0;131.0;41.0;253.0;204;8.0;136.0;-128.0;-1.0;74.0;4594;4521;73
6;2004;338;4751;4697;4540;157;54;;;4544;2614;;;;;;;;;;;;;;;;207;;;;;;4575;4540;35
7;2005;366;4940;4871;4727;144;69;;;4814;2767;;;;;;;;;;;;;;;;126;;;;;;4793;4727;65
