ID;Perioden;TotaalMilieuInvesteringen_1;TotaalLuchtverontreiniging_2;TotaalPersonenautoS_3;TotaalBenzineEnLPGAutoS_4;Katalysator_5;KoolstoffilterVoorHetBrandstofsysteem_6;AanpassingLPGInstallatie_7;OverigeMotoraanpassingen_8;Dieselpersonenauto_9;TotaalBedrijfsvoertuigen_10;TotaalLichteBedrijfsvoertuigen_11;BenzineEnLPGVoertuigen_12;Dieselvoertuigen_13;TotaalZwareBedrijfsvoertuigen_14;AanpassingAanEuro0_15;AanpassingAanEuro1_16;AanpassingAanEuro2_17;AanpassingAanEuro3_18;AanpassingAanEuro4_19;AanpassingAanEuro5_20;Roetfilter_21;Binnenvaart_22;Railverkeer_23;TotaalGeluidshinder_24;PersonenautoS_25;LichteBedrijfsvoertuigen_26;ZwareBedrijfsvoertuigen_27;Motorfietsen_28;Luchtvaart_29;Railverkeer_30;TotaalWaterverontreiniging_31;Zeevaart_32;Recreatievaart_33;Bodemverontreiniging_34;TotaalMilieukosten_35;TotaalMilieukostenVerkeersdeelnemers_36;TotaalLuchtverontreiniging_37;TotPersonenEnLichteBedrijfsvoert_38;TotaalAutoSOpBenzineEnLPG_39;Katalysator_40;KoolstoffilterVoorHetBrandstofsysteem_41;AanpassingLPGInstallatie_42;OverigeMotoraanpassingen_43;ExtraBrandstofverbruik_44;Uitlaatgasmeting_45;TotaalDieselautoS_46;Motoraanpassingen_47;Roetmeting_48;TotaalZwareBedrijfsvoertuigen_49;AanpassingEisenLuchtverontrUitstoot_50;OntwikkelingNieuweTechnieken_51;Roetmeting_52;OverigeVervoermiddelen_53;TotaalAanpassingBrandstoffen_54;LoodvrijeEnAromaatarmeBenzine_55;ZwavelarmeDiesel_56;TotaalGeluidshinder_57;PersonenautoSEnLichteBedrijfsvoert_58;ZwareBedrijfsvoertuigen_59;Motorfietsen_60;Luchtvaart_61;Railverkeer_62;TotaalWaterverontreiniging_63;Zeevaart_64;Binnenvaart_65;Recreatievaart_66;TotaalAfvalverwijdering_67;Autowrakken_68;Personenautobanden_69;AfvalOpenbaarVervoersbedrijven_70;BodemverontreinigingEnLandschap_71;TotaalMilieukostenOverheid_72;Luchtverontreiniging_73;TotaalGeluidshinder_74;Wegverkeer_75;Railverkeer_76;Luchtverkeer_77;WaterverontreinigingBinnenvaart_78;TotaalAfvalverwijdering_79;RijksbijdrageAutowrakkenbeleid_80;AfvalLangsRijkswegenEnWaterwegen_81;TotaalBodemverontreinigingEnLandschap_82;BodemsaneringNSPercelen_83;Landschap_84;TotaalBetaaldeHeffingen_85;AlgemeneBrandstofheffingED_86;GeluidshinderBurgerluchtvaart_87;Afval_88;TotaalOntvangenSubsidies_89;Luchtverontreiniging_90;OverigeSubsidies_91;NettoMilieulastenVerkeersdeelnemers_92
0;1980;26;11;11;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;3;0;0;0;11;11;0;0;80;71;38;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;36;19;16;23;0;1;0;22;0;10;10;0;0;0;0;0;0;0;9;0;9;9;0;0;0;0;0;0;0;0;0;15;15;0;0;1;0;1;86
1;1981;47;15;15;15;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;3;2;14;0;1;0;11;11;0;0;100;87;44;5;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;39;20;19;30;1;3;0;27;0;12;12;0;0;0;0;0;0;0;14;0;14;14;0;0;0;0;0;0;0;0;0;30;30;0;0;2;0;2;114
2;1982;61;17;17;17;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;7;4;22;0;1;0;11;11;0;0;130;98;49;7;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;42;20;22;35;2;6;0;27;0;14;14;0;0;0;0;0;0;0;32;0;32;31;1;0;0;0;0;0;0;0;0;57;57;0;0;4;0;4;151
3;1983;74;18;18;18;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;10;5;25;0;5;0;11;11;0;0;127;109;53;10;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;44;20;24;40;4;10;0;27;0;15;15;0;0;0;0;0;0;0;18;0;18;18;0;0;0;0;0;0;0;0;0;72;72;0;0;6;0;6;175
4;1984;76;11;11;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;8;6;27;0;14;0;11;11;0;0;170;126;58;12;12;0;0;0;12;0;0;0;0;0;0;0;0;0;0;46;20;27;51;7;14;0;31;0;16;16;0;0;0;0;0;0;0;45;0;45;41;1;2;0;0;0;0;0;0;0;80;77;3;0;8;0;8;197
5;1985;73;4;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;5;7;38;0;8;0;11;11;0;0;176;139;63;14;14;0;0;0;12;2;0;0;0;0;0;0;0;0;0;49;20;29;58;8;18;0;32;0;17;17;0;0;0;0;0;0;0;37;0;37;28;3;5;0;1;1;0;0;0;0;63;60;3;0;11;0;11;191
6;1986;80;10;10;10;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;1;6;36;0;14;1;11;11;0;0;236;161;85;14;14;0;0;0;12;2;0;0;0;0;0;0;0;0;0;71;42;29;58;9;23;0;26;0;18;18;0;0;0;0;0;0;0;74;0;70;63;2;6;0;2;2;0;2;0;2;65;61;4;0;14;0;14;212
7;1987;119;53;53;53;34;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;8;38;0;8;1;11;11;0;0;264;220;136;18;18;3;0;0;14;2;0;0;0;0;0;0;0;0;0;118;89;29;65;10;27;0;28;1;19;19;0;0;0;0;0;0;0;44;0;41;34;2;5;0;0;0;0;2;0;2;74;71;4;0;17;0;17;278
8;1988;127;87;87;87;63;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;7;18;0;10;1;4;4;0;0;312;243;154;28;28;11;0;0;16;2;0;0;0;0;0;0;0;0;0;126;92;34;70;10;29;0;29;1;19;19;0;0;0;0;0;0;0;69;0;62;51;3;9;0;4;4;0;2;0;2;86;82;4;0;17;0;17;312
9;1989;247;187;187;187;174;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;7;26;0;22;1;4;4;0;0;339;284;185;51;51;30;0;0;18;3;0;0;0;0;0;0;0;0;0;134;96;38;78;11;33;0;34;1;20;20;0;0;0;0;0;0;0;55;0;49;38;3;8;0;4;4;0;2;0;2;109;105;4;0;17;0;17;376
10;1990;369;308;308;308;293;5;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;8;26;0;18;1;7;7;0;0;420;352;236;100;100;74;0;1;18;5;1;0;0;0;0;0;0;0;0;136;98;38;90;12;37;0;40;1;26;21;5;0;0;0;0;0;0;68;0;60;45;4;11;0;6;6;0;2;0;2;141;137;4;0;18;1;17;476
11;1991;399;334;332;331;308;9;13;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;55;0;10;25;0;19;0;6;6;0;5;465;405;288;152;152;124;2;3;15;8;1;0;0;0;1;0;1;0;0;134;96;39;82;12;37;0;32;1;26;22;5;0;0;0;0;0;9;60;0;53;41;4;8;0;5;5;0;2;0;2;192;187;5;0;19;3;16;578
12;1992;382;315;309;304;284;7;12;0;5;6;1;1;0;5;2;3;0;0;0;0;0;0;0;50;0;12;25;0;13;0;7;7;0;9;527;477;349;206;205;166;3;5;12;9;10;1;1;0;3;1;2;0;0;141;99;42;83;12;36;0;34;1;26;22;5;0;0;0;0;0;18;51;0;44;31;4;9;0;5;5;0;2;0;2;93;88;5;0;23;7;15;547
13;1993;292;231;220;214;195;8;11;0;6;11;6;4;2;4;1;3;0;0;0;0;0;0;0;36;0;10;16;0;11;0;3;3;0;23;588;513;367;226;224;182;4;6;9;12;11;2;2;0;6;1;5;0;0;135;96;39;77;11;31;0;34;1;22;21;1;0;0;0;0;0;47;75;0;67;40;4;23;4;2;2;0;1;0;1;5;0;5;0;26;13;13;492
14;1994;306;213;199;192;172;9;12;0;7;14;6;2;5;7;0;7;1;0;0;0;0;0;0;45;0;9;19;0;16;0;3;3;0;45;679;588;404;257;253;207;5;8;8;14;11;3;3;0;7;2;5;0;0;140;99;41;77;11;30;0;35;1;22;21;1;0;0;0;0;0;84;91;0;77;51;4;22;4;9;3;6;1;0;1;6;0;6;0;30;18;12;564
15;1995;272;177;159;150;131;9;11;0;8;18;8;2;6;10;0;6;4;0;0;0;0;0;0;42;0;1;23;0;17;0;8;8;0;45;698;610;400;276;271;226;6;9;8;17;4;5;5;0;11;4;7;0;0;112;73;39;84;11;32;0;37;3;23;22;1;0;13;10;3;0;90;87;0;71;45;5;21;4;6;0;6;6;0;6;6;0;6;0;38;26;12;578
16;1996;280;196;168;155;136;9;10;0;12;29;13;2;11;16;0;3;13;0;0;0;0;0;0;38;0;1;28;2;8;0;9;9;0;36;735;637;420;288;281;228;7;10;7;21;7;8;8;0;13;5;7;0;0;119;77;42;85;10;27;0;41;7;23;22;1;0;38;33;5;0;70;98;0;82;70;3;9;4;7;0;6;5;0;5;8;0;8;0;33;23;10;611
17;1997;283;205;170;153;135;9;10;0;17;35;18;2;16;18;0;0;18;0;0;0;0;0;0;36;0;1;26;1;7;0;6;6;0;36;757;674;449;314;289;230;8;11;5;26;8;25;11;14;13;8;3;3;0;121;78;43;85;8;23;0;42;11;24;23;1;0;32;26;7;0;82;83;0;58;54;2;2;5;6;0;6;14;4;10;5;0;5;0;18;10;7;661
18;1998;251;174;134;116;98;10;8;0;18;37;20;1;19;17;0;0;17;0;0;0;0;3;0;42;0;1;25;1;13;1;8;6;2;27;762;678;473;335;297;225;9;11;3;28;21;38;14;23;19;9;3;7;1;119;76;43;77;7;20;1;43;7;25;24;1;0;30;22;8;0;72;84;0;61;50;5;7;4;7;0;7;12;4;8;6;0;6;0;16;10;6;668
19;1999;253;184;144;126;110;11;5;0;17;37;21;1;20;16;0;0;16;0;0;0;0;3;0;34;0;2;20;2;9;1;8;7;2;27;801;696;488;345;301;218;10;12;1;34;26;44;19;25;22;11;3;7;1;121;76;45;77;7;18;1;45;7;26;25;1;0;29;19;10;0;75;105;0;83;59;3;21;4;7;0;7;11;7;4;6;0;6;0;15;10;5;686
20;2000;299;223;155;132;115;10;6;0;23;60;17;1;16;43;0;0;5;38;0;0;0;3;5;42;0;2;21;2;16;2;10;5;5;25;888;703;486;368;319;208;11;12;0;52;36;50;22;28;30;16;6;7;2;86;24;62;76;6;16;1;48;5;32;25;1;6;35;24;10;0;74;185;0;154;129;5;21;4;7;0;7;19;13;6;35;0;35;0;27;22;5;711
21;2001;292;230;143;127;111;9;7;0;16;58;12;1;11;47;0;0;2;44;0;0;0;3;25;37;0;2;20;2;12;1;10;6;4;15;969;733;532;351;295;181;11;11;0;50;42;56;25;31;35;21;6;8;4;142;25;118;71;5;14;1;41;10;35;26;1;8;38;27;12;0;57;237;0;200;143;6;51;5;7;0;7;25;19;6;43;0;43;0;36;32;4;740
